Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1999-0387-NER,1999,387,,Natural,Hydrological,Flood,Flash flood,,,Niger (the),NER,Western Africa,Africa,,Brief torrential rain,,,,No,No,,,Km2,,,,,1999,9.0,7.0,1999,9.0,14.0,7.0,,,12000.0,12000.0,,,,,,,61.473667176908,,,,
2001-0644-NER,2001,644,,Natural,Hydrological,Flood,Riverine flood,,,Niger (the),NER,Western Africa,Africa,Diffa province,,,,,,,,,Km2,,,,,2001,11.0,30.0,2001,11.0,30.0,4.0,,20000.0,,20000.0,,,,,,,65.345558714192,1,2203,,Diffa (Adm1).
2006-0445-NER,2006,445,,Natural,Hydrological,Flood,Flash flood,,,Niger (the),NER,Western Africa,Africa,"Agadez, Zinder, Tahoua, Dosso, Tillaberi provinces",Heavy rain,,,,Yes,,328.0,,Km2,,,,,2006,8.0,3.0,2006,10.0,11.0,4.0,,,46472.0,46472.0,,,,,,,74.3963874917997,1,2202;2204;2207;2208;2209,,"Agadez, Dosso, Tahoua, Tillaberi, Zinder (Adm1)."
2007-0389-NER,2007,389,FL-2007-000147,Natural,Hydrological,Flood,Riverine flood,,,Niger (the),NER,Western Africa,Africa,"Zinder, Maradi, Agadez, Tahoua, Tillaberi, Diffa provinces",Heavy rains,,,,,,,,Km2,,,,,2007,7.0,26.0,2007,10.0,10.0,7.0,10.0,57264.0,,57274.0,,,,,,,76.5186792040236,1,2202;2203;2205;2207;2208;2209,,"Agadez, Diffa, Maradi, Tahoua, Tillaberi, Zinder (Adm1)."
2009-0386-NER,2009,386,,Natural,Hydrological,Flood,Riverine flood,,,Niger (the),NER,Western Africa,Africa,"Agadez, Dabaga, Tchirozérine, Tabelote villages (Tchighozerine district, Agadez province)",Heavy rains,Broken Dam/Burst bank,,Yes,,,1114.0,,Km2,,,,Telwa river,2009,9.0,1.0,2009,9.0,3.0,3.0,,79129.0,,79129.0,,,,,,,79.1738027553029,2,,22553,Tchighozerine (Adm2).
2010-0295-NER,2010,295,,Natural,Hydrological,Flood,Riverine flood,,,Niger (the),NER,Western Africa,Africa,"Zinder, Maradi provinces",Heavy rains,,,,,,,,Km2,,,,,2010,7.0,19.0,2010,7.0,23.0,2.0,,,6615.0,6615.0,,,,,,,80.472285151979,1,2205;2209,,"Maradi, Zinder (Adm1)."
2010-0379-NER,2010,379,,Natural,Hydrological,Flood,Riverine flood,,,Niger (the),NER,Western Africa,Africa,"Tera, Filingue districts (Tillaberi province), Niamey, Zinder, Maradi, Agadez, Tahoua, Diffa, Dosso provinces",Torrential rain,,,,,,32.0,619100.0,Km2,13.6,14.0,,Niger river,2010,8.0,1.0,2010,8.0,11.0,3.0,,226611.0,,226611.0,,,,,,,80.472285151979,1;2,2202;2203;2204;2205;2206;2207;2209,22578;22582,"Agadez, Diffa, Dosso, Maradi, Niamey, Tahoua, Zinder (Adm1). Filingue, Tera (Adm2)."
2011-0419-NER,2011,419,,Natural,Hydrological,Flood,Riverine flood,,,Niger (the),NER,Western Africa,Africa,"Zarmagandaye, Lamorde, Karadje boroughs (Communes 3 district, Niamey province)",Heavy rains,,,,,,,74520.0,Km2,14.951,4.555,,,2011,8.0,10.0,2011,9.0,8.0,7.0,,13000.0,,13000.0,,,,,,,83.0126743931774,2,,22570,Commune 3 (Adm2).
2011-0598-NER,2011,598,,Natural,Hydrological,Flood,Riverine flood,,,Niger (the),NER,Western Africa,Africa,"Ouallam, Tera, Tillaberi, Kollo districts (Tillaberi province), Birni N'Konni, Tchin Tabaradene, Bouza districts (Tahoua province), Mayahi district (Maradi province), Dosso province",Torrential rains,,,,,,,,Km2,,,,,2011,8.0,17.0,2011,9.0,2.0,9.0,,,28175.0,28175.0,,,,,,,83.0126743931774,1;2,2204,22566;22571;22572;22577;22579;22580;22582;22583,"Dosso (Adm1). Birni N'konni, Bouza, Kollo, Mayahi, Ouallam, Tchin Tabaradene, Tera, Tillaberi (Adm2)."
2012-0302-NER,2012,302,FL-2012-000141,Natural,Hydrological,Flood,Riverine flood,,,Niger (the),NER,Western Africa,Africa,"Agadez, Diffa, Dosso, Maradi, Tahoua, Tillaberi, Zinder, Niamey provinces",Heavy rains,,,Yes,,,527.0,,Km2,,,,,2012,7.0,15.0,2012,10.0,15.0,91.0,,530952.0,,530952.0,,,,,184115.0,217295.0,84.7304788978789,1,2202;2203;2204;2205;2206;2207;2208;2209,,"Agadez, Diffa, Dosso, Maradi, Niamey, Tahoua, Tillaberi, Zinder (Adm1)."
2013-0336-NER,2013,336,FL-2013-000336,Natural,Hydrological,Flood,Riverine flood,,,Niger (the),NER,Western Africa,Africa,"Maradi, Agadez, Tillaberi, Dosso, Tahoua, Niamey, Zinder, Diffa provinces",Heavy rains,,,,Yes,,,,Km2,,,,,2013,7.0,15.0,2013,8.0,15.0,32.0,,165943.0,,165943.0,,,,,64724.0,75285.0,85.9716422479773,1,2202;2203;2204;2205;2206;2207;2208;2209,,"Agadez, Diffa, Dosso, Maradi, Niamey, Tahoua, Tillaberi, Zinder (Adm1)."
2013-0534-NER,2013,534,,Natural,Hydrological,Flood,Riverine flood,,,Niger (the),NER,Western Africa,Africa,"Diffa, Zinder provinces",Heavy rains,,,,,,,65791.0,Km2,15.0103,13.2,,Komadougou River,2013,11.0,3.0,2013,12.0,8.0,,,15086.0,,15086.0,,,,,,,85.9716422479773,1,2203;2209,,"Diffa, Zinder (Adm1)."
2015-0368-NER,2015,368,,Natural,Hydrological,Flood,Riverine flood,,,Niger (the),NER,Western Africa,Africa,"Agadez, Dosso, Maradi, Niamey, Tahoua, Tillaberi, Zinder provinces",Heavy rains,,,,,,,,Km2,14.8417,2.5,,686734.8,2015,7.0,25.0,2015,10.0,,27.0,,87037.0,,87037.0,,,,,,,87.4699322108025,1,2202;2204;2205;2206;2207;2208;2209,,"Agadez, Dosso, Maradi, Niamey, Tahoua, Tillaberi, Zinder (Adm1)."
2016-0269-NER,2016,269,,Natural,Hydrological,Flood,Flash flood,,,Niger (the),NER,Western Africa,Africa,"Tahoua, Agadez, Maradi provinces",Heavy rains,,,,,,,,Km2,,,,,2016,6.0,1.0,2016,9.0,7.0,11.0,,,3000.0,3000.0,,,,,,,88.573452875574,1,2202;2205;2207,,"Agadez, Maradi, Tahoua (Adm1)."
2016-0219-NER,2016,219,,Natural,Hydrological,Flood,,,,Niger (the),NER,Western Africa,Africa,"Bazagor city (Tchin Tabaradene district, Tahoua province), Ingal city (Tchighozerine district, Agadez province), Maradi, Zinder, Dosso, Tillaberi, Diffa, Niamey province",Torrential rains,,,,,,,,Km2,,,,,2016,6.0,20.0,2016,10.0,,50.0,27.0,123239.0,,123266.0,,,,,,,88.573452875574,1;2,2203;2204;2205;2206;2208;2209,22553;22577,"Diffa, Dosso, Maradi, Niamey, Tillaberi, Zinder (Adm1). Tchighozerine, Tchin Tabaradene (Adm2)."
2017-0186-NER,2017,186,,Natural,Hydrological,Flood,Riverine flood,,,Niger (the),NER,Western Africa,Africa,"Tillabéri, Niamey, Maradi, Zinder",West African Monsoon,,,,,,,,Km2,,,,,2017,6.0,13.0,2017,6.0,19.0,16.0,,3000.0,,3000.0,,,,,,,90.4601793133611,1,2205;2206;2208;2209,,"Maradi, Niamey, Tillaberi, Zinder (Adm1)."
2017-0370-NER,2017,370,FL-2017-000078,Natural,Hydrological,Flood,,,,Niger (the),NER,Western Africa,Africa,"Agadez, Diffa, Dosso, Maradi, Niamey, Tahoua, Tillabery,Zinder",Torrential rains,,,Yes,,,,184437.0,Km2,14.617,4.402,,,2017,8.0,26.0,2017,9.0,15.0,56.0,,206513.0,,206513.0,,,,,10000.0,11055.0,90.4601793133611,1,2202;2203;2204;2205;2206;2207;2208;2209,,"Agadez, Diffa, Dosso, Maradi, Niamey, Tahoua, Tillaberi, Zinder (Adm1)."
2019-0415-NER,2019,415,,Natural,Hydrological,Flood,,,,Niger (the),NER,Western Africa,Africa,"Zinder, Maradi regions (south), Niamey Capital City , Dosso, Agadez",Heavy rains,,,,,,,,Km2,,,,,2019,9.0,1.0,2019,9.0,15.0,52.0,,200000.0,,200000.0,,,,,,,94.3490924994534,1,2202;2204;2205;2206;2209,,"Agadez, Dosso, Maradi, Niamey, Zinder (Adm1)."
2019-0504-NER,2019,504,,Natural,Hydrological,Flood,,,,Niger (the),NER,Western Africa,Africa,Diffa Region,,,,,,,,,Km2,,,,Komadougou River,2019,10.0,24.0,2019,10.0,24.0,,,23000.0,,23000.0,,,,,,,94.3490924994534,1,2203,,Diffa (Adm1).
2020-0336-NER,2020,336,,Natural,Hydrological,Flood,,,,Niger (the),NER,Western Africa,Africa,"Maradi, Tahoua, Tillabéri, Dosso",Heavy rains,,,,,,,,Km2,,,,,2020,7.0,1.0,2020,9.0,10.0,73.0,,,632608.0,632608.0,,,,,10000.0,10470.0,95.5129674174503,1,2204;2205;2207;2208,,"Dosso, Maradi, Tahoua, Tillaberi (Adm1)."
2021-0461-NER,2021,461,,Natural,Hydrological,Flood,,,,Niger (the),NER,Western Africa,Africa,"Maradi, Agadez, Niamey",Heavy rains,,,Yes,,,,,Km2,,,,,2021,6.0,15.0,2021,8.0,31.0,62.0,60.0,105690.0,,105750.0,,,,,,,100.0,1,2202;2205;2206,,"Agadez, Maradi, Niamey (Adm1)."
