Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1985-0015-NGA,1985,15,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,Central,,,,,,,,74620.0,Km2,,,,,1985,9.0,23.0,1985,9.0,23.0,,,6000.0,,6000.0,,,,,8000.0,20153.0,39.696934178876,,,,
1994-0208-NGA,1994,208,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,"Borno, Kebbi, Kaduna, Sokoto, Katsina, Kogi, Kwara, Plateau, Abia, Adamawa, Taraba, Amambra, Edo, Cross River, Jigawa, Niger, Bauchi, Benue, Akwa, Ibom, River, Imo, Kano",Heavy rain,,,Yes,No,No,102.0,270.0,Km2,,,,Alo,1994,9.0,11.0,1994,9.0,15.0,30.0,,180000.0,400000.0,580000.0,,,,,66500.0,121568.0,54.7016925431883,,,,
1998-0249-NGA,1998,249,,Natural,Hydrological,Flood,,,,Nigeria,NGA,Western Africa,Africa,Jigawa State,,,,,,,,,Km2,,,,,1998,8.0,3.0,1998,8.0,3.0,15.0,,,7000.0,7000.0,,,,,,,60.1574108900066,,,,
1998-0308-NGA,1998,308,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,"Pategi, Edu, Moro districts (Kwara state), Edati, Mokwa, Lavun districts (Niger state)",Heavy rain,,,,No,No,,,Km2,,,,,1998,10.0,10.0,1998,10.0,10.0,,,,100000.0,100000.0,,,,,,,60.1574108900066,,,,
1999-0370-NGA,1999,370,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,"Sokoto state (Nord-Ouest), Adamawa, Borno (Nord-Est), Niger (Centre), Kwara (Centre-Ouest)",Heavy rain,Broken Dam/Burst bank,,,No,No,,,Km2,,,,"Niger, Kaduna and Benue rivers",1999,9.0,15.0,1999,10.0,10.0,39.0,,80000.0,10000.0,90000.0,,,,,,,61.473667176908,,,,
1999-0430-NGA,1999,430,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,"Oguta town (Imo State), Rivers state",Heavy rain,,,,No,No,,,Km2,,,,"Niger, Orashi, and Sombreiro",1999,10.0,26.0,1999,11.0,8.0,50.0,,,2000.0,2000.0,,,,,,,61.473667176908,,,,
2000-0511-NGA,2000,511,,Natural,Hydrological,Flood,,,,Nigeria,NGA,Western Africa,Africa,Cross River province,,,,,,,,,Km2,,,,,2000,8.0,14.0,2000,8.0,14.0,4.0,,,1000.0,1000.0,,,,,,,63.5495473431008,1,2217,,Cross River (Adm1).
2000-0547-NGA,2000,547,,Natural,Hydrological,Flood,,,,Nigeria,NGA,Western Africa,Africa,Zamfara province,,,,,,,,100.0,Km2,,,,,2000,8.0,15.0,2000,8.0,15.0,,,,750.0,750.0,,,,,1900.0,2990.0,63.5495473431008,1,65710,,Zamfara (Adm1).
2000-0620-NGA,2000,620,,Natural,Hydrological,Flood,Flash flood,,,Nigeria,NGA,Western Africa,Africa,Lagos province,Brief torrential rain,,,,,,,7700.0,Km2,,,,,2000,9.0,20.0,2000,9.0,21.0,,,500.0,,500.0,,,,,4805.0,7561.0,63.5495473431008,1,2230,,Lagos (Adm1).
2000-0628-NGA,2000,628,,Natural,Hydrological,Flood,,,,Nigeria,NGA,Western Africa,Africa,Kebbi province,,,,,,,,,Km2,,,,,2000,9.0,23.0,2000,9.0,23.0,,,,1000.0,1000.0,,,,,,,63.5495473431008,1,2227,,Kebbi (Adm1).
2001-0408-NGA,2001,408,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,Talata-Marafa district (Zamfara province),Heavy rain,,,,,,,1060.0,Km2,,,,,2001,7.0,22.0,2001,7.0,22.0,,50.0,,3802.0,3852.0,,,,,,,65.345558714192,2,,23096,Talata-Mafara (Adm2).
2001-0494-NGA,2001,494,,Natural,Hydrological,Flood,Flash flood,,,Nigeria,NGA,Western Africa,Africa,"Jigawa, Kano provinces",,Broken Dam/Burst bank,,Yes,,,,14300.0,Km2,,,,,2001,8.0,27.0,2001,9.0,4.0,200.0,,84065.0,,84065.0,,,,,3000.0,4591.0,65.345558714192,1,2223;2225,,"Jigawa, Kano (Adm1)."
2003-0455-NGA,2003,455,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,"Kaduna, Kano, Niger, Jigawa provinces",Heavy rains,,,,,,,134900.0,Km2,,,,"Kaduna, Hadejia, Jamaare",2003,9.0,5.0,2003,10.0,28.0,16.0,,210000.0,,210000.0,,,,,2570.0,3786.0,67.8888956921058,1,2223;2224;2225;2231,,"Jigawa, Kaduna, Kano, Niger (Adm1)."
2004-0268-NGA,2004,268,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,Lagos province,Heavy rains,,,,,,,340.0,Km2,,,,,2004,6.0,17.0,2004,6.0,18.0,,,1000.0,,1000.0,,,,,,,69.7064421605073,1,2230,,Lagos (Adm1).
2004-0315-NGA,2004,315,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,Jigawa province,Heavy rain,,,,,,,8720.0,Km2,,,,Hadejia,2004,6.0,22.0,2004,6.0,25.0,4.0,,300.0,,300.0,,,,,,,69.7064421605073,1,2223,,Jigawa (Adm1).
2004-0413-NGA,2004,413,,Natural,Hydrological,Flood,Flash flood,,,Nigeria,NGA,Western Africa,Africa,Adamawa province,Heavy rains,,,,,,,5480.0,Km2,,,,Tributary of the Benue river,2004,8.0,8.0,2004,8.0,12.0,65.0,600.0,10000.0,,10600.0,,,,,,,69.7064421605073,1,2211,,Adamawa (Adm1).
2004-0402-NGA,2004,402,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,"Ughelli North, Ughelli South districts (Delta province)",Heavy rains,,,,,,,510.0,Km2,,,,"Cassidy, Eriemu",2004,8.0,8.0,2004,8.0,10.0,,,15000.0,,15000.0,,,,,,,69.7064421605073,2,,191343;191350,"Ughelli North, Ughelli South (Adm2)."
2004-0434-NGA,2004,434,,Natural,Hydrological,Flood,Flash flood,,,Nigeria,NGA,Western Africa,Africa,Gombe province,Torrential rains,,,,,,,20780.0,Km2,,,,,2004,8.0,21.0,2004,8.0,23.0,25.0,,3000.0,,3000.0,,,,,,,69.7064421605073,1,65704,,Gombe (Adm1).
2005-0065-NGA,2005,65,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,Lagos province,Heavy rains,,,,,,,,Km2,,,,,2005,2.0,6.0,2005,2.0,6.0,,,1000.0,,1000.0,,,,,,,72.0714104526569,1,2230,,Lagos (Adm1).
2005-0423-NGA,2005,423,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,"Jigawa, Bauchi, Taraba, Yobe provinces",Heavy rains,,,,,,,159500.0,Km2,,,,"Hadeja, Benue and tributaries",2005,8.0,7.0,2005,9.0,16.0,60.0,4.0,,3000.0,3004.0,,,,,147.0,204.0,72.0714104526569,1,2223;2239;2240;65699,,"Bauchi, Jigawa, Taraba, Yobe (Adm1)."
2006-0393-NGA,2006,393,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,Edo province,Heavy rains,,,,,,,724.0,Km2,6.94,6.35,,Niger river tributaries,2006,7.0,15.0,2006,7.0,17.0,,,2000.0,,2000.0,,,,,,,74.3963874917997,1,2219,,Edo (Adm1).
2006-0445-NGA,2006,445,,Natural,Hydrological,Flood,Flash flood,,,Nigeria,NGA,Western Africa,Africa,Zamfara province,Heavy rain,,,,,,,,Km2,14.42,-1.02,,,2006,8.0,3.0,2006,10.0,11.0,,,,10000.0,10000.0,,,,,,,74.3963874917997,1,65710,,Zamfara (Adm1).
2006-0556-NGA,2006,556,,Natural,Hydrological,Flood,Flash flood,,,Nigeria,NGA,Western Africa,Africa,Gusau district (Zamfara province),Torrentital rain,Broken Dam/Burst bank,,,,,,,Km2,,,,,2006,10.0,1.0,2006,10.0,1.0,40.0,,1000.0,,1000.0,,,,,,,74.3963874917997,2,,23085,Gusau (Adm2).
2007-0595-NGA,2007,595,,Natural,Hydrological,Flood,,,,Nigeria,NGA,Western Africa,Africa,"Ikorodu, Kosofe districts (Lagos province), Abeokuta North, Abeokuta South districts (Ogun province)",Heavy rain,,,,,,,5270.0,Km2,6.96,3.3,,Ogun river,2007,8.0,1.0,2007,8.0,15.0,6.0,,5000.0,,5000.0,,,,,,,76.5186792040236,2,,22931;191237;191253;191291,"Abeokuta North, Abeokuta South, Ikorodu, Kosofe (Adm2)."
2007-0419-NGA,2007,419,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,"Plateau, Adamawa, Borno, Anambra, Bauchi, Yobe, Ogun, Nassarawa, Lagos, Sokoto, Kebbi provinces",Heavy rain,,,,,,,630100.0,Km2,10.29,11.75,,"Wase river, Benue tributaries, Hadejia Jama'are river",2007,8.0,4.0,2007,10.0,21.0,68.0,,50000.0,,50000.0,,,,,,,76.5186792040236,1,2211;2213;2216;2227;2230;2232;2240;65699;65705;65707;65709,,"Adamawa, Anambra, Bauchi, Borno, Kebbi, Lagos, Nassarawa, Ogun, Plateau, Sokoto, Yobe (Adm1)."
2009-0622-NGA,2009,622,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,Lagos province,,,,,,,,,Km2,,,,,2009,6.0,26.0,2009,7.0,2.0,31.0,,,,,,,,,,,79.1738027553029,1,2230,,Lagos (Adm1).
2009-0375-NGA,2009,375,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,"Zamfara, Kaduna, Niger, Benue, Adamawa, Nassarawa, Sokoto, Jigawa, Abuja provinces",Heavy rain,,,,,,,64200.0,Km2,12.26,5.68,,,2009,9.0,10.0,2009,9.0,18.0,,,150000.0,,150000.0,,,,,,,79.1738027553029,1,2211;2215;2221;2223;2224;2231;65705;65709;65710,,"Abuja, Adamawa, Benue, Jigawa, Kaduna, Nassarawa, Niger, Sokoto, Zamfara (Adm1)."
2010-0509-NGA,2010,509,FL-2010-000200,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,"Jigawa, Sokoto, Kebbi, Niger, Katsina provinces",Heavy rains,Broken Dam/Burst bank,,,,,,8694.0,Km2,12.78,4.5,,"Challawa, Toga, Hadejia, Jamaare rivers",2010,9.0,13.0,2010,9.0,30.0,40.0,200.0,1500000.0,,1500200.0,,,,,30000.0,37280.0,80.472285151979,1,2223;2226;2227;2231;65709,,"Jigawa, Katsina, Kebbi, Niger, Sokoto (Adm1)."
2011-0230-NGA,2011,230,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,Kano province,Heavy rains,,,,,,,,Km2,,,,,2011,6.0,21.0,2011,6.0,22.0,24.0,150.0,300.0,500.0,950.0,,,,,4500.0,5421.0,83.0126743931774,1,2225,,Kano (Adm1).
2011-0214-NGA,2011,214,FF-2011-000088,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,"Katsina, Lagos provinces",Heavy rain,,,,,,,103000.0,Km2,12.5947,8.64,,,2011,7.0,15.0,2011,7.0,19.0,20.0,,26965.0,,26965.0,,,,,,,83.0126743931774,1,2226;2230,,"Katsina, Lagos (Adm1)."
