Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1977-0230-OMN,1977,230,,Natural,Meteorological,Storm,,,,Oman,OMN,Western Asia,Asia,Masirah Island,,,,,,,,193.0,Kph,,,,,1977,6.0,12.0,1977,6.0,12.0,2.0,48.0,,1500.0,1548.0,,,,,,,22.367198775421,,,,
1981-0276-OMN,1981,276,,Natural,Meteorological,Storm,,,,Oman,OMN,Western Asia,Asia,,,,,,,,,,Kph,,,,,1981,5.0,8.0,1981,5.0,8.0,26.0,,,,,,,,,,,33.5554165755522,,,,
2002-0285-OMN,2002,285,,Natural,Meteorological,Storm,Tropical cyclone,,,Oman,OMN,Western Asia,Asia,Dhofar province,,,,,,,,100.0,Kph,,,,,2002,5.0,10.0,2002,5.0,10.0,7.0,33.0,50.0,,83.0,,,,,50000.0,75322.0,66.3819636999782,1,2268,,Dhofar (Adm1).
2003-0176-OMN,2003,176,,Natural,Meteorological,Storm,,,,Oman,OMN,Western Asia,Asia,"Nizwa district (A Dakhliya province), Muscat province",,,,,,,,,Kph,,,,,2003,4.0,14.0,2003,4.0,19.0,30.0,,,,,,,300.0,442.0,1000.0,1473.0,67.8888956921058,1;2,2270,23570,Muscat (Adm1). Nizwa (Nazwa) (Adm2).
2007-0164-OMN,2007,164,TC-2007-000075,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Gonu',Oman,OMN,Western Asia,Asia,Muscat province,,Flood,"Slide (land, mud, snow, rock)",Yes,,Yes,731.0,260.0,Kph,,,,,2007,6.0,6.0,2007,6.0,10.0,76.0,,20000.0,,20000.0,,,650000.0,849466.0,3900000.0,5096795.0,76.5186792040236,1,2270,,Muscat (Adm1).
2010-0210-OMN,2010,210,TC-2010-000108,Natural,Meteorological,Storm,Tropical cyclone,,"Cyclone ""Phet""",Oman,OMN,Western Asia,Asia,"A Dakhliya, A Sharqiya, Al Batnah, Al Dhahira, Al Wusta, Dhofar, Musandam, Muscat provinces",,,,,,,,,Kph,,,,,2010,6.0,6.0,2010,6.0,6.0,16.0,,,,,,,,,1000000.0,1242664.0,80.472285151979,1,2263;2264;2265;2266;2267;2268;2269;2270,,"A Dakhliya, A Sharqiya, Al Batnah, Al Dhahira, Al Wusta, Dhofar, Musandam, Muscat (Adm1)."
2011-0414-OMN,2011,414,,Natural,Meteorological,Storm,Tropical cyclone,,Keila,Oman,OMN,Western Asia,Asia,"A Dakhliya, A Sharqiya, Al Batnah, Al Dhahira, Al Wusta, Dhofar, Musandam, Muscat provinces",,,,,,,,,Kph,,,,,2011,11.0,3.0,2011,11.0,3.0,14.0,200.0,,,200.0,,,,,,,83.0126743931774,1,2263;2264;2265;2266;2267;2268;2269;2270,,"A Dakhliya, A Sharqiya, Al Batnah, Al Dhahira, Al Wusta, Dhofar, Musandam, Muscat (Adm1)."
2015-0035-OMN,2015,35,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Oman,OMN,Western Asia,Asia,Muscat province,,Flood,,,,,,,Kph,,,,,2015,1.0,19.0,2015,1.0,19.0,,,6000.0,,6000.0,,,26000.0,29725.0,221000.0,252658.0,87.4699322108025,1,2270,,Muscat (Adm1).
2018-0177-OMN,2018,177,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Mekunu',Oman,OMN,Western Asia,Asia,,,Flood,,,,,,,Kph,,,,,2018,5.0,23.0,2018,5.0,23.0,6.0,,,,,,,,,,,92.6696698010059,2,,23600,Salalah (Adm2).
2018-0394-OMN,2018,394,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Luban',Oman,OMN,Western Asia,Asia,"Dhofar, Al-Wusta Governorates",,Flood,,,,,,,Kph,,,,,2018,10.0,14.0,2018,10.0,14.0,,,,,,,,,,,,92.6696698010059,1,2267;2268,,"Al Wusta, Dhofar (Adm1)."
2021-0423-OMN,2021,423,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Oman,OMN,Western Asia,Asia,Sur in Ash Sharqiyah (South Governorate); Sohar (Al Batinah North Governorate),,Flood,,,,,,,Kph,,,,,2021,7.0,15.0,2021,7.0,16.0,7.0,,90.0,,90.0,,,,,80000.0,80000.0,100.0,2,,23579;23590,"Sohar, Sur (Adm2)."
2021-0645-OMN,2021,645,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Shaheen',Oman,OMN,Western Asia,Asia,"Al Suwayq Town (Al Batinah North Governorate); Muscat Province; Al- Dhahira, Muscat, and Al-Dakhilay Governorates",Formed by the remnants of tropical cyclone GULAB,Flood,"Slide (land, mud, snow, rock)",,,,,102.0,Kph,,,,,2021,10.0,3.0,2021,10.0,3.0,13.0,,,,,,,,,,,100.0,1,2263;2265;2266,,"A Dakhliya, Al Batnah, Al Dhahira (Adm1)."
