Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1909-0022-PAK,1909,22,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,,,,,,,,,7.0,Richter,30.0,68.0,05:11,,1909,10.0,21.0,1909,10.0,21.0,231.0,,,,,,,,,,,3.3232581812022,,,,
1935-0005-PAK,1935,5,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,Quetta (Baluchistan),,Tsunami/Tidal wave,,,,,,8.0,Richter,29.5,66.8,03.02,,1935,5.0,31.0,1935,5.0,31.0,60000.0,25000.0,,,25000.0,,,,,,,5.0710458172419,,,,
1945-0007-PAK,1945,7,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,Makran,,Tsunami/Tidal wave,,,,,,8.0,Richter,24.927,63.601,03:26,,1945,11.0,28.0,1945,11.0,28.0,4000.0,,,,,,,,,25000.0,375442.0,6.6588247260385,,,,
1955-0055-PAK,1955,55,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,Quetta,,,,,,,,,Richter,30.5,67.0,03:48,,1955,2.0,19.0,1955,2.0,19.0,12.0,,,,,,,,,,,9.8811808440849,,,,
1972-0132-PAK,1972,132,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,"Tangir, Gupis, Rawalpindi, Peshawar",,,,,,,,6.0,Richter,36,73.4,21:48,,1972,9.0,3.0,1972,9.0,3.0,100.0,,5000.0,,5000.0,,,,,,,15.4322326700197,,,,
1974-0063-PAK,1974,63,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,"North Indus R. Valley, Balakot, Patan",,Tsunami/Tidal wave,,Yes,,,,6.0,Richter,35.1,72.9,17:28,,1974,12.0,28.0,1974,12.0,28.0,4700.0,15000.0,30000.0,5200.0,50200.0,,,,,3255.0,17888.0,18.196991034332,,,,
1981-0081-PAK,1981,81,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,"Karakoram, Darel, Tangir, Khanbari valleys",,"Slide (land, mud, snow, rock)",,,,,,6.0,Richter,35.693,73.594,12:15,,1981,9.0,12.0,1981,9.0,12.0,250.0,2000.0,,,2000.0,,,,,5000.0,14901.0,33.5554165755522,,,,
1981-0127-PAK,1981,127,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,Koshkak,,,,,,,,4.0,Richter,29.856,66.962,01:26,,1981,12.0,12.0,1981,12.0,12.0,6.0,12.0,225.0,,237.0,,,,,,,33.5554165755522,,,,
1984-0339-PAK,1984,339,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,Chiltral-Landi Kotal (Hindu Kush),,,,,No,No,,7.0,Richter,34.07 N,71.15 E,,,1984,2.0,17.0,1984,2.0,17.0,4.0,12.0,,,12.0,,,,,,,38.3376251913405,,,,
1985-0078-PAK,1985,78,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,"Chitral, Swat districts",,,,,,,,7.0,Richter,36.19,70.896,12:54,,1985,7.0,29.0,1985,7.0,29.0,5.0,38.0,12000.0,,12038.0,,,,,2000.0,5038.0,39.696934178876,,,,
