Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1967-0049-PAK,1967,49,,Natural,Hydrological,Flood,,,,Pakistan,PAK,Southern Asia,Asia,Karachi area,,,,Yes,,,,,Km2,,,,,1967,7.0,24.0,1967,7.0,24.0,32.0,,150000.0,,150000.0,,,,,2800.0,22744.0,12.3107281871857,,,,
1976-0052-PAK,1976,52,,Natural,Hydrological,Flood,,,,Pakistan,PAK,Southern Asia,Asia,"Punjab, Sind, North West Frontier",,,,,,,,,Km2,,,,,1976,8.0,2.0,1976,8.0,2.0,338.0,,5566000.0,,5566000.0,,,,,505000.0,2404564.0,21.0017319046578,,,,
1981-0245-PAK,1981,245,,Natural,Hydrological,Flood,Flash flood,,,Pakistan,PAK,Southern Asia,Asia,North regions,,,,,,,,,Km2,,,,,1981,7.0,24.0,1981,7.0,24.0,82.0,,,,,,,,,,,33.5554165755522,,,,
1983-0440-PAK,1983,440,,Natural,Hydrological,Flood,,,,Pakistan,PAK,Southern Asia,Asia,Punjab province,,,,,,,,,Km2,,,,,1983,8.0,6.0,1983,8.0,6.0,39.0,,64300.0,,64300.0,,,,,,,36.7568773234201,,,,
1989-0270-PAK,1989,270,,Natural,Hydrological,Flood,Riverine flood,,,Pakistan,PAK,Southern Asia,Asia,"Punjab/Sialkot, Sargodha, Rajanpur, Jhang districts",Heavy rains,,,,No,No,,2692.0,Km2,,,,,1989,8.0,4.0,1989,8.0,4.0,20.0,,142400.0,,142400.0,,,,,,,45.749276186311,,,,
1992-0060-PAK,1992,60,,Natural,Hydrological,Flood,,,,Pakistan,PAK,Southern Asia,Asia,Sindh province,,,,Yes,No,No,,137600.0,Km2,,,,,1992,7.0,15.0,1992,8.0,10.0,112.0,,3233103.0,2951315.0,6184418.0,,,,,230.0,444.0,51.7831620380495,,,,
1992-0062-PAK,1992,62,,Natural,Hydrological,Flood,Riverine flood,,,Pakistan,PAK,Southern Asia,Asia,Azad Kashmir and Punjab,Monsoonal rain,,,Yes,Yes,Yes,,19409.0,Km2,,,,,1992,9.0,8.0,1992,9.0,18.0,1334.0,,6655450.0,,6655450.0,,,,,1000000.0,1931130.0,51.7831620380495,,,,
1993-0041-PAK,1993,41,,Natural,Hydrological,Flood,,,,Pakistan,PAK,Southern Asia,Asia,"Narowal, Sialkot, Kasur, Lahore, Faisalabad, Multan, Khanewal, Lodhran, Muzaffargarh, Rajanpur, Sheikhupura, Rahimyarkhan, Jhang, Bhawalnagar districts (Punjab province)",,,,,,,143.0,3895.0,Km2,,,,,1993,7.0,7.0,1993,7.0,7.0,15.0,,261295.0,,261295.0,,,,,,,53.3116203804942,,,,
1994-0075-PAK,1994,75,,Natural,Hydrological,Flood,Riverine flood,,,Pakistan,PAK,Southern Asia,Asia,"Murree, Risalpur, Karachi, Pashawar, Lahore, Sialkot, Multan, Bahawalpur, Shorkot, Quetta, Rawalpindi, Islamabad",Monsoonal rain,,,,No,No,964.0,,Km2,,,,,1994,7.0,11.0,1994,9.0,16.0,316.0,16.0,840000.0,,840016.0,,,,,92000.0,168185.0,54.7016925431883,,,,
1995-0123-PAK,1995,123,,Natural,Hydrological,Flood,Riverine flood,,,Pakistan,PAK,Southern Asia,Asia,Faisalabad,,,,,No,No,,,Km2,,,,,1995,6.0,21.0,1995,6.0,21.0,12.0,,,,,,,,,,,56.2363000218675,,,,
1995-0471-PAK,1995,471,,Natural,Hydrological,Flood,Riverine flood,,,Pakistan,PAK,Southern Asia,Asia,"Punjab, Sindh, Baluchistan, North West Frontier",Monsoonal rain,,,,No,No,,,Km2,,,,,1995,7.0,19.0,1995,8.0,10.0,600.0,,600000.0,,600000.0,,,,,,,56.2363000218675,,,,
1995-0156-PAK,1995,156,,Natural,Hydrological,Flood,Flash flood,,,Pakistan,PAK,Southern Asia,Asia,"Swat, Azad Kasmir, Dadu, Khuzdar, Dera Ismail Khan, Rawalpindi, Khal Magsi",Monsoonal rain,,,Yes,No,No,1019.0,1450.0,Km2,,,,,1995,7.0,22.0,1995,7.0,29.0,451.0,,1255000.0,,1255000.0,,,,,,,56.2363000218675,,,,
1996-0192-PAK,1996,192,,Natural,Hydrological,Flood,Riverine flood,,,Pakistan,PAK,Southern Asia,Asia,"Lahore, Sialkot, Pasrur (Eastern Punjab province)",Heavy rains,,,,No,No,,2173.0,Km2,,,,,1996,8.0,19.0,1996,9.0,2.0,111.0,,1300000.0,,1300000.0,,,,,,,57.8847058823529,,,,
