Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1926-0010-PAK,1926,10,,Natural,Meteorological,Storm,,,,Pakistan,PAK,Southern Asia,Asia,Karachi,,,,,,,,,Kph,,,,,1926,9.0,1.0,1926,9.0,1.0,,,,,,,,,,,,6.5480494533318,,,,
1939-0002-PAK,1939,2,,Natural,Meteorological,Storm,Convective storm,Hail,,Pakistan,PAK,Southern Asia,Asia,Hyderabad,,,,,,,,,Kph,,,,,1939,3.0,10.0,1939,3.0,10.0,,,,,,,,,,,,5.1448959990464,,,,
1944-0007-PAK,1944,7,,Natural,Meteorological,Storm,Tropical cyclone,,,Pakistan,PAK,Southern Asia,Asia,Karachi,,,,,,,,,Kph,,,,,1944,7.0,27.0,1944,7.0,27.0,,,,10000.0,10000.0,,,,,,,6.5111243624295,,,,
1964-0034-PAK,1964,34,,Natural,Meteorological,Storm,Tropical cyclone,,,Pakistan,PAK,Southern Asia,Asia,"Coast, Low Indus valley",,,,Yes,,,,,Kph,,,,,1964,6.0,12.0,1964,6.0,12.0,450.0,,400000.0,,400000.0,,,,,4100.0,35819.0,11.4465427509293,,,,
1965-0069-PAK,1965,69,,Natural,Meteorological,Storm,Tropical cyclone,,,Pakistan,PAK,Southern Asia,Asia,Karachi,,,,,,,,,Kph,,,,,1965,12.0,15.0,1965,12.0,15.0,10000.0,,,,,,,,,,,11.6279903783075,,,,
1980-0052-PAK,1980,52,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Pakistan,PAK,Southern Asia,Asia,Northern,,,,,,,,,Kph,,,,,1980,6.0,13.0,1980,6.0,13.0,18.0,23.0,,,23.0,,,,,,,30.4123857424011,,,,
1981-0244-PAK,1981,244,,Natural,Meteorological,Storm,Convective storm,Tornado,,Pakistan,PAK,Southern Asia,Asia,"Gujranwala, Sheikhupura districts",,,,,,,,,Kph,,,,,1981,3.0,10.0,1981,3.0,10.0,56.0,600.0,,,600.0,,,,,,,33.5554165755522,,,,
1986-0069-PAK,1986,69,,Natural,Meteorological,Storm,Convective storm,Sand/Dust storm,,Pakistan,PAK,Southern Asia,Asia,Karachi,,,,,,,,,Kph,,,,,1986,5.0,31.0,1986,5.0,31.0,11.0,250.0,,,250.0,,,,,,,40.4504089219331,,,,
1988-0321-PAK,1988,321,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Pakistan,PAK,Southern Asia,Asia,Jagat,,,,,,,,,Kph,,,,,1988,7.0,23.0,1988,7.0,23.0,36.0,,,,,,,,,,,43.6426415919528,,,,
1993-0304-PAK,1993,304,,Natural,Meteorological,Storm,Tropical cyclone,,,Pakistan,PAK,Southern Asia,Asia,"Keti Bandar, Hyderabad",,,,,,,,,Kph,,,,,1993,11.0,14.0,1993,11.0,14.0,609.0,,,,,,,,,,,53.3116203804942,,,,
