Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1966-0087-PAN,1966,87,,Natural,Hydrological,Flood,Flash flood,,,Panama,PAN,Central America,Americas,Pacora-Chepo area,,,,Yes,,,,,Km2,,,,,1966,11.0,4.0,1966,11.0,4.0,20.0,,1600.0,1000.0,2600.0,,,,,1000.0,8348.0,11.9785873605948,,,,
1970-0022-PAN,1970,22,,Natural,Hydrological,Flood,,,,Panama,PAN,Central America,Americas,Chiriqui province,,,,Yes,,,,,Km2,,,,,1970,4.0,8.0,1970,4.0,8.0,48.0,500.0,3500.0,,4000.0,,,,,15000.0,104689.0,14.3281696916685,,,,
1972-0039-PAN,1972,39,,Natural,Hydrological,Flood,,,,Panama,PAN,Central America,Americas,"Capital, San Miguelit",,,,Yes,,,,,Km2,,,,,1972,6.0,19.0,1972,6.0,19.0,,,300.0,,300.0,,,,,50.0,324.0,15.4322326700197,,,,
1973-0048-PAN,1973,48,,Natural,Hydrological,Flood,,,,Panama,PAN,Central America,Americas,South Veraguas province,,,,Yes,,,,,Km2,,,,,1973,11.0,17.0,1973,11.0,17.0,7.0,,4000.0,,4000.0,,,,,,,16.3855937021648,,,,
1978-0131-PAN,1978,131,,Natural,Hydrological,Flood,,,,Panama,PAN,Central America,Americas,Panama city,,,,,,,,,Km2,,,,,1978,11.0,9.0,1978,11.0,9.0,19.0,,2000.0,,2000.0,,,,,,,24.0740345506232,,,,
1984-0098-PAN,1984,98,,Natural,Hydrological,Flood,,,,Panama,PAN,Central America,Americas,Panama City area,,,,Yes,,,,,Km2,,,,,1984,10.0,30.0,1984,10.0,30.0,1.0,,1000.0,,1000.0,,,,,,,38.3376251913405,,,,
1991-0213-PAN,1991,213,,Natural,Hydrological,Flood,Riverine flood,,,Panama,PAN,Central America,Americas,Bocas del Toro Province,Heavy rain,"Slide (land, mud, snow, rock)",,Yes,No,No,,,Km2,,,,,1991,8.0,13.0,1991,8.0,22.0,12.0,61.0,20000.0,,20061.0,,,,,,,50.2608528318391,,,,
1995-0482-PAN,1995,482,,Natural,Hydrological,Flood,Riverine flood,,,Panama,PAN,Central America,Americas,"Los Santos, Panama",Heavy rain,,,,No,No,,13740.0,Km2,,,,,1995,10.0,10.0,1995,10.0,20.0,1.0,,500.0,,500.0,,,,,7000.0,12447.0,56.2363000218675,,,,
1999-0362-PAN,1999,362,,Natural,Hydrological,Flood,Coastal flood,,,Panama,PAN,Central America,Americas,,Tropical cyclone,,,,No,No,,,Km2,,,,,1999,9.0,12.0,1999,10.0,10.0,1.0,,,,,,,,,,,61.473667176908,,,,
1999-0598-PAN,1999,598,,Natural,Hydrological,Flood,,,,Panama,PAN,Central America,Americas,"Yaviza, Lajas Blancas, Penitas",,,,,,,,,Km2,,,,,1999,12.0,23.0,1999,12.0,23.0,,,500.0,395.0,895.0,,,,,,,61.473667176908,,,,
2001-0281-PAN,2001,281,,Natural,Hydrological,Flood,,,,Panama,PAN,Central America,Americas,Bocas del Toro province,,,,,,,,,Km2,,,,,2001,5.0,2.0,2001,5.0,2.0,,,,775.0,775.0,,,,,,,65.345558714192,1,93668,,Bocas del Toro (Adm1).
2002-0264-PAN,2002,264,,Natural,Hydrological,Flood,Riverine flood,,,Panama,PAN,Central America,Americas,"San Miguelito district (Panama province), Bocas del Toro, Veraguas, Chiriqui provinces",Heavy rain,,,,,,,,Km2,,,,,2002,5.0,6.0,2002,5.0,11.0,4.0,,10000.0,1500.0,11500.0,,,,,500.0,753.0,66.3819636999782,1;2,93668;93669;93673,23751,"Bocas del Toro, Chiriquí, Veraguas (Adm1). San Miguelito (Adm2)."
2002-0755-PAN,2002,755,,Natural,Hydrological,Flood,Riverine flood,,,Panama,PAN,Central America,Americas,"Bocas del Toro, Veraguas, Darien, Colon, Cocle, Kuna Yala, Panama provinces",Heavy rains,,,,,,,,Km2,,,,"Indio, Sixaola. Capira, Maria Chiquita, Santa Maria de Belen",2002,11.0,23.0,2002,12.0,13.0,1.0,,15000.0,,15000.0,,,,,,,66.3819636999782,1,2282;2283;2284;2288;93668;93670;93673,,"Bocas del Toro, Coclé, Colon, Darien, Kuna Yala, Panamá, Veraguas (Adm1)."
