Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1951-0043-PNG,1951,43,,Natural,Geophysical,Earthquake,Ground movement,,,Papua New Guinea,PNG,Melanesia,Oceania,,,,,,,,,,Richter,-9.3,147.1,,,1951,2.0,18.0,1951,2.0,18.0,3000.0,,,,,,,,,,,9.6005236345842,,,,
1970-0060-PNG,1970,60,,Natural,Geophysical,Earthquake,Ground movement,,,Papua New Guinea,PNG,Melanesia,Oceania,Madang,,"Slide (land, mud, snow, rock)",,,,,,7.0,Richter,-4.999,145.396,03:53,,1970,11.0,1.0,1970,11.0,1.0,15.0,20.0,4000.0,,4020.0,,,,,1750.0,12214.0,14.3281696916685,,,,
1983-0162-PNG,1983,162,,Natural,Geophysical,Earthquake,Ground movement,,,Papua New Guinea,PNG,Melanesia,Oceania,"Ulawun, Rabaul",,,,,,,,6.0,Richter,5.392,151.868,11:02,,1983,12.0,22.0,1983,12.0,22.0,10.0,,,,,,,,,25000.0,68014.0,36.7568773234201,,,,
1985-0227-PNG,1985,227,,Natural,Geophysical,Earthquake,Ground movement,,,Papua New Guinea,PNG,Melanesia,Oceania,"Bialla, Piona regions (West New Britain)",,,,,,,,7.0,Richter,-5.599,151.045,01:35,,1985,5.0,11.0,1985,5.0,11.0,,,,,,,,,,1000.0,2519.0,39.696934178876,,,,
1986-0076-PNG,1986,76,,Natural,Geophysical,Earthquake,Ground movement,,,Papua New Guinea,PNG,Melanesia,Oceania,East Sepik province,,"Slide (land, mud, snow, rock)",,,No,No,,7.0,Richter,4.0 S,142.0 E,,,1986,6.0,24.0,1986,6.0,24.0,,,1000.0,,1000.0,,,,,500.0,1236.0,40.4504089219331,,,,
1987-0058-PNG,1987,58,,Natural,Geophysical,Earthquake,Ground movement,,,Papua New Guinea,PNG,Melanesia,Oceania,"Umboi Isl., Finschafen area of Huon peninsula",,"Slide (land, mud, snow, rock)",,Yes,Yes,,,7.0,Richter,-6.088,147.689,4:33,,1987,2.0,9.0,1987,2.0,9.0,1.0,,4000.0,,4000.0,,,,,2625.0,6260.0,41.9327356221299,,,,
1990-0214-PNG,1990,214,,Natural,Geophysical,Earthquake,Ground movement,,,Papua New Guinea,PNG,Melanesia,Oceania,North East coast,,,,,No,No,,,Richter,3.5 S,144 E,,,1990,6.0,7.0,1990,6.0,7.0,,,,,,,,,,,,48.2187972884321,,,,
1993-0076-PNG,1993,76,,Natural,Geophysical,Earthquake,Ground movement,,,Papua New Guinea,PNG,Melanesia,Oceania,Goroka,,"Slide (land, mud, snow, rock)",,Yes,No,No,335.0,7.0,Richter,5.889 S,146.202 E,00:06,,1993,10.0,13.0,1993,10.0,13.0,53.0,200.0,10000.0,10000.0,20200.0,,,,,5000.0,9379.0,53.3116203804942,,,,
1998-0220-PNG,1998,220,,Natural,Geophysical,Earthquake,Tsunami,,,Papua New Guinea,PNG,Melanesia,Oceania,Sandaun Province,Earthquake,,,Yes,,,6228.0,7.0,Richter,-2.961,141.926,18:49,,1998,7.0,17.0,1998,7.0,17.0,2182.0,668.0,9199.0,,9867.0,,,,,,,60.1574108900066,,,,
2000-0749-PNG,2000,749,,Natural,Geophysical,Earthquake,Ground movement,,,Papua New Guinea,PNG,Melanesia,Oceania,"Duke of York island (Kokopo district, East New Britain province), New Ireland, Northern Solomons provinces",,Tsunami/Tidal wave,,,,,,8.0,Richter,-3.98,152.169,14:54,,2000,11.0,16.0,2000,11.0,16.0,2.0,,,5000.0,5000.0,,,,,,,63.5495473431008,1;2,2302;2304,37482,"New Ireland, Northern Solomons (Adm1). Kokopo (Adm2)."
