Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1990-0011-PRY,1990,11,,Natural,Hydrological,Flood,Riverine flood,,,Paraguay,PRY,South America,Americas,"Neembucu, Itapua, Missionesdepartment",Heavy rain,Broken Dam/Burst bank,,Yes,No,No,,,Km2,,,,,1990,1.0,14.0,1990,3.0,14.0,,,15000.0,,15000.0,,,,,,,48.2187972884321,,,,
1992-0077-PRY,1992,77,,Natural,Hydrological,Flood,,,,Paraguay,PRY,South America,Americas,"Concepcion, Alto Paraguay, San Pedro, Bajo Chaco, Central, Neembucu, Itapua",,,,Yes,,,2162.0,,Km2,,,,,1992,5.0,11.0,1992,5.0,11.0,,,65575.0,,65575.0,,,,,,,51.7831620380495,,,,
1995-0032-PRY,1995,32,,Natural,Hydrological,Flood,Riverine flood,,,Paraguay,PRY,South America,Americas,Asuncion,,,,,,,,,Km2,,,,,1995,2.0,15.0,1995,2.0,15.0,,,50000.0,,50000.0,,,,,,,56.2363000218675,,,,
1998-0080-PRY,1998,80,,Natural,Hydrological,Flood,,,,Paraguay,PRY,South America,Americas,,,,,Yes,No,No,,,Km2,,,,,1998,4.0,11.0,1998,5.0,8.0,55.0,,,,,,,,,5000.0,8312.0,60.1574108900066,,,,
2002-0296-PRY,2002,296,,Natural,Hydrological,Flood,Riverine flood,,,Paraguay,PRY,South America,Americas,Neembucu province,Heavy rain,Broken Dam/Burst bank,,,,,20.0,20250.0,Km2,,,,,2002,5.0,6.0,2002,5.0,28.0,,,2765.0,,2765.0,,,,,,,66.3819636999782,1,2324,,Neembucu (Adm1).
2009-0450-PRY,2009,450,FL-2009-000226,Natural,Hydrological,Flood,Riverine flood,,,Paraguay,PRY,South America,Americas,"Alto Parana, Itapua, Misiones, Neembucu provinces",Continuous rainfall,,,,,,,163300.0,Km2,-25.1,-56.27,,Parana,2009,9.0,22.0,2009,10.0,23.0,,,12035.0,,12035.0,,,,,820.0,1036.0,79.1738027553029,1,2312;2322;2323;2324,,"Alto Parana, Itapua, Misiones, Neembucu (Adm1)."
2012-0089-PRY,2012,89,FL-2012-000056,Natural,Hydrological,Flood,Riverine flood,,,Paraguay,PRY,South America,Americas,"Mcal. Estigarribia district (Boqueron province), Alto Paraguay, Concepcion, Presidente Hayes province",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,Pilcomayo river,2012,3.0,15.0,2012,4.0,,,,78945.0,,78945.0,,,,,4000.0,4721.0,84.7304788978789,1;2,2311;2319;2326,23810,"Alto Paraguay, Concepcion, Presidente Hayes (Adm1). Mcal. Estigarribia (Adm2)."
2013-0214-PRY,2013,214,FL-2013-000076,Natural,Hydrological,Flood,Riverine flood,,,Paraguay,PRY,South America,Americas,"Ciudad Del Este, Pte. Franco districts (Alto Parana province), San Cosme Y Damian district (Itapua province), Ayolas district (Misiones province), Cerrito, Gral. Jose E. Diaz, Paso De Patria, Mayor Martinez, Villa Franca, Villalvin districts (Neembucu province)",Persistent rainfall,,,Yes,,Yes,,131223.0,Km2,-24.146,-57.65,,"Parana, Paraguay rivers",2013,6.0,20.0,2013,7.0,18.0,,,61400.0,,61400.0,,,,,,,85.9716422479773,2,,23788;23800;23935;23942;23954;23956;23961;23962;23966;23968,"Ayolas, Cerrito, Ciudad Del Este, Gral. Jose E. Diaz, Mayor Martinez, Paso De Patria, Pte. Franco, San Cosme Y Damian, Villa Franca, Villalvin (Adm2)."
2014-0142-PRY,2014,142,FL-2014-000030,Natural,Hydrological,Flood,Riverine flood,,,Paraguay,PRY,South America,Americas,Asuncion district (Central province),Heavy rains,,,,,,,6830.0,Km2,-25.2205,-57.58,,,2014,2.0,25.0,2014,3.0,10.0,,,2000.0,,2000.0,,,,,,,87.3662978351193,2,,23849,Asuncion (Adm2).
2015-0310-PRY,2015,310,,Natural,Hydrological,Flood,Riverine flood,,,Paraguay,PRY,South America,Americas,"Asuncion district (Central province), San Pedro, Guaira provinces",Heavy rain,,,,,,,28653.0,Km2,-25.451,-59.27,,Rio Paraguay,2015,7.0,25.0,2015,8.0,5.0,,,3700.0,,3700.0,,,,,,,87.4699322108025,1;2,2321;2327,23849,"Guaira, San Pedro (Adm1). Asuncion (Adm2)."
2018-0066-PRY,2018,66,,Natural,Hydrological,Flood,Riverine flood,,,Paraguay,PRY,South America,Americas,"Bañado Norte, Chacarita, Bañado Sur",Heavy rains,,,,,,,2924.0,Km2,-25.312,-57.599,,,2018,1.0,13.0,2018,1.0,22.0,,,5000.0,,5000.0,,,,,,,92.6696698010059,2,,23849,Asuncion (Adm2).
