Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1913-0009-PER,1913,9,,Natural,Geophysical,Earthquake,Ground movement,,,Peru,PER,South America,Americas,"Albancay, Amyares, Casaya, Soraya",,,,,,,,6.0,Richter,-14.2,-72.9,16:33,,1913,11.0,4.0,1913,11.0,4.0,150.0,,,,,,,,,,,3.6555839993225,,,,
1914-0031-PER,1914,31,,Natural,Geophysical,Earthquake,Ground movement,,,Peru,PER,South America,Americas,"Pararca, Paysa, Colta, Oyala",,,,,,,,,Richter,-15.2,-73.2,18:55,,1914,12.0,2.0,1914,12.0,2.0,34.0,,,,,,,,,,,3.7048174538587,,,,
1939-0027-PER,1939,27,,Natural,Geophysical,Earthquake,Ground movement,,,Peru,PER,South America,Americas,Pomacanchi,,,,,,,,,Richter,-12.5,-72.0,23:22,,1939,6.0,23.0,1939,6.0,23.0,37.0,,,,,,,,,,,5.1448959990464,,,,
1940-0009-PER,1940,9,,Natural,Geophysical,Earthquake,Ground movement,,,Peru,PER,South America,Americas,Callao,,Tsunami/Tidal wave,,,,,,8.0,Richter,-10.5,-77,11:33,,1940,5.0,24.0,1940,5.0,24.0,179.0,3500.0,,,3500.0,,,,,,,5.1818210899486,,,,
1942-0039-PER,1942,39,,Natural,Geophysical,Earthquake,Ground movement,,,Peru,PER,South America,Americas,"Ica, Nazca",,Tsunami/Tidal wave,,,,,,8.0,Richter,-14.819,-74.708,17:50,,1942,8.0,24.0,1942,8.0,24.0,30.0,25.0,,,25.0,,,,,,,6.0434065443345,,,,
1943-0007-PER,1943,7,,Natural,Geophysical,Earthquake,Ground movement,,,Peru,PER,South America,Americas,"Yanaoca, Pampamarca",,,,,,,,5.0,Richter,-14.2,-71.5,00:01,,1943,1.0,30.0,1943,1.0,30.0,200.0,,,,,,,,,,,6.4003490897228,,,,
1946-0014-PER,1946,14,,Natural,Geophysical,Earthquake,Ground movement,,,Peru,PER,South America,Americas,"Ancash, Quiches, Joicaibamba, Cerro Angaschaj, Cerro Sillapata",,,,,,,,7.0,Richter,-8.41,-77.535,12:42,,1946,11.0,10.0,1946,11.0,10.0,1400.0,,,,,,,,,,,7.2127010895723,,,,
1947-0013-PER,1947,13,,Natural,Geophysical,Earthquake,Ground movement,,,Peru,PER,South America,Americas,"Satipo, Andamarca, Acpbamba, La Merced, Victoc",,,,,,,,8.0,Richter,-10.973,-74.725,09:58,,1947,11.0,1.0,1947,11.0,1.0,233.0,,,,,,,,,,,8.2589119984693,,,,
1950-0005-PER,1950,5,,Natural,Geophysical,Earthquake,Ground movement,,,Peru,PER,South America,Americas,Cusco,,,,,,,,6.0,Richter,-13.5,-72,13:37,,1950,5.0,21.0,1950,5.0,21.0,83.0,200.0,,,200.0,,,,,,,8.8989469074416,,,,
1953-0022-PER,1953,22,,Natural,Geophysical,Earthquake,Ground movement,,,Peru,PER,South America,Americas,Tumbes,,,,,,,,7.0,Richter,-3.552,-80.636,12:31,,1953,12.0,12.0,1953,12.0,12.0,9.0,20.0,,1000.0,1020.0,,,,,,,9.8959243618021,,,,
