Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1965-0072-PER,1965,72,,Natural,Hydrological,Flood,Riverine flood,,,Peru,PER,South America,Americas,,,,,,,,,,Km2,,,,,1965,12.0,22.0,1965,12.0,22.0,60.0,,,,,,,,,,,11.6279903783075,,,,
1977-0206-PER,1977,206,,Natural,Hydrological,Flood,,,,Peru,PER,South America,Americas,Amazonas province,,,,Yes,,,,,Km2,,,,,1977,4.0,6.0,1977,4.0,6.0,17.0,,,300.0,300.0,,,,,,,22.367198775421,,,,
1977-0135-PER,1977,135,,Natural,Hydrological,Flood,,,,Peru,PER,South America,Americas,Cuzco city,,,,,,,,,Km2,,,,,1977,11.0,17.0,1977,11.0,17.0,4.0,,640.0,,640.0,,,,,1000.0,4471.0,22.367198775421,,,,
1978-0045-PER,1978,45,,Natural,Hydrological,Flood,,,,Peru,PER,South America,Americas,San Martin,,,,Yes,,,,,Km2,,,,,1978,3.0,22.0,1978,3.0,22.0,2.0,,17000.0,5000.0,22000.0,,,,,2000.0,8308.0,24.0740345506232,,,,
1981-0266-PER,1981,266,,Natural,Hydrological,Flood,,,,Peru,PER,South America,Americas,Central mountains,,,,,,,,,Km2,,,,,1981,3.0,13.0,1981,3.0,13.0,70.0,,,5000.0,5000.0,,,,,6000.0,17881.0,33.5554165755522,,,,
1982-0025-PER,1982,25,,Natural,Hydrological,Flood,Flash flood,,,Peru,PER,South America,Americas,"Huallaga, Cuzco",,,,,,,,,Km2,,,,,1982,1.0,25.0,1982,1.0,25.0,332.0,,20000.0,5000.0,25000.0,,,,,,,35.6128405860485,,,,
1982-0050-PER,1982,50,,Natural,Hydrological,Flood,,,,Peru,PER,South America,Americas,Ucayali river,,,,,,,,,Km2,,,,,1982,4.0,13.0,1982,4.0,13.0,,,30000.0,,30000.0,,,,,,,35.6128405860485,,,,
1987-0073-PER,1987,73,,Natural,Hydrological,Flood,,,,Peru,PER,South America,Americas,Chosica (Lima),,,,,,,,,Km2,,,,,1987,3.0,9.0,1987,3.0,9.0,100.0,500.0,25000.0,,25500.0,,,,,,,41.9327356221299,,,,
1988-0093-PER,1988,93,,Natural,Hydrological,Flood,Riverine flood,,,Peru,PER,South America,Americas,Cuzco province,,,,,,,,,Km2,,,,,1988,2.0,24.0,1988,2.0,24.0,38.0,,,,,,,,,,,43.6426415919528,,,,
1989-0006-PER,1989,6,,Natural,Hydrological,Flood,,,,Peru,PER,South America,Americas,Arequipa,,,,Yes,,,,,Km2,,,,,1989,2.0,8.0,1989,2.0,8.0,38.0,,,500.0,500.0,,,,,,,45.749276186311,,,,
1990-0315-PER,1990,315,,Natural,Hydrological,Flood,Riverine flood,,,Peru,PER,South America,Americas,,Heavy rain,,,,No,No,,,Km2,,,,,1990,2.0,14.0,1990,2.0,14.0,20.0,,,,,,,,,,,48.2187972884321,,,,
