Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1918-0011-PHL,1918,11,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Mindanao, South Cotabato",,Tsunami/Tidal wave,"Slide (land, mud, snow, rock)",,,,,8.0,Richter,8.29,124.4,20:18,,1918,8.0,15.0,1918,8.0,15.0,100.0,,,,,,,,,,,5.5633803626052,,,,
1925-0010-PHL,1925,10,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,W. Luzo Isl.,,Tsunami/Tidal wave,,,,,,7.0,Richter,9.782,123.064,18:06,,1925,8.0,7.0,1925,8.0,7.0,17.0,,,,,,,,,,,6.4865076351614,,,,
1937-0024-PHL,1937,24,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,Tsunami/Tidal wave,,,,,,8.0,Richter,14.575,121.68,19:59,,1937,8.0,20.0,1937,8.0,20.0,1.0,200.0,,,200.0,,,,,,,5.3172130899236,,,,
1948-0014-PHL,1948,14,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Panay, Iloilo city, Antique",,,,,,,,8.0,Richter,10.5,122,01:46,,1948,1.0,25.0,1948,1.0,25.0,72.0,,,,,,,,,3500.0,39385.0,8.8866385438075,,,,
1954-0031-PHL,1954,31,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Luzon, Sorsogon, Bacon, Legaspi",,,,,,,,7.0,Richter,13,123.9,10:45,,1954,7.0,2.0,1954,7.0,2.0,13.0,101.0,,,101.0,,,,,,,9.9328494527043,,,,
1955-0002-PHL,1955,2,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Mindanao, Lanao, Ozamis city",,,,,,,,6.0,Richter,7.674,124.081,05:52,,1955,4.0,1.0,1955,4.0,1.0,400.0,2000.0,,,2000.0,,,,,5000.0,50601.0,9.8811808440849,,,,
1960-0015-PHL,1960,15,,Natural,Geophysical,Earthquake,Tsunami,,,Philippines (the),PHL,South-Eastern Asia,Asia,Nationwide,,,,,,,,,Richter,,,,,1960,5.0,22.0,1960,5.0,22.0,32.0,,,,,,,,,,,10.9145068882572,,,,
1968-0061-PHL,1968,61,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Luzon Is., Manila",,Tsunami/Tidal wave,,Yes,,,,,Richter,16.316,122.067,04:19,,1968,8.0,2.0,1968,8.0,2.0,271.0,261.0,,,261.0,,,,,5000.0,38951.0,12.8366149136235,,,,
1970-0004-PHL,1970,4,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Richter,15.791,121.630,,,1970,4.0,7.0,1970,4.0,7.0,14.0,200.0,,,200.0,,,,,,,14.3281696916685,,,,
1973-0017-PHL,1973,17,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Luzon, Tablas Is., Quezon city, Calaug, Lopez, Guiayangan",,,,,,,,7.0,Richter,13.372,122.787,16:30,,1973,3.0,17.0,1973,3.0,17.0,14.0,64.0,,,64.0,,,,,450.0,2746.0,16.3855937021648,,,,
1976-0054-PHL,1976,54,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Gulf of Moro, Sulu (Mindanao)",,Tsunami/Tidal wave,,Yes,,,,8.0,Richter,6.262,124.023,00:11,,1976,8.0,17.0,1976,8.0,17.0,6000.0,6348.0,175000.0,,181348.0,,,,,134000.0,638043.0,21.0017319046578,,,,
1977-0050-PHL,1977,50,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,Cagayan (N.E. Luzon),,,,,,,,7.0,Richter,16.773,122.327,05:43,,1977,3.0,19.0,1977,3.0,19.0,1.0,30.0,60000.0,,60030.0,,,,,100.0,447.0,22.367198775421,,,,
1983-0109-PHL,1983,109,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,Ilocos Norte,,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,,,,,7.0,Richter,18.231,120.86,20:17,,1983,8.0,18.0,1983,8.0,18.0,19.0,176.0,1725.0,,1901.0,,,,,2227.0,6059.0,36.7568773234201,,,,
1985-0171-PHL,1985,171,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,Mindanao,,,,,,,,7.0,Richter,7.758,123.544,09:49,,1985,3.0,19.0,1985,3.0,19.0,2.0,25.0,150.0,,175.0,,,,,,,39.696934178876,,,,
1990-0009-PHL,1990,9,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Bohol, Cebu, Cagayan De Oro, Camiguin, Cotabato, Mindanao",,Tsunami/Tidal wave,,,,,,7.0,Richter,9.725,124.625,,,1990,2.0,8.0,1990,2.0,8.0,1.0,4.0,34500.0,,34504.0,,,,,900.0,1866.0,48.2187972884321,,,,
1990-0028-PHL,1990,28,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,Cualasi area (Near Panay Isl.),,,,,,,,7.0,Richter,11.76,121.899,16:40,,1990,6.0,14.0,1990,6.0,14.0,4.0,15.0,,,15.0,,,,,,,48.2187972884321,,,,
1990-0040-PHL,1990,40,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Cabanatuan, Baguio, Dagupon (Luzon Isl.)",,"Slide (land, mud, snow, rock)",,Yes,Yes,No,,8.0,Richter,15.658 N,121.227 E,,,1990,7.0,16.0,1990,7.0,16.0,2412.0,3513.0,1594040.0,,1597553.0,,,55400.0,114893.0,369600.0,766506.0,48.2187972884321,,,,
1994-0768-PHL,1994,768,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,Oro area (Mindanao),,,,,No,No,,6.0,Richter,7.972 N,123.189 E,,,1994,5.0,13.0,1994,5.0,13.0,,3.0,215.0,,218.0,,,,,,,54.7016925431883,,,,
1994-0518-PHL,1994,518,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Mindoro, Luzon",,,,Yes,No,No,,7.0,Richter,13.352 N,121.087 E,03:15,,1994,11.0,15.0,1994,11.0,15.0,81.0,171.0,266710.0,3985.0,270866.0,,,,,3700.0,6764.0,54.7016925431883,,,,
1995-0055-PHL,1995,55,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,near Dolores (Samar Isl.),,,,,,,,7.0,Richter,12.01 N,125.6 E,8:00,,1995,4.0,21.0,1995,4.0,21.0,,,,,,,,,,,,56.2363000218675,,,,
1999-0644-PHL,1999,644,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon (Manila Region),,,,,,,,7.0,Richter,15.766,119.74,2:03,,1999,12.0,12.0,1999,12.0,12.0,6.0,40.0,150.0,,190.0,,,,,1794.0,2918.0,61.473667176908,,,,
2002-0129-PHL,2002,129,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"General Santos city (South Cotabato district, Region XII (Soccsksargen) province), Kiamba area (Saranggani district, Region XII (Soccsksargen) province)",,Tsunami/Tidal wave,,,,,,8.0,Richter,6.033,124.249,5:16,,2002,3.0,5.0,2002,3.0,5.0,15.0,100.0,73351.0,,73451.0,,,,,1714.0,2582.0,66.3819636999782,2,,24270;24271,"Saranggani, South Cotabato (Adm2)."
2009-0404-PHL,2009,404,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Norala, Sto. Nino areas (South Cotabato district, Region XII (Soccsksargen) province)",,,,,,,,6.0,Richter,6.513,124.715,,,2009,9.0,18.0,2009,9.0,19.0,,2.0,380.0,10.0,392.0,,,,,90.0,114.0,79.1738027553029,2,,24271,South Cotabato (Adm2).
2011-0445-PHL,2011,445,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Valencia area (Bukidnon district, Region X (Northern Mindanao) province)",,,,,,,,5.0,Richter,7.904,125.195,,,2011,11.0,7.0,2011,11.0,7.0,,3.0,25.0,,28.0,,,,,,,83.0126743931774,2,,24262,Bukidnon (Adm2).
2012-0031-PHL,2012,31,EQ-2012-000018,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Tayasan area (Negros Oriental district, Region VII (Central Visayas) province)",,"Slide (land, mud, snow, rock)",,,,,220.0,7.0,Richter,9.999,123.206,11:49,,2012,2.0,6.0,2012,2.0,6.0,113.0,112.0,320165.0,,320277.0,,,,,8900.0,10504.0,84.7304788978789,2,,24254,Negros Oriental (Adm2).
2012-0431-PHL,2012,431,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Guian town (Eastern Samar district, Region VIII (Eastern Visayas) province)",,,,,,,,8.0,Richter,10.811,126.638,20:47,,2012,8.0,31.0,2012,8.0,31.0,1.0,10.0,28869.0,,28879.0,,,,,3244.0,3829.0,84.7304788978789,2,,24257,Eastern Samar (Adm2).
2012-0321-PHL,2012,321,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Valencia, Maramag areas (Bukidnon district, Region X (Northern Mindanao) province)",,,,,,,,6.0,Richter,7.905,125.044,03:44,,2012,9.0,4.0,2012,9.0,4.0,,1.0,4000.0,,4001.0,,,,,,,84.7304788978789,2,,24262,Bukidnon (Adm2).
2013-0395-PHL,2013,395,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Catigbian village (Bohol district, Region VII (Central Visayas) province), Cebu, Siquijor, Negros Oriental districts (Region VII (Central Visayas) province), Negros Occidental, Iloilo, Guimaras districts (Region VI (Western Visayas) province)",,,,Yes,,,,7.0,Richter,9.8796,124.1167,08:12,,2013,10.0,15.0,2013,10.0,15.0,230.0,976.0,3221248.0,,3222224.0,,,20000.0,23263.0,51459.0,59856.0,85.9716422479773,2,,24249;24250;24251;24252;24253;24254;24255,"Bohol, Cebu, Guimaras, Iloilo, Negros Occidental, Negros Oriental, Siquijor (Adm2)."
2016-0537-PHL,2016,537,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,Surigao city,,,,,,,,7.0,Richter,,,,,2016,3.0,30.0,2016,3.0,30.0,8.0,202.0,,,202.0,,,,,,,88.573452875574,2,,67169,Surigao Del Norte (Adm2).
2017-0050-PHL,2017,50,EQ-2017-000016,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,Surigao Del Norte district (Region XIII (Caraga) province),,,,,,,,7.0,Richter,9.907,125.452,,,2017,2.0,10.0,2017,2.0,10.0,8.0,202.0,16655.0,,16857.0,,,,,13974.0,15448.0,90.4601793133611,2,,67169,Surigao Del Norte (Adm2).
2017-0140-PHL,2017,140,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Verde Island Passage (Tingloy, Maricaban Island). Batangas and Laguna provinces",,"Slide (land, mud, snow, rock)",,,,,,6.0,Richter,13.77,120.935,,,2017,4.0,8.0,2017,4.0,8.0,,,25000.0,,25000.0,,,,,2000.0,2211.0,90.4601793133611,2,,24227;24229,"Batangas, Laguna (Adm2)."
2017-0247-PHL,2017,247,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Kananga (Leyte Isl), Ormoc City, Carigara",,,,,,,,7.0,Richter,11.111,124.619,16:04,,2017,7.0,6.0,2017,7.0,6.0,3.0,448.0,16052.0,,16500.0,5300.0,5859.0,,,4364.0,4824.0,90.4601793133611,2,,24258,Leyte (Adm2).
2019-0162-PHL,2019,162,EQ-2019-000036,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,Castillejos (Zambales),,,,,,,,6.0,Richter,14.99,120.35,17:11,,2019,4.0,22.0,2019,4.0,22.0,25.0,282.0,15273.0,,15555.0,,,,,50000.0,52995.0,94.3490924994534,2,,24225,Zambales (Adm2).
