Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1968-0024-PHL,1968,24,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,Mindanao,,,,,,,,,Km2,,,,,1968,1.0,16.0,1968,1.0,16.0,29.0,,,,,,,,,,,12.8366149136235,,,,
1973-0083-PHL,1973,83,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,Cotabato,,,,,,,,,Km2,,,,,1973,9.0,7.0,1973,9.0,7.0,3.0,,5000.0,,5000.0,,,,,493.0,3009.0,16.3855937021648,,,,
1974-0079-PHL,1974,79,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,Agusan Del Norte,,,,,,,,,Km2,,,,,1974,2.0,11.0,1974,2.0,11.0,,,1823.0,,1823.0,,,,,,,18.196991034332,,,,
1975-0080-PHL,1975,80,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,Davao Del Norte,,,,,,,,,Km2,,,,,1975,3.0,3.0,1975,3.0,3.0,,,99.0,,99.0,,,,,,,19.8607741089,,,,
1976-0091-PHL,1976,91,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,Misamis Oriental,,,,,,,,,Km2,,,,,1976,1.0,25.0,1976,1.0,25.0,8.0,,1565.0,,1565.0,,,,,,,21.0017319046578,,,,
1976-0095-PHL,1976,95,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Capz, Aklan",,,,,,,,,Km2,,,,,1976,11.0,30.0,1976,11.0,30.0,10.0,,14313.0,,14313.0,,,,,1553.0,7395.0,21.0017319046578,,,,
1977-0161-PHL,1977,161,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,Mindanao,,,,,,,,,Km2,,,,,1977,2.0,22.0,1977,2.0,22.0,14.0,,1499.0,,1499.0,,,,,1913.0,8553.0,22.367198775421,,,,
1978-0168-PHL,1978,168,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,Jipapad (Eastern Samar),,,,,,,,,Km2,,,,,1978,2.0,2.0,1978,2.0,2.0,,,1500.0,,1500.0,,,,,,,24.0740345506232,,,,
1979-0138-PHL,1979,138,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,Cotabato,,,,,,,,,Km2,,,,,1979,7.0,16.0,1979,7.0,16.0,,,16000.0,,16000.0,,,,,6983.0,26072.0,26.7834419418325,,,,
1981-0150-PHL,1981,150,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Maco, Davao del Norte",,,,,,,,,Km2,,,,,1981,10.0,9.0,1981,10.0,9.0,125.0,122.0,,,122.0,,,,,,,33.5554165755522,,,,
1981-0097-PHL,1981,97,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,Lucena,,,,,,,,,Km2,,,,,1981,11.0,7.0,1981,11.0,7.0,,,7500.0,,7500.0,,,,,,,33.5554165755522,,,,
1982-0180-PHL,1982,180,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,Region X,,,,,,,,,Km2,,,,,1982,1.0,22.0,1982,1.0,22.0,18.0,,35.0,,35.0,,,,,,,35.6128405860485,,,,
1982-0195-PHL,1982,195,,Natural,Hydrological,Flood,Coastal flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Davao Del Norte, Sur & Oriental",,,,,,,,,Km2,,,,,1982,6.0,23.0,1982,6.0,23.0,,,818.0,,818.0,,,,,60.0,168.0,35.6128405860485,,,,
1983-0255-PHL,1983,255,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,Lanao del Sur,,,,,,,,,Km2,,,,,1983,9.0,23.0,1983,9.0,23.0,11.0,,1835.0,,1835.0,,,,,3.0,8.0,36.7568773234201,,,,
1985-0342-PHL,1985,342,,Natural,Hydrological,Flood,Riverine flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Tanjay, Pamplona",,,,,No,No,,12850.0,Km2,,,,,1985,1.0,26.0,1985,1.0,26.0,54.0,,444.0,,444.0,,,,,,,39.696934178876,,,,
1986-0155-PHL,1986,155,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,Davao Oriental,,,,,,,,,Km2,,,,,1986,6.0,28.0,1986,6.0,28.0,3.0,3.0,612.0,,615.0,,,,,56.0,138.0,40.4504089219331,,,,
1989-0094-PHL,1989,94,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Sorgoson, Camatines Sur, Samar",,,,Yes,,,,,Km2,,,,,1989,2.0,9.0,1989,2.0,9.0,44.0,11.0,260000.0,,260011.0,,,,,6000.0,13115.0,45.749276186311,,,,
1990-0027-PHL,1990,27,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Manukan, Bacungan, Zamboanga city (Zamboanga Del Norte province)",Brief torrential rains,,,,No,No,,3620.0,Km2,,,,,1990,6.0,17.0,1990,6.0,19.0,98.0,,236.0,,236.0,,,,,43.0,89.0,48.2187972884321,,,,
1990-0616-PHL,1990,616,,Natural,Hydrological,Flood,Coastal flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,Capital region Manila and Northern Luzon.,Tropical cyclone,"Slide (land, mud, snow, rock)",,Yes,No,No,,,Km2,,,,,1990,8.0,25.0,1990,9.0,1.0,28.0,,50000.0,,50000.0,,,,,,,48.2187972884321,,,,
1991-0533-PHL,1991,533,,Natural,Hydrological,Flood,Coastal flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon Isl.,Extra-tropical cyclone,"Slide (land, mud, snow, rock)",,,No,No,,,Km2,,,,,1991,8.0,20.0,1991,8.0,24.0,50.0,,,,,,,,,,,50.2608528318391,,,,
1991-0379-PHL,1991,379,,Natural,Hydrological,Flood,Coastal flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,Near Leyte (Samar Isl.),,,,,,,,,Km2,,,,,1991,11.0,11.0,1991,11.0,11.0,10.0,,,,,,,,,,,50.2608528318391,,,,
