Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1905-0004-PHL,1905,4,,Natural,Meteorological,Storm,Tropical cyclone,,,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1905,9.0,21.0,1905,9.0,21.0,240.0,,,,,,,,,,,3.3232581812022,,,,
1931-0008-PHL,1931,8,,Natural,Meteorological,Storm,Tropical cyclone,,,Philippines (the),PHL,South-Eastern Asia,Asia,West Luzon,,,,,,,,,Kph,,,,,1931,8.0,7.0,1931,8.0,7.0,,,,,,,,,,,,5.6249221807756,,,,
1932-0003-PHL,1932,3,,Natural,Meteorological,Storm,Tropical cyclone,,,Philippines (the),PHL,South-Eastern Asia,Asia,Sulu,,,,,,,,,Kph,,,,,1932,4.0,29.0,1932,4.0,29.0,147.0,,,2500.0,2500.0,,,,,,,5.0464290899737,,,,
1934-0010-PHL,1934,10,,Natural,Meteorological,Storm,Tropical cyclone,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Manila, Bulcan",,,,,,,,,Kph,,,,,1934,10.0,15.0,1934,10.0,15.0,,,,,,,,,,,,4.9479621809012,,,,
1934-0011-PHL,1934,11,,Natural,Meteorological,Storm,Tropical cyclone,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Samar, Tayabas",,,,,,,,,Kph,,,,,1934,11.0,10.0,1934,11.0,10.0,85.0,,,,,,,,,,,4.9479621809012,,,,
1936-0008-PHL,1936,8,,Natural,Meteorological,Storm,Tropical cyclone,,,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Kph,,,,,1936,10.0,5.0,1936,10.0,5.0,517.0,,,,,,,,,,,5.1325876354123,,,,
1937-0007-PHL,1937,7,,Natural,Meteorological,Storm,Tropical cyclone,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Leyte, Mindoro",,,,,,,,,Kph,,,,,1937,11.0,15.0,1937,11.0,15.0,231.0,,,,,,,,,,,5.3172130899236,,,,
1938-0006-PHL,1938,6,,Natural,Meteorological,Storm,Tropical cyclone,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Samar, South Luzon",,,,,,,,,Kph,,,,,1938,12.0,4.0,1938,12.0,4.0,305.0,,,,,,,,,,,5.2064378172168,,,,
1940-0013-PHL,1940,13,,Natural,Meteorological,Storm,Tropical cyclone,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Cantanduanes, Bondoc",,,,,,,,,Kph,,,,,1940,12.0,3.0,1940,12.0,3.0,73.0,,,,,,,,,,,5.1818210899486,,,,
1949-0014-PHL,1949,14,,Natural,Meteorological,Storm,Tropical cyclone,,Rena,Philippines (the),PHL,South-Eastern Asia,Asia,"Cebu City, Negros, Panay",,,,,,,,,Kph,,,,,1949,10.0,31.0,1949,10.0,31.0,1000.0,,,,,,,,,,,8.8004799983688,,,,
1951-0011-PHL,1951,11,,Natural,Meteorological,Storm,Tropical cyclone,,Iris,Philippines (the),PHL,South-Eastern Asia,Asia,"Samar, South Luzon",,,,,,,,,Kph,,,,,1951,4.0,24.0,1951,4.0,24.0,156.0,,,,,,,,,,,9.6005236345842,,,,
1951-0021-PHL,1951,21,,Natural,Meteorological,Storm,Tropical cyclone,,Wanda,Philippines (the),PHL,South-Eastern Asia,Asia,"Visayas, Bicol",,,,,,,,,Kph,,,,,1951,11.0,15.0,1951,11.0,15.0,87.0,,,,,,,,,,,9.6005236345842,,,,
1951-0024-PHL,1951,24,,Natural,Meteorological,Storm,Tropical cyclone,,Amy,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1951,12.0,9.0,1951,12.0,9.0,569.0,,60000.0,,60000.0,,,,,,,9.6005236345842,,,,
1952-0003-PHL,1952,3,,Natural,Meteorological,Storm,Tropical cyclone,,Emma,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1952,6.0,28.0,1952,6.0,28.0,19.0,103.0,,,103.0,,,,,,,9.8220741799977,,,,
