Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1977-0101-POL,1977,101,,Natural,Hydrological,Flood,,,,Poland,POL,Eastern Europe,Europe,Southwest,,,,,,,,,Km2,,,,,1977,8.0,4.0,1977,8.0,4.0,,,1000.0,,1000.0,,,,,,,22.367198775421,,,,
1997-0143-POL,1997,143,,Natural,Hydrological,Flood,Riverine flood,,,Poland,POL,Eastern Europe,Europe,"Katowice, Opole, Walbrzych, Raciborz, Wroclaw, Slubice",Heavy rains,,,Yes,Yes,No,26704.0,34950.0,Km2,,,,Oder,1997,7.0,3.0,1997,8.0,9.0,55.0,,162500.0,62000.0,224500.0,,,450000.0,759649.0,3500000.0,5908383.0,59.2378657336541,,,,
1998-0225-POL,1998,225,,Natural,Hydrological,Flood,Riverine flood,,,Poland,POL,Eastern Europe,Europe,Kedzko region,Heavy rain,,,,No,No,,,Km2,,,,,1998,7.0,23.0,1998,7.0,27.0,9.0,,1200.0,,1200.0,,,,,,,60.1574108900066,,,,
2001-0390-POL,2001,390,,Natural,Hydrological,Flood,Flash flood,,,Poland,POL,Eastern Europe,Europe,"Malopolske, Swietokrzyskie, Donoslaskie, Oploskie, Slaskie, Warminsko-Mazurkie, Podlaskie province ; Gdansk, Slupsk districts (Pomorskie province)",Brief torrential rain,,,Yes,,,14702.0,47890.0,Km2,,,,"Biala, Oder, Vistula, Paleczka, Czarna, San.",2001,7.0,20.0,2001,8.0,3.0,27.0,,15000.0,,15000.0,,,30000.0,45910.0,700000.0,1071228.0,65.345558714192,1;2,2370;2375;2377;2378;2381;2382;2383,24516;24526;24527,"Dolnoslaskie, Malopolske, Opolskie, Podkarpackie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie (Adm1). Gdansk, Slupsk, Slupsk I (Adm2)."
2004-0369-POL,2004,369,,Natural,Hydrological,Flood,Riverine flood,,,Poland,POL,Eastern Europe,Europe,"Podkarpackie, Malopolske province",Heavy rains,,,,,,,,Km2,,,,,2004,7.0,27.0,2004,8.0,2.0,,,600.0,,600.0,,,,,,,69.7064421605073,1,2375;2378,,"Malopolske, Podkarpackie (Adm1)."
2005-0131-POL,2005,131,,Natural,Hydrological,Flood,Riverine flood,,,Poland,POL,Eastern Europe,Europe,"Elk, Gizycko, Ketrzyn, Mragowo, Olecko districts (Warminsko-Mazurskie province) ; Dolnoslaskie province",Heavy raisn and melting snow,,,,,,,110.0,Km2,,,,"Tributaries of the Odra River. Wolborka. tributaries to the Vistula, Czarna, Wisla, Wislok. Pasleka, Kaczawa",2005,3.0,17.0,2005,3.0,26.0,2.0,,3600.0,,3600.0,,,,,,,72.0714104526569,1;2,2370,24588;24589;24591;24593;24596,"Dolnoslaskie (Adm1). Elk, Gizycko, Ketrzyn, Mragowo, Olecko (Adm2)."
2006-0302-POL,2006,302,,Natural,Hydrological,Flood,Riverine flood,,,Poland,POL,Eastern Europe,Europe,"Nowy Sacz, Tarnow districts (Malopolske province)",Heavy rain,,,,,,,27580.0,Km2,49.5,20.93,,,2006,6.0,4.0,2006,6.0,6.0,,,500.0,,500.0,,,,,,,74.3963874917997,2,,24406;24407;24413;24414,"Nowy Sacz, Nowy Sacz I, Tarnow, Tarnow I (Adm2)."
2009-0228-POL,2009,228,FL-2009-000121,Natural,Hydrological,Flood,Riverine flood,,,Poland,POL,Eastern Europe,Europe,"Kracow, Kracow I, Kracow II districts (Malopolske province) ; Dolnoslaskie, Opolskie, Slaskie provinces",Heavy rains,,,,,,,,Km2,,,,,2009,6.0,22.0,2009,6.0,26.0,1.0,,150.0,,150.0,,,,,100000.0,126304.0,79.1738027553029,1;2,2370;2377;2381,24400;24401;24402,"Dolnoslaskie, Opolskie, Slaskie (Adm1). Krakow, Krakow I, Krakow II (Adm2)."
2010-0193-POL,2010,193,,Natural,Hydrological,Flood,Riverine flood,,,Poland,POL,Eastern Europe,Europe,"Krakow district (Malapolske province), Warszawa district (Mazowieckje province) ; Slaskie, Podkarpackie, Opolskie, Swietokrizyskie, Malopolskie provinces",Heavy rains,Broken Dam/Burst bank,,Yes,,,50.0,,Km2,,,,"Koszarawa river, Vistule, Oder",2010,5.0,17.0,2010,5.0,26.0,16.0,,100000.0,,100000.0,,,,,3080000.0,3827405.0,80.472285151979,1;2,2375;2377;2378;2381;2382,24452,"Malopolske, Opolskie, Podkarpackie, Slaskie, Swietokrzyskie (Adm1). Warszawa (Adm2)."
2010-0380-POL,2010,380,,Natural,Hydrological,Flood,Flash flood,,,Poland,POL,Eastern Europe,Europe,"Bogatynia, Zgorzelec-Görlitz villages (Zgorzelec district), Radomierzyce village (Wroclaw I district) (Dolno?l?skie province)",,Broken Dam/Burst bank,,,,,,,Km2,,,,,2010,8.0,7.0,2010,8.0,8.0,3.0,,700.0,,700.0,,,,,,,80.472285151979,2,,24307;24309,"Wroclaw I, Zgorzelec (Adm2)."
