Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1967-0073-PRT,1967,73,,Natural,Hydrological,Flood,,,,Portugal,PRT,Southern Europe,Europe,Lisbon + 3 other cities,,,,Yes,,,,,Km2,,,,,1967,11.0,26.0,1967,11.0,26.0,462.0,100.0,1000.0,,1100.0,,,,,3000.0,24369.0,12.3107281871857,,,,
1981-0114-PRT,1981,114,,Natural,Hydrological,Flood,,,,Portugal,PRT,Southern Europe,Europe,Lisbon,,,,Yes,,,,,Km2,,,,,1981,12.0,29.0,1981,12.0,29.0,30.0,,900.0,,900.0,,,,,,,33.5554165755522,,,,
1983-0148-PRT,1983,148,,Natural,Hydrological,Flood,,,,Portugal,PRT,Southern Europe,Europe,"Lisbon, Louros, Cascais regions",,,,Yes,,,,,Km2,,,,,1983,11.0,18.0,1983,11.0,18.0,19.0,,2000.0,,2000.0,,,,,95000.0,258455.0,36.7568773234201,,,,
1996-0006-PRT,1996,6,,Natural,Hydrological,Flood,Flash flood,,,Portugal,PRT,Southern Europe,Europe,Central and North Regions,Torrential rains,,,,No,No,,,Km2,,,,,1996,1.0,8.0,1996,1.0,8.0,10.0,,1050.0,,1050.0,,,,,13000.0,22458.0,57.8847058823529,,,,
1996-0281-PRT,1996,281,,Natural,Hydrological,Flood,Riverine flood,,,Portugal,PRT,Southern Europe,Europe,North,Heavy rain,,,,No,No,,,Km2,,,,Tigus river,1996,12.0,22.0,1996,12.0,24.0,,,2000.0,,2000.0,,,,,,,57.8847058823529,,,,
2001-0040-PRT,2001,40,,Natural,Hydrological,Flood,Riverine flood,,,Portugal,PRT,Southern Europe,Europe,Mesao Frio district (Vila Real province) and Seia district (Guarda province),Heavy rain,"Slide (land, mud, snow, rock)",,,,,,10600.0,Km2,,,,Douro and Mondego. Tagus River,2001,1.0,26.0,2001,1.0,29.0,6.0,,,200.0,200.0,,,,,,,65.345558714192,2,,24785;24920,"Mesao Frio, Seia (Adm2)."
2002-0814-PRT,2002,814,,Natural,Hydrological,Flood,Riverine flood,,,Portugal,PRT,Southern Europe,Europe,"Aveiro, Braga, Braganca, Guarda, Porto, Viana Do Castelo, Vila Real, Viseu province",,,,,,,,,Km2,,,,,2002,12.0,26.0,2002,12.0,26.0,1.0,,,60.0,60.0,,,,,,,66.3819636999782,1,2386;2388;2389;2394;2408;2411;2412;2413,,"Aveiro, Braga, Braganca, Guarda, Porto, Viana Do Castelo, Vila Real, Viseu (Adm1)."
2003-0001-PRT,2003,1,,Natural,Hydrological,Flood,Riverine flood,,,Portugal,PRT,Southern Europe,Europe,"Agueda, Anadia, Mealhada, Oliveira do Bairro districts (Aveiro province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,"Agueda, Douro",2003,1.0,1.0,2003,1.0,8.0,,,36.0,,36.0,,,,,,,67.8888956921058,2,,24657;24659;24666;24669,"Agueda, Anadia, Mealhada, Oliveira Do Bairro (Adm2)."
2006-0617-PRT,2006,617,,Natural,Hydrological,Flood,Riverine flood,,,Portugal,PRT,Southern Europe,Europe,Faro province,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,41.65,-7.87,,,2006,10.0,22.0,2006,11.0,8.0,,,240.0,,240.0,,,,,,,74.3963874917997,1,2393,,Faro (Adm1).
2008-0074-PRT,2008,74,,Natural,Hydrological,Flood,Riverine flood,,,Portugal,PRT,Southern Europe,Europe,"Loures, Sacavem cities (Loure district, Lisboa province), Setubal city (Setubal district, Setubal province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2008,2.0,18.0,2008,2.0,18.0,2.0,,72.0,38.0,110.0,,,,,,,79.4563043953641,2,,24831;24905,"Loures, Setubal (Adm2)."
2010-0068-PRT,2010,68,,Natural,Hydrological,Flood,Riverine flood,,,Portugal,PRT,Southern Europe,Europe,Funchal district (Ilha Da Madera province),Torrential rain,"Slide (land, mud, snow, rock)",Rain,Yes,,,50.0,483.0,Km2,32.76,-16.97,,,2010,2.0,20.0,2010,2.0,21.0,43.0,18.0,600.0,,618.0,1440751.0,1790369.0,70000.0,86986.0,1350000.0,1677596.0,80.472285151979,2,,24789,Funchal (Adm2).
2015-0532-PRT,2015,532,,Natural,Hydrological,Flood,Flash flood,,,Portugal,PRT,Southern Europe,Europe,Faro province,,,,,,,,,Km2,,,,,2015,11.0,1.0,2015,11.0,3.0,1.0,,,,,,,,,,,87.4699322108025,1,2393,,Faro (Adm1).
