Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1941-0036-PRT,1941,36,,Natural,Meteorological,Storm,,,,Portugal,PRT,Southern Europe,Europe,"Vilanova de Famalicão, Guimarães, Paços de Ferreira, Paços de Ferreira, Porto, Espinho, Serra da Estrela, Leiria, Maceira, Bombarral, Arruda dos Vinhos, Malveira, Sintra,Lisbon, Cabo Ruivo, Campolide, Vendas Novas, Reliquias",,Transport accident,,,,,,,Kph,,,,,1941,2.0,15.0,1941,2.0,16.0,120.0,,,,,,,,,40000.0,735254.0,5.4402967262644,,,,
1973-0011-PRT,1973,11,,Natural,Meteorological,Storm,,,,Portugal,PRT,Southern Europe,Europe,Atlantic Coast,,,,,,,,,Kph,,,,,1973,1.0,17.0,1973,1.0,17.0,11.0,,,,,,,,,,,16.3855937021648,,,,
1989-0431-PRT,1989,431,,Natural,Meteorological,Storm,,,,Portugal,PRT,Southern Europe,Europe,,,,,,,,,,Kph,,,,,1989,2.0,25.0,1989,2.0,25.0,,,,,,,,,,,,45.749276186311,,,,
1997-0271-PRT,1997,271,,Natural,Meteorological,Storm,,,,Portugal,PRT,Southern Europe,Europe,South,,"Slide (land, mud, snow, rock)",Flood,,No,No,,,Kph,,,,,1997,10.0,30.0,1997,11.0,8.0,29.0,,,200.0,200.0,,,,,25000.0,42203.0,59.2378657336541,,,,
2000-0813-PRT,2000,813,,Natural,Meteorological,Storm,,,,Portugal,PRT,Southern Europe,Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",,,,,,,,100.0,Kph,,,,,2000,12.0,6.0,2000,12.0,6.0,4.0,10.0,,60.0,70.0,,,,,,,63.5495473431008,1,2386;2387;2388;2389;2390;2391;2392;2393;2394;2405;2406;2407;2408;2409;2410;2411;2412;2413,,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu (Adm1)."
2010-0088-PRT,2010,88,,Natural,Meteorological,Storm,Extra-tropical storm,,Xynthia,Portugal,PRT,Southern Europe,Europe,"Paredes, Porto, Vila Nova de Gaia districts (Porto province)",,,,,,,,140.0,Kph,,,,,2010,2.0,27.0,2010,2.0,27.0,3.0,,,,,,,70000.0,86986.0,270000.0,335519.0,80.472285151979,2,,24864;24866;24872,"Paredes, Porto, Vila Nova De Gaia (Adm2)."
2013-0155-PRT,2013,155,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Portugal,PRT,Southern Europe,Europe,Abrantes district (Santarem province),,"Slide (land, mud, snow, rock)",,,,,,130.0,Kph,,,,,2013,1.0,18.0,2013,1.0,19.0,1.0,21.0,3900.0,46.0,3967.0,,,137800.0,160285.0,,,85.9716422479773,2,,24873,Abrantes (Adm2).
2013-0530-PRT,2013,530,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm Dirk,Portugal,PRT,Southern Europe,Europe,"Lisboa, Santarém provinces",,,,,,,,,Kph,,,,,2013,12.0,24.0,2013,12.0,25.0,,,,,,,,,,,,85.9716422479773,1,2406;2409,,"Lisboa, Santarem (Adm1)."
2014-0008-PRT,2014,8,,Natural,Meteorological,Storm,Convective storm,,,Portugal,PRT,Southern Europe,Europe,Porto province,,,,,,,,,Kph,,,,,2014,1.0,4.0,2014,1.0,7.0,,4.0,50.0,,54.0,,,,,,,87.3662978351193,1,2408,,Porto (Adm1).
2014-0067-PRT,2014,67,,Natural,Meteorological,Storm,Extra-tropical storm,,Ulla,Portugal,PRT,Southern Europe,Europe,Ilha Da Madeira province,,,,,,,,,Kph,,,,,2014,2.0,15.0,2014,2.0,16.0,1.0,,,,,,,,,,,87.3662978351193,1,1886,,Ilha Da Madeira (madeira) (Adm1).
2018-0376-PRT,2018,376,,Natural,Meteorological,Storm,Tropical cyclone,,Storm 'Leslie',Portugal,PRT,Southern Europe,Europe,"Coimbra, Leiria dsitricts",,,,,,,,176.0,Kph,,,,,2018,10.0,14.0,2018,10.0,16.0,2.0,28.0,60.0,,88.0,,,60000.0,64746.0,115500.0,124636.0,92.6696698010059,1,2391;2405,,"Coimbra, Leiria (Adm1)."
2019-0626-PRT,2019,626,,Natural,Meteorological,Storm,Extra-tropical storm,,"Elsa, Fabien",Portugal,PRT,Southern Europe,Europe,"Montijo, Castro Daire, Águeda, Amarante, Chaves, Lisbon, Porto",,,,,,,,,Kph,,,,,2019,12.0,19.0,2019,12.0,22.0,2.0,,,,,,,,,,,94.3490924994534,1;2,2406;2408,24657;24900;24919;24933,"Lisboa, Porto (Adm1). Agueda, Castro Daire, Chaves, Montijo (Adm2)."
