Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1989-0416-PRI,1989,416,,Natural,Meteorological,Storm,Tropical cyclone,,,Puerto Rico,PRI,Caribbean,Americas,,,,,,,,,,Kph,,,,,1989,8.0,4.0,1989,8.0,4.0,,,2000.0,,2000.0,,,,,,,45.749276186311,,,,
1989-0115-PRI,1989,115,,Natural,Meteorological,Storm,Tropical cyclone,,Hugo,Puerto Rico,PRI,Caribbean,Americas,,,,,,No,No,,,Kph,,,,,1989,9.0,17.0,1989,9.0,17.0,,,,,,,,,,,,45.749276186311,,,,
1995-0194-PRI,1995,194,,Natural,Meteorological,Storm,Tropical cyclone,,Luis,Puerto Rico,PRI,Caribbean,Americas,,,,,,No,No,,241.0,Kph,,,,,1995,9.0,3.0,1995,9.0,7.0,,,98000.0,,98000.0,,,100000.0,177821.0,200000.0,355642.0,56.2363000218675,,,,
1995-0208-PRI,1995,208,,Natural,Meteorological,Storm,Tropical cyclone,,Marilyn,Puerto Rico,PRI,Caribbean,Americas,,,,,,No,No,,,Kph,,,,,1995,9.0,13.0,1995,9.0,19.0,1.0,,,,,,,50000.0,88911.0,100000.0,177821.0,56.2363000218675,,,,
1996-0201-PRI,1996,201,,Natural,Meteorological,Storm,Tropical cyclone,,Hortense,Puerto Rico,PRI,Caribbean,Americas,"Nagabo, Guayanilla, Ponce",,Flood,"Slide (land, mud, snow, rock)",,No,No,,130.0,Kph,,,,,1996,9.0,3.0,1996,9.0,16.0,18.0,,57315.0,,57315.0,,,150000.0,259136.0,500000.0,863786.0,57.8847058823529,,,,
1999-0557-PRI,1999,557,,Natural,Meteorological,Storm,Tropical cyclone,,Lenny,Puerto Rico,PRI,Caribbean,Americas,,,,,,No,No,,,Kph,,,,,1999,11.0,15.0,1999,11.0,19.0,1.0,,,,,,,60000.0,97603.0,150000.0,244007.0,61.473667176908,,,,
2003-0599-PRI,2003,599,,Natural,Meteorological,Storm,Tropical cyclone,,Odette,Puerto Rico,PRI,Caribbean,Americas,"Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan provinces",,Flood,,,,,,,Kph,,,,,2003,12.0,9.0,2003,12.0,9.0,,,,100.0,100.0,,,,,,,67.8888956921058,1,2414;2415;2416;2417;2418;2419;2420;2421,,"Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan (Adm1)."
2004-0455-PRI,2004,455,,Natural,Meteorological,Storm,Tropical cyclone,,Frances,Puerto Rico,PRI,Caribbean,Americas,"Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan provinces",,,,,,,,,Kph,,,,,2004,8.0,31.0,2004,8.0,31.0,,,,,,,,,,,,69.7064421605073,1,2414;2415;2416;2417;2418;2419;2420;2421,,"Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan (Adm1)."
2004-0473-PRI,2004,473,,Natural,Meteorological,Storm,Tropical cyclone,,Jeanne,Puerto Rico,PRI,Caribbean,Americas,"Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan provinces",,Rain,,,,Yes,,130.0,Kph,,,,,2004,9.0,14.0,2004,9.0,14.0,2.0,,3500.0,,3500.0,,,30000.0,43038.0,100000.0,143459.0,69.7064421605073,1,2414;2415;2416;2417;2418;2419;2420;2421,,"Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan (Adm1)."
2007-0612-PRI,2007,612,ST-2007-000224,Natural,Meteorological,Storm,Tropical cyclone,,Olga,Puerto Rico,PRI,Caribbean,Americas,San Juan province,,Flood,,,,,,,Kph,18.93,-71.03,,,2007,12.0,11.0,2007,12.0,17.0,1.0,,,,,,,,,,,76.5186792040236,1,2421,,San Juan (Adm1).
2011-0303-PRI,2011,303,,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Emily""",Puerto Rico,PRI,Caribbean,Americas,"Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan provinces",,,,,,,,,Kph,,,,,2011,8.0,4.0,2011,8.0,4.0,,,,,,,,,,,,83.0126743931774,1,2414;2415;2416;2417;2418;2419;2420;2421,,"Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan (Adm1)."
2011-0328-PRI,2011,328,TC-2011-000114,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Irene,Puerto Rico,PRI,Caribbean,Americas,"Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan provinces",,Flood,,,,Yes,,130.0,Kph,,,,,2011,8.0,22.0,2011,8.0,22.0,1.0,,1500.0,771.0,2271.0,,,450000.0,542086.0,500000.0,602318.0,83.0126743931774,1,2414;2415;2416;2417;2418;2419;2420;2421,,"Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan (Adm1)."
2012-0313-PRI,2012,313,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Isaac,Puerto Rico,PRI,Caribbean,Americas,"Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan provinces",,,,,,,,,Kph,,,,,2012,8.0,25.0,2012,8.0,25.0,,,,,,,,,,,,84.7304788978789,1,2414;2415;2416;2417;2418;2419;2420;2421,,"Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan (Adm1)."
2017-0381-PRI,2017,381,TC-2017-000132,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Irma',Puerto Rico,PRI,Caribbean,Americas,North. Culebra and Vieques Islands,,Flood,,,,,,,Kph,,,,,2017,9.0,6.0,2017,9.0,7.0,2.0,,,,,,,,,,,90.4601793133611,1,2414;2415;2416;2418;2421,,"Aguadilla, Arecibo, Bayamon, Humacao, San Juan (Adm1)."
