Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1908-0006-ROU,1908,6,,Natural,Geophysical,Earthquake,Ground movement,,,Romania,ROU,Eastern Europe,Europe,,,,,,,,,,Richter,,,,,1908,10.0,6.0,1908,10.0,6.0,,,,,,,,,,,,3.3232581812022,,,,
1913-0008-ROU,1913,8,,Natural,Geophysical,Earthquake,Ground movement,,,Romania,ROU,Eastern Europe,Europe,Tirnovo,,,,,,,,7.0,Richter,43.5,25.5,12:33,,1913,6.0,14.0,1913,6.0,14.0,,,,,,,,,,,,3.6555839993225,,,,
1928-0006-ROU,1928,6,,Natural,Geophysical,Earthquake,Ground movement,,,Romania,ROU,Eastern Europe,Europe,,,,,,,,,,Richter,,,,,1928,4.0,14.0,1928,4.0,14.0,,,,,,,,,,,,6.3511156351865,,,,
1934-0006-ROU,1934,6,,Natural,Geophysical,Earthquake,Ground movement,,,Romania,ROU,Eastern Europe,Europe,,,,,,,,,,Richter,,,,,1934,3.0,29.0,1934,3.0,29.0,,,,,,,,,,,,4.9479621809012,,,,
1940-0001-ROU,1940,1,,Natural,Geophysical,Earthquake,Ground movement,,,Romania,ROU,Eastern Europe,Europe,Bucharest,,,,,,,,7.0,Richter,45.8,26.8,03:39,,1940,11.0,10.0,1940,11.0,10.0,980.0,,,,,,,,,10000.0,192982.0,5.1818210899486,,,,
1945-0003-ROU,1945,3,,Natural,Geophysical,Earthquake,Ground movement,,,Romania,ROU,Eastern Europe,Europe,,,,,,,,,,Richter,,,,,1945,9.0,7.0,1945,9.0,7.0,,,,,,,,,,,,6.6588247260385,,,,
1945-0008-ROU,1945,8,,Natural,Geophysical,Earthquake,Ground movement,,,Romania,ROU,Eastern Europe,Europe,,,,,,,,,,Richter,,,,,1945,12.0,9.0,1945,12.0,9.0,,,,,,,,,,,,6.6588247260385,,,,
1977-0048-ROU,1977,48,,Natural,Geophysical,Earthquake,Ground movement,,,Romania,ROU,Eastern Europe,Europe,Bucharest,,,,Yes,,,,8.0,Richter,45.772,26.761,21:21,,1977,3.0,4.0,1977,3.0,4.0,1641.0,11300.0,200000.0,175000.0,386300.0,,,,,2000000.0,8941665.0,22.367198775421,,,,
1990-0020-ROU,1990,20,,Natural,Geophysical,Earthquake,Ground movement,,,Romania,ROU,Eastern Europe,Europe,Bucharest-Braila-Brasov Area,,,,,,,,7.0,Richter,45.841,26.668,,,1990,5.0,30.0,1990,5.0,30.0,9.0,700.0,,,700.0,,,23700.0,49151.0,,,48.2187972884321,,,,
1991-0774-ROU,1991,774,,Natural,Geophysical,Earthquake,Ground movement,,,Romania,ROU,Eastern Europe,Europe,Orosova area,,"Slide (land, mud, snow, rock)",,,No,No,,6.0,Richter,44.888 N,22.407 E,,,1991,7.0,18.0,1991,7.0,18.0,,,1845.0,,1845.0,,,,,,,50.2608528318391,,,,
1991-0399-ROU,1991,399,,Natural,Geophysical,Earthquake,Ground movement,,,Romania,ROU,Eastern Europe,Europe,Vouteg (Timis province),,,,,No,No,,6.0,Richter,45.5 N,21.3 E,,,1991,12.0,2.0,1991,12.0,2.0,,5.0,,4000.0,4005.0,,,,,,,50.2608528318391,,,,
