Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1970-0029-ROU,1970,29,,Natural,Hydrological,Flood,,,,Romania,ROU,Eastern Europe,Europe,East,,,,Yes,,,,,Km2,,,,,1970,5.0,11.0,1970,5.0,11.0,215.0,,238755.0,,238755.0,,,,,500000.0,3489629.0,14.3281696916685,,,,
1984-0276-ROU,1984,276,,Natural,Hydrological,Flood,,,,Romania,ROU,Eastern Europe,Europe,South regions,,,,,,,,,Km2,,,,,1984,3.0,13.0,1984,3.0,13.0,,,2000.0,,2000.0,,,,,,,38.3376251913405,,,,
1991-0172-ROU,1991,172,,Natural,Hydrological,Flood,Riverine flood,,,Romania,ROU,Eastern Europe,Europe,"Bacau, Suceava, Neamt, Onesti",Heavy rain,Broken Dam/Burst bank,,Yes,Yes,No,,40940.0,Km2,,,,,1991,7.0,29.0,1991,7.0,30.0,108.0,,7000.0,8000.0,15000.0,,,,,50000.0,99481.0,50.2608528318391,,,,
1994-0180-ROU,1994,180,,Natural,Hydrological,Flood,Riverine flood,,,Romania,ROU,Eastern Europe,Europe,,,,,,No,No,,,Km2,,,,,1994,8.0,27.0,1994,8.0,28.0,2.0,,,,,,,,,3000.0,5484.0,54.7016925431883,,,,
1995-0475-ROU,1995,475,,Natural,Hydrological,Flood,Riverine flood,,,Romania,ROU,Eastern Europe,Europe,"Transylvania, Moldova, Maramures, Cluj, Neamt (North), Mures, Alba, Hunedoara, Bacau (Central), Arad (South)",Heavy rain,,,,No,No,,187000.0,Km2,,,,"Bistritza, Aries, Somesh, Cris",1995,12.0,28.0,1996,1.0,7.0,2.0,,,5000.0,5000.0,,,,,3400.0,6046.0,56.2363000218675,,,,
1997-0166-ROU,1997,166,,Natural,Hydrological,Flood,Riverine flood,,,Romania,ROU,Eastern Europe,Europe,"Alba, Arad, Bihor, Bistrita-Nasaud, Botosani, Braila, Buzau, Dimbovita, Galati, Hundedoara, Maramures, Mures, Sibiu, Timis, Tulcea, Vaskui, Vrancea, Prahova, Bacau, Iasi, Suceava, Teleorman, Olt, Dolj, Caras-Severin",Heavy rain,,,,No,No,410.0,2951.0,Km2,,,,,1997,7.0,4.0,1997,8.0,9.0,20.0,,,122320.0,122320.0,,,,,110000.0,185692.0,59.2378657336541,,,,
1998-0193-ROU,1998,193,,Natural,Hydrological,Flood,Riverine flood,,,Romania,ROU,Eastern Europe,Europe,"Bacau, Vaslui, Vrancea (Northetn Moldavia), Salaj, Mures, Neamt, Cluj, Alba, Sibiu, Hundoara (Transylvania)",Heavy rains,"Slide (land, mud, snow, rock)",,Yes,No,No,2270.0,1030.0,Km2,,,,,1998,6.0,15.0,1998,6.0,30.0,31.0,,12000.0,,12000.0,,,,,150000.0,249346.0,60.1574108900066,,,,
1999-0230-ROU,1999,230,,Natural,Hydrological,Flood,Riverine flood,,,Romania,ROU,Eastern Europe,Europe,,,,,,No,No,,,Km2,,,,,1999,6.0,22.0,1999,7.0,16.0,19.0,3.0,4578.0,90.0,4671.0,,,,,10000.0,16267.0,61.473667176908,,,,
1999-0231-ROU,1999,231,,Natural,Hydrological,Flood,Riverine flood,,,Romania,ROU,Eastern Europe,Europe,Northern and western,Heavy rain,,,,No,No,454.0,,Km2,,,,"Siret, Somes, and Riul Mare Rivers",1999,7.0,9.0,1999,7.0,16.0,15.0,22.0,3840.0,500.0,4362.0,,,,,50000.0,81336.0,61.473667176908,,,,
2000-0187-ROU,2000,187,,Natural,Hydrological,Flood,Riverine flood,,,Romania,ROU,Eastern Europe,Europe,"Alba, Arad, Bihor, Bistrita, Botosani, Brasov, Caras-Severin, Cluj, Harghita, Hunedoara, Mamamures, Mures, Olt, Satu-Mare, Salaj, Timis provinces",Snowmelt,,,Yes,,,536.0,932.0,Km2,,,,"Lapus, Cavnis, Iza, Viseu, Tisa, Cris, Olt, Mures, Somes, Bega, Crisul Alb, Tirnava Mica, and Timis",2000,4.0,5.0,2000,4.0,25.0,9.0,,60000.0,431.0,60431.0,,,,,100000.0,157358.0,63.5495473431008,1,2446;2447;2450;2451;2452;2454;2458;2459;2467;2468;2471;2473;2475;2477;2478;2482,,"Alba, Arad, Bihor, Bistrita-nasaud, Botosani, Brasov, Caras-severin, Cluj, Harghita, Hunedoara, Maramures, Mures, Olt, Salaj, Satu Mare, Timis (Adm1)."
