Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1993-0039-RUS,1993,39,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,Districts of Serov and Krasnotyurinsk (Urals/Sverdlovsk Region),Heavy rain and Snowmelt,Broken Dam/Burst bank,,,No,No,,23270.0,Km2,,,,Kavka River,1993,6.0,13.0,1993,6.0,17.0,125.0,453.0,6500.0,,6953.0,,,,,34000.0,63776.0,53.3116203804942,,,,
1994-0088-RUS,1994,88,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Kurgan, Belozyorsk (Urals), Westen Siberua, Bashkiria (Volga), Volgograde region",,,,,,,,350.0,Km2,,,,,1994,3.0,1.0,1994,3.0,1.0,1.0,,10204.0,,10204.0,,,,,,,54.7016925431883,,,,
1994-0758-RUS,1994,758,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,Volga delta (Kalmykia republic),Heavy rain,,,,No,No,,,Km2,,,,,1994,3.0,17.0,1994,3.0,22.0,7.0,,1000.0,,1000.0,,,,,,,54.7016925431883,,,,
1994-0775-RUS,1994,775,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,Bashkortosan (Ural mountains),Heavy rains,Broken Dam/Burst bank,,,No,No,,,Km2,,,,"Tirlyan reservoirs, Belaya",1994,8.0,5.0,1994,8.0,8.0,20.0,,1000.0,,1000.0,,,,,19000.0,34734.0,54.7016925431883,,,,
1994-0218-RUS,1994,218,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Olginskiy, Lazovskiy (Primorskij region), Vladisvotok",Heavy rain,,,Yes,No,No,,25000.0,Km2,,,,"Ussuri, Lazovka, Avakumovka",1994,9.0,17.0,1994,9.0,26.0,18.0,,775000.0,429.0,775429.0,,,,,262000.0,478961.0,54.7016925431883,,,,
1996-0359-RUS,1996,359,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,Irkoutsk region (Siberia),Heavy rains,,,,No,No,,614000.0,Km2,,,,,1996,7.0,3.0,1996,7.0,7.0,,,220000.0,,220000.0,,,,,158400.0,273647.0,57.8847058823529,,,,
1996-0471-RUS,1996,471,,Natural,Hydrological,Flood,Flash flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,"North Primorye, Southern Khavarovsk",Brief torrential rain,,,,No,No,,524900.0,Km2,,,,,1996,8.0,1.0,1996,8.0,25.0,4.0,,14000.0,,14000.0,,,,,140000.0,241860.0,57.8847058823529,,,,
1997-0564-RUS,1997,564,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,Krasny (Akskaisky region),Heavy rain,,,,No,No,,12910.0,Km2,,,,,1997,4.0,15.0,1997,4.0,17.0,2.0,,500.0,,500.0,,,,,174100.0,293900.0,59.2378657336541,,,,
1998-0608-RUS,1998,608,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,Coast of Azov Sea to Krasnodar Kuban region,Snowmelt,Broken Dam/Burst bank,,,No,No,,,Km2,,,,,1998,2.0,18.0,1998,3.0,7.0,1.0,,88000.0,,88000.0,,,,,13000.0,21610.0,60.1574108900066,,,,
1998-0121-RUS,1998,121,,Natural,Hydrological,Flood,,,,Russian Federation (the),RUS,Eastern Europe,Europe,Veliky Ustyung,,,,,,,,,Km2,,,,,1998,5.0,7.0,1998,5.0,7.0,,,3500.0,,3500.0,,,,,,,60.1574108900066,,,,
1998-0179-RUS,1998,179,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,Sakha-Yakutia region (Siberia),Ici jam,,,Yes,Yes,No,1549.0,,Km2,,,,,1998,5.0,16.0,1998,6.0,6.0,13.0,,42600.0,36000.0,78600.0,,,,,3500.0,5818.0,60.1574108900066,,,,
1998-0166-RUS,1998,166,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Lenks, Sibary",,,,,,,,,Km2,,,,,1998,5.0,17.0,1998,5.0,17.0,,,20000.0,,20000.0,,,,,,,60.1574108900066,,,,
2000-0202-RUS,2000,202,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Kurgan, Orenburg (Chelyabinskaya Oblast province)",,,,,,,,,Km2,,,,,2000,4.0,14.0,2000,4.0,14.0,1.0,,23000.0,,23000.0,,,,,,,63.5495473431008,1,2499,,Chelyabinskaya Oblast (Adm1).
2000-0278-RUS,2000,278,,Natural,Hydrological,Flood,,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Aginskiy Buryatskiy A. Okrug, Altay Rep., Altayskiy Kray, Buryatiya Rep., Chitinskaya Oblast, Irkutskaya Oblast, Kemerovskaya Oblast, Khakasiya Rep., Krasnoyarskiy Kray, Novosibirskaya Oblast, Omskaya Oblast, Tomskaya Oblast, Tyva Rep., Ustordynskiy Buryatskiy Okrug",,,,,,,,,Km2,,,,,2000,5.0,13.0,2000,5.0,13.0,,,1200.0,,1200.0,,,,,,,63.5495473431008,1,2488;2489;2490;2497;2500;2506;2515;2517;2525;2541;2542;2563;2567;2570,,"Aginskiy Buryatskiy A. Okrug, Altay Rep., Altayskiy Kray, Buryatiya Rep., Chitinskaya Oblast, Irkutskaya Oblast, Kemerovskaya Oblast, Khakasiya Rep., Krasnoyarskiy Kray, Novosibirskaya Oblast, Omskaya Oblast, Tomskaya Oblast, Tyva Rep., Ustordynskiy Buryatskiy Okrug (Adm1)."
2000-0478-RUS,2000,478,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Primorskiy Kray, Khabarovskiy Kray, Sakhalinskaya Oblast provinces",Heavy rain,,,,,,,192100.0,Km2,,,,,2000,7.0,30.0,2000,8.0,6.0,2.0,,24000.0,,24000.0,,,,,30000.0,47207.0,63.5495473431008,1,2516;2547;2552,,"Khabarovskiy Kray, Primorskiy Kray, Sakhalinskaya Oblast (Adm1)."
2000-0549-RUS,2000,549,,Natural,Hydrological,Flood,Coastal flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Bolshoi, Dalnegorsk (Primorskiy Kray)",,,,,,,,,Km2,,,,,2000,8.0,28.0,2000,8.0,28.0,,,1181.0,,1181.0,,,,,1622.0,2552.0,63.5495473431008,1,2547,,Primorskiy Kray (Adm1).
2000-0612-RUS,2000,612,,Natural,Hydrological,Flood,,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Primorskiy Kray, Sakhalinskaya Oblast, Koryakskiy Okrug provinces",,,,,,,,,Km2,,,,,2000,9.0,18.0,2000,9.0,18.0,,,1320.0,,1320.0,,,,,,,63.5495473431008,1,2522;2547;2552,,"Koryakskiy Okrug, Primorskiy Kray, Sakhalinskaya Oblast (Adm1)."
2001-0227-RUS,2001,227,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Sakha Rep., Bashkortostan Rep., Tyva Rep., Krasnoyarskiy Kray provinces",Snowmelt,,,Yes,,,597.0,2857000.0,Km2,,,,"Lena, Aldan, Yenisei, Kacha, Tuba, Podkammennaya Tunguska, Yenisei Rivers, Ob, Biya and Katun, Belaya river",2001,5.0,12.0,2001,5.0,27.0,10.0,,50305.0,,50305.0,,,,,241000.0,368809.0,65.345558714192,1,2494;2525;2551;2567,,"Bashkortostan Rep., Krasnoyarskiy Kray, Sakha Rep., Tyva Rep. (Adm1)."
2001-0388-RUS,2001,388,,Natural,Hydrological,Flood,Coastal flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Buryatiya Rep., Irkutskaya Oblast provinces",Extra-tropical cyclone,,,,,,,231500.0,Km2,,,,"Tunka, Oka, Slyudyanka. Upper reaches of Ob, Lena and Yenisei Rivers. Selenga and Uda Rivers",2001,7.0,7.0,2001,7.0,13.0,11.0,,300000.0,,300000.0,,,,,33000.0,50501.0,65.345558714192,1,2497;2506,,"Buryatiya Rep., Irkutskaya Oblast (Adm1)."
2001-0420-RUS,2001,420,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,Vladivostok region (Primorskiy Kray province),Heavy rain,,,,,,,36650.0,Km2,,,,"Sedanka, Partizanskaya.",2001,8.0,6.0,2001,8.0,12.0,16.0,,25000.0,,25000.0,,,,,17000.0,26016.0,65.345558714192,1,2547,,Primorskiy Kray (Adm1).
2002-0024-RUS,2002,24,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Krasnodar Temryuk, Anapa, Slavyank cities (Krasnodarskiy Kray province)",Snowmelt,,,,,,,9580.0,Km2,,,,Kuban,2002,1.0,6.0,2002,1.0,23.0,1.0,,3000.0,,3000.0,,,,,64970.0,97873.0,66.3819636999782,1,2524,,Krasnodarskiy Kray (Adm1).
2002-0376-RUS,2002,376,,Natural,Hydrological,Flood,Flash flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Stavropolskiy Kray, Krasnodarskiy Kray , Karatchayevo-cherkesiya Rep., Ingushetiya Rep., Adygeya Rep., Chechnya Rep., Kabardino-balkariya Rep., Severnaya Osetiya-alaniya Rep., Dagestan Rep. provinces",Heavy rains,"Slide (land, mud, snow, rock)",,Yes,,,5018.0,224600.0,Km2,,,,"Kuban, Malka, Baksan, Terek, Kardonik, Argun, Sundzha, Laba, Belaya, Urup and Fars.",2002,6.0,19.0,2002,7.0,1.0,117.0,1200.0,329413.0,,330613.0,,,,,450000.0,677895.0,66.3819636999782,1,2487;2498;2503;2505;2508;2513;2524;2556;2558,,"Adygeya Rep., Chechnya Rep., Dagestan Rep., Ingushetiya Rep., Kabardino-balkariya Rep., Karatchayevo-cherkesiya Rep., Krasnodarskiy Kray, Severnaya Osetiya-alaniya Rep., Stavropolskiy Kray (Adm1)."
2002-0533-RUS,2002,533,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,Vladivostok area (Primorskiy Kray province),Heavy rain,,,,,,,200.0,Km2,,,,"Razdolnaya, Migunovka and Komissarovka",2002,7.0,20.0,2002,7.0,26.0,,,1500.0,,1500.0,,,,,,,66.3819636999782,1,2547,,Primorskiy Kray (Adm1).
2002-0482-RUS,2002,482,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,Novorossiisk (Krasnodarskiy Kray province),Heavy rain,,,,,,,10880.0,Km2,,,,,2002,8.0,8.0,2002,8.0,18.0,82.0,,48000.0,1500.0,49500.0,,,,,32000.0,48206.0,66.3819636999782,1,2524,,Krasnodarskiy Kray (Adm1).
2003-0393-RUS,2003,393,,Natural,Hydrological,Flood,Riverine flood,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Chedikhol, Tandinsky districts (Tyva Rep. province)",Heavy rains,,,,,,,8220.0,Km2,,,,"Elegest, Duren",2003,7.0,29.0,2003,7.0,31.0,,,600.0,,600.0,,,,,,,67.8888956921058,1,2567,,Tyva Rep. (Adm1).
