Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1994-0089-RUS,1994,89,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Russian Federation (the),RUS,Eastern Europe,Europe,Sakhalin Island,,,,,,,,,Kph,,,,,1994,3.0,26.0,1994,3.0,26.0,12.0,,62.0,,62.0,,,,,5800.0,10603.0,54.7016925431883,,,,
1994-0163-RUS,1994,163,,Natural,Meteorological,Storm,Tropical cyclone,,Tim,Russian Federation (the),RUS,Eastern Europe,Europe,,,,,,No,No,,,Kph,,,,,1994,7.0,10.0,1994,7.0,11.0,,,,,,,,,,60000.0,109686.0,54.7016925431883,,,,
1995-0040-RUS,1995,40,,Natural,Meteorological,Storm,,,,Russian Federation (the),RUS,Eastern Europe,Europe,Caspian Sea (Kalmyk Republic),,,,,,,,,Kph,,,,,1995,3.0,15.0,1995,3.0,15.0,52.0,,900.0,1200.0,2100.0,,,,,,,56.2363000218675,,,,
1995-0130-RUS,1995,130,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Russian Federation (the),RUS,Eastern Europe,Europe,Ukraine,,,,,,,,,Kph,,,,,1995,6.0,29.0,1995,6.0,29.0,10.0,,,,,,,,,,,56.2363000218675,,,,
1995-0360-RUS,1995,360,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Russian Federation (the),RUS,Eastern Europe,Europe,Chabarows (Sakhaline Isl.),,,,,No,No,,,Kph,,,,,1995,11.0,8.0,1995,11.0,8.0,83.0,10.0,450.0,,460.0,,,,,44000.0,78241.0,56.2363000218675,,,,
1998-0194-RUS,1998,194,,Natural,Meteorological,Storm,,,,Russian Federation (the),RUS,Eastern Europe,Europe,Moscow,,,,,No,No,,108.0,Kph,,,,,1998,6.0,20.0,1998,6.0,21.0,8.0,160.0,,,160.0,,,,,160000.0,265969.0,60.1574108900066,,,,
1999-0299-RUS,1999,299,,Natural,Meteorological,Storm,Tropical cyclone,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Primorié Région, Ile de Sakhaline (Sibérie)",,,,,,,,,Kph,,,,,1999,9.0,1.0,1999,9.0,1.0,12.0,,,,,,,,,,,61.473667176908,,,,
2000-0576-RUS,2000,576,,Natural,Meteorological,Storm,Tropical cyclone,,Saomai,Russian Federation (the),RUS,Eastern Europe,Europe,"Primorskiy Kray, Khabarovskiy Kray, Sakhalinskaya Oblast, Yevreyskaya A. Oblast provinces",,,,,,,,,Kph,,,,,2000,9.0,13.0,2000,9.0,19.0,9.0,,,,,,,,,50.0,79.0,63.5495473431008,1,2516;2547;2552;2577,,"Khabarovskiy Kray, Primorskiy Kray, Sakhalinskaya Oblast, Yevreyskaya A. Oblast (Adm1)."
2001-0264-RUS,2001,264,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Russian Federation (the),RUS,Eastern Europe,Europe,"Artyom, Ussuriisk, Vladivostok cities (Primorskiy Kray province) ; Sakhalin Isl. (Sakhalinskaya Oblast province)",,,,,,,,,Kph,,,,,2001,3.0,3.0,2001,3.0,3.0,8.0,,,,,,,,,,,65.345558714192,1,2547;2552,,"Primorskiy Kray, Sakhalinskaya Oblast (Adm1)."
2001-0257-RUS,2001,257,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Russian Federation (the),RUS,Eastern Europe,Europe,Stavropolskiy Kray province,,,,,,,,,Kph,,,,,2001,5.0,15.0,2001,5.0,15.0,,28.0,12000.0,400.0,12428.0,,,,,17200.0,26322.0,65.345558714192,1,2558,,Stavropolskiy Kray (Adm1).
2002-0048-RUS,2002,48,,Natural,Meteorological,Storm,,,,Russian Federation (the),RUS,Eastern Europe,Europe,Kaliningradskaya Oblast province,,,,,,Yes,,120.0,Kph,,,,,2002,1.0,29.0,2002,1.0,29.0,2.0,,,,,,,,,3000.0,4519.0,66.3819636999782,1,2509,,Kaliningradskaya Oblast (Adm1).
