Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1988-0201-RWA,1988,201,,Natural,Hydrological,Flood,Riverine flood,,,Rwanda,RWA,Eastern Africa,Africa,"Ruhengeri, Gitarama, Gisenyi, Gikongoro, Kibuye",,,,,,,,,Km2,,,,,1988,5.0,6.0,1988,5.0,6.0,48.0,50.0,21628.0,,21678.0,,,,,,,43.6426415919528,,,,
2001-0541-RWA,2001,541,,Natural,Hydrological,Flood,Flash flood,,,Rwanda,RWA,Eastern Africa,Africa,Nyaruguru district (South/Amajyepfo province),Brief torrential rain,,,,,,,1770.0,Km2,,,,,2001,9.0,22.0,2001,9.0,22.0,10.0,,,,,,,,,,,65.345558714192,2,,21997,Nyaruguru (Adm2).
2001-0672-RWA,2001,672,,Natural,Hydrological,Flood,Riverine flood,,,Rwanda,RWA,Eastern Africa,Africa,"West/Iburengerazuba, North/Amajyaruguru, South/Amajyepfo provinces",Heavy rain,,,,,,,1200.0,Km2,,,,,2001,10.0,30.0,2001,11.0,2.0,2.0,,3000.0,,3000.0,,,,,,,65.345558714192,1,21971;21972;21973,,"North/Amajyaruguru, South/Amajyepfo, West/Iburengerazuba (Adm1)."
2002-0273-RWA,2002,273,,Natural,Hydrological,Flood,Riverine flood,,,Rwanda,RWA,Eastern Africa,Africa,"Rusenyi village (Karongi district, West/Iburengerazuba province), Bweyete village (Rusizi district, West/Iburengerazuba province), Byumba city (Gicumbi district, North/Amajyaruguru province), Kigali City/Umujyi wa Kigali province",Heavy rains,"Slide (land, mud, snow, rock)",,Yes,,,,,Km2,,,,,2002,4.0,26.0,2002,5.0,28.0,69.0,,20000.0,,20000.0,,,,,,,66.3819636999782,1;2,21970,21979;21983;22001,"Kigali City/Umujyi wa Kigali (Adm1). Gicumbi, Karongi, Rusizi (Adm2)."
2003-0563-RWA,2003,563,,Natural,Hydrological,Flood,Riverine flood,,,Rwanda,RWA,Eastern Africa,Africa,"Byumba city (Gicumbi district, North/Amajyaruguru province), Umutara area (Nyagatare district, East/Iburasirazuba province)",Heavy rains,,,,,,,,Km2,,,,,2003,10.0,30.0,2003,10.0,30.0,,16.0,,7000.0,7016.0,,,,,,,67.8888956921058,2,,21979;21992,"Gicumbi, Nyagatare (Adm2)."
2007-0059-RWA,2007,59,,Natural,Hydrological,Flood,Riverine flood,,,Rwanda,RWA,Eastern Africa,Africa,"Rubavu, Nyabihu districts (West/Iburengerazuba province)",Heavy rain,,,,,,,1340.0,Km2,-1.73,29.48,,Sebeya river,2007,2.0,3.0,2007,2.0,16.0,10.0,,500.0,,500.0,,,,,9.0,12.0,76.5186792040236,2,,21991;21998,"Nyabihu, Rubavu (Adm2)."
2007-0442-RWA,2007,442,FL-2007-000159,Natural,Hydrological,Flood,Riverine flood,,,Rwanda,RWA,Eastern Africa,Africa,"Nyabihu, Rubavu districts (West/Iburengerazuba province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,416.0,1180.0,Km2,-1.68,29.42,,,2007,9.0,12.0,2007,9.0,20.0,20.0,,4000.0,,4000.0,,,,,,,76.5186792040236,2,,21991;21998,"Nyabihu, Rubavu (Adm2)."
2008-0485-RWA,2008,485,FL-2008-000182,Natural,Hydrological,Flood,Riverine flood,,,Rwanda,RWA,Eastern Africa,Africa,"Rubavu, Nyamasheke districts (West/Iburengerazuba province), Ngoma, Kirehe districts (East/Iburasirazuba province)",Heavy rains,Rain,,,,,,11140.0,Km2,-1.72,29.89,,,2008,10.0,1.0,2008,10.0,6.0,,51.0,11295.0,,11346.0,,,,,,,79.4563043953641,2,,21986;21989;21994;21998,"Kirehe, Ngoma, Nyamasheke, Rubavu (Adm2)."
2011-0183-RWA,2011,183,,Natural,Hydrological,Flood,Riverine flood,,,Rwanda,RWA,Eastern Africa,Africa,"Gisagara (South/Amajyepfo province), Rwamagana (East/Iburasirazuba province), Musanze (North/Amajyaruguru province), Nyabihu district (West/Iburengerazuba province)",,"Slide (land, mud, snow, rock)",Rain,,,,,,Km2,,,,,2011,4.0,25.0,2011,5.0,5.0,14.0,20.0,3588.0,,3608.0,,,,,,,83.0126743931774,2,,21980;21988;21991;22003,"Gisagara, Musanze, Nyabihu, Rwamagana (Adm2)."
2012-0130-RWA,2012,130,FL-2012-000067,Natural,Hydrological,Flood,Riverine flood,,,Rwanda,RWA,Eastern Africa,Africa,"Musanze district (North/Amajyaruguru province), Nyabihu, Rubavu (West/Iburengerazuba province)",Heavy rains,,,,,,,43618.0,Km2,-1.40095,29.36,,,2012,4.0,9.0,2012,4.0,18.0,5.0,,11160.0,,11160.0,,,,,,,84.7304788978789,2,,21988;21991;21998,"Musanze, Nyabihu, Rubavu (Adm2)."
