Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1948-0016-REU,1948,16,,Natural,Meteorological,Storm,Tropical cyclone,,,Réunion,REU,Eastern Africa,Africa,,,,,,No,No,,,Kph,,,,,1948,1.0,26.0,1948,1.0,27.0,165.0,,,,,,,,,,,8.8866385438075,,,,
1980-0029-REU,1980,29,,Natural,Meteorological,Storm,Tropical cyclone,,Hyacinthe,Réunion,REU,Eastern Africa,Africa,,,,,,No,No,,,Kph,,,,,1980,1.0,27.0,1980,1.0,27.0,25.0,,7000.0,,7000.0,,,,,67000.0,220305.0,30.4123857424011,,,,
1987-0060-REU,1987,60,,Natural,Meteorological,Storm,Tropical cyclone,,,Réunion,REU,Eastern Africa,Africa,Saint Denis,,,,,,,,,Kph,,,,,1987,2.0,13.0,1987,2.0,13.0,10.0,,4000.0,,4000.0,,,,,2000.0,4770.0,41.9327356221299,,,,
1989-0030-REU,1989,30,,Natural,Meteorological,Storm,Tropical cyclone,,Firinga,Réunion,REU,Eastern Africa,Africa,Southwest Isl.,,,,,,,,190.0,Kph,,,,,1989,1.0,29.0,1989,1.0,29.0,10.0,61.0,6200.0,,6261.0,,,,,50000.0,109291.0,45.749276186311,,,,
1993-0103-REU,1993,103,,Natural,Meteorological,Storm,Tropical cyclone,,Colina,Réunion,REU,Eastern Africa,Africa,,,,,,,,,,Kph,,,,,1993,1.0,18.0,1993,1.0,18.0,14.0,,,,,,,,,,,53.3116203804942,,,,
2000-0037-REU,2000,37,,Natural,Meteorological,Storm,Tropical cyclone,,Connie,Réunion,REU,Eastern Africa,Africa,"Arrondissement du vent, Arrondissement sous le vent provinces",,,,,,,,153.0,Kph,,,,,2000,1.0,30.0,2000,1.0,30.0,2.0,,,600.0,600.0,,,,,,,63.5495473431008,1,2590;2591,,"Arrondissement du vent, Arrondissement souse le vent (Adm1)."
2007-0085-REU,2007,85,,Natural,Meteorological,Storm,Tropical cyclone,,Gamède,Réunion,REU,Eastern Africa,Africa,"Arrondissement du vent, Arrondissement sous le vent provinces",,"Slide (land, mud, snow, rock)",,,,,,205.0,Kph,,,,,2007,2.0,25.0,2007,2.0,25.0,2.0,90.0,,,90.0,,,,,,,76.5186792040236,1,2590;2591,,"Arrondissement du vent, Arrondissement souse le vent (Adm1)."
2014-0016-REU,2014,16,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Beisja,Réunion,REU,Eastern Africa,Africa,"Arrondissement du vent, Arrondissement sous le vent provinces",,,,,,,,151.0,Kph,,,,,2014,1.0,2.0,2014,1.0,2.0,1.0,15.0,250.0,,265.0,,,49000.0,56086.0,85000.0,97292.0,87.3662978351193,1,2590;2591,,"Arrondissement du vent, Arrondissement souse le vent (Adm1)."
2018-0029-REU,2018,29,TC-2018-000007,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Berguitta',Réunion,REU,Eastern Africa,Africa,Saint-Pierre,,Flood,,,,,,,Kph,,,,River D’Abord,2018,1.0,18.0,2018,1.0,18.0,,,200.0,,200.0,,,,,,,92.6696698010059,1,2591,,Arrondissement souse le vent (Adm1).
2022-0061-REU,2022,61,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Batsirai',Réunion,REU,Eastern Africa,Africa,,,,,,,,,,Kph,,,,,2022,2.0,5.0,2022,2.0,6.0,,13.0,,,13.0,,,,,,,,,,,
