Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1960-0021-LCA,1960,21,,Natural,Meteorological,Storm,Tropical cyclone,,Abby,Saint Lucia,LCA,Caribbean,Americas,,,,,,,,,,Kph,,,,,1960,7.0,10.0,1960,7.0,10.0,,,,,,,,,,,,10.9145068882572,,,,
1963-0022-LCA,1963,22,,Natural,Meteorological,Storm,Tropical cyclone,,Edith,Saint Lucia,LCA,Caribbean,Americas,,,,,,,,,,Kph,,,,,1963,9.0,25.0,1963,9.0,25.0,10.0,,,,,,,,,3465.0,30658.0,11.3019986879511,,,,
1967-0057-LCA,1967,57,,Natural,Meteorological,Storm,Tropical cyclone,,Beulah,Saint Lucia,LCA,Caribbean,Americas,,,,,,,,,,Kph,,,,,1967,9.0,7.0,1967,9.0,7.0,,,,,,,,,,3000.0,24369.0,12.3107281871857,,,,
1980-0076-LCA,1980,76,,Natural,Meteorological,Storm,Tropical cyclone,,Allen,Saint Lucia,LCA,Caribbean,Americas,,,,,Yes,No,No,,270.0,Kph,,,,,1980,7.0,31.0,1980,8.0,11.0,9.0,,70000.0,10000.0,80000.0,,,,,87990.0,289323.0,30.4123857424011,,,,
1986-0112-LCA,1986,112,,Natural,Meteorological,Storm,Tropical cyclone,,Danielle,Saint Lucia,LCA,Caribbean,Americas,,,,,,,,,,Kph,,,,,1986,9.0,8.0,1986,9.0,8.0,,,,,,,,,,,,40.4504089219331,,,,
1988-0674-LCA,1988,674,,Natural,Meteorological,Storm,Tropical cyclone,,Gilbert,Saint Lucia,LCA,Caribbean,Americas,,,Flood,"Slide (land, mud, snow, rock)",,No,No,,,Kph,,,,,1988,9.0,11.0,1988,9.0,11.0,,,,,,,,,,2500.0,5728.0,43.6426415919528,,,,
1994-0216-LCA,1994,216,,Natural,Meteorological,Storm,Tropical cyclone,,Debby,Saint Lucia,LCA,Caribbean,Americas,,,,,Yes,,,396.0,,Kph,,,,,1994,9.0,10.0,1994,9.0,10.0,4.0,,600.0,150.0,750.0,,,,,,,54.7016925431883,,,,
1999-0556-LCA,1999,556,,Natural,Meteorological,Storm,Tropical cyclone,,Lenny,Saint Lucia,LCA,Caribbean,Americas,,,,,,No,No,,215.0,Kph,,,,,1999,11.0,17.0,1999,11.0,19.0,,,,200.0,200.0,,,,,,,61.473667176908,,,,
2004-0462-LCA,2004,462,,Natural,Meteorological,Storm,Tropical cyclone,,Ivan,Saint Lucia,LCA,Caribbean,Americas,"Area Under National Administra, Region Number 1, Region Number 2, Region Number 3, Region Number 4, Region Number 5, Region Number 6, Region Number 7, Region Number 8 provinces",,,,,,,,,Kph,,,,,2004,9.0,8.0,2004,9.0,8.0,,,,,,,,,,500.0,717.0,69.7064421605073,1,2607;2608;2609;2610;2611;2612;2613;2614;2615,,"Area Under National Administra, Region Number 1, Region Number 2, Region Number 3, Region Number 4, Region Number 5, Region Number 6, Region Number 7, Region Number 8 (Adm1)."
2007-0360-LCA,2007,360,TC-2007-000135,Natural,Meteorological,Storm,Tropical cyclone,,Dean,Saint Lucia,LCA,Caribbean,Americas,"Region Number 1, Region Number 2, Region Number 8 provinces",,Flood,,Yes,,,,,Kph,14.64,-61.02,,,2007,8.0,17.0,2007,8.0,24.0,1.0,,,,,,,20000.0,26137.0,40000.0,52275.0,76.5186792040236,1,2608;2609;2615,,"Region Number 1, Region Number 2, Region Number 8 (Adm1)."
2010-0571-LCA,2010,571,TC-2010-000216,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Tomas,Saint Lucia,LCA,Caribbean,Americas,"Region Number 1, Region Number 2, Region Number 8 provinces",,Flood,"Slide (land, mud, snow, rock)",Yes,,Yes,,150.0,Kph,,,,,2010,10.0,30.0,2010,10.0,30.0,14.0,,181000.0,,181000.0,,,,,500.0,621.0,80.472285151979,1,2608;2609;2615,,"Region Number 1, Region Number 2, Region Number 8 (Adm1)."
2016-0355-LCA,2016,355,TC-2016-000106,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Matthew',Saint Lucia,LCA,Caribbean,Americas,"Gros-Islet (Region Number 1 province), Castries, Bexon, Marc, (Region Number 8 province), Dennery (Region Number 3 province), Laborie, Vieux- Fort (Region Number 5 province), Micoud (Region Number 4 province), Choiseul (Region Number 6 province)",,Flood,,,,,,,Kph,,,,,2016,9.0,28.0,2016,9.0,28.0,,,25000.0,,25000.0,,,,,,,88.573452875574,1,2608;2610;2611;2612;2613;2615,,"Region Number 1, Region Number 3, Region Number 4, Region Number 5, Region Number 6, Region Number 8 (Adm1)."
2021-0373-LCA,2021,373,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Elsa',Saint Lucia,LCA,Caribbean,Americas,Soufrière,,,,,,,,,Kph,,,,,2021,7.0,3.0,2021,7.0,3.0,1.0,,,,,,,,,34000.0,34000.0,100.0,1,2613,,Region Number 6 (Adm1).
