Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1955-0013-VCT,1955,13,,Natural,Meteorological,Storm,Tropical cyclone,,Janet,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,Grenadines,,,,,,,,,Kph,,,,,1955,9.0,23.0,1955,9.0,23.0,122.0,,,,,,,,,,,9.8811808440849,,,,
1967-0058-VCT,1967,58,,Natural,Meteorological,Storm,Tropical cyclone,,Beulah,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,,,,,,,,,,Kph,,,,,1967,9.0,8.0,1967,9.0,8.0,2.0,,,,,,,,,4500.0,36553.0,12.3107281871857,,,,
1980-0077-VCT,1980,77,,Natural,Meteorological,Storm,Tropical cyclone,,,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,,,,,Yes,No,No,,,Kph,,,,,1980,7.0,31.0,1980,8.0,11.0,,,20000.0,500.0,20500.0,,,,,16300.0,53597.0,30.4123857424011,,,,
1987-0160-VCT,1987,160,,Natural,Meteorological,Storm,Tropical cyclone,,Emily,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,,,,,,,,,,Kph,,,,,1987,9.0,21.0,1987,9.0,21.0,,8.0,,200.0,208.0,,,,,5300.0,12639.0,41.9327356221299,,,,
1999-0614-VCT,1999,614,,Natural,Meteorological,Storm,Tropical cyclone,,Lenny,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,,,,,,No,No,,215.0,Kph,,,,,1999,11.0,17.0,1999,11.0,19.0,,,100.0,,100.0,,,,,,,61.473667176908,,,,
2002-0653-VCT,2002,653,,Natural,Meteorological,Storm,Tropical cyclone,,Lili,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,"Charlotte, Grenadines, Saint Andrew, Saint David, Saint George, Saint Patrick provinces",,,,,,,,,Kph,,,,,2002,9.0,24.0,2002,9.0,24.0,4.0,,,,,,,,,11000.0,16571.0,66.3819636999782,1,61285;61286;61287;61288;61289;61290,,"Charlotte, Grenadines, Saint Andrew, Saint David, Saint George, Saint Patrick (Adm1)."
2004-0462-VCT,2004,462,,Natural,Meteorological,Storm,Tropical cyclone,,Ivan,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,"Charlotte, Grenadines, Saint Andrew, Saint David, Saint George, Saint Patrick provinces",,,,,,,,,Kph,,,,,2004,9.0,8.0,2004,9.0,8.0,,4.0,1000.0,,1004.0,,,,,5000.0,7173.0,69.7064421605073,1,61285;61286;61287;61288;61289;61290,,"Charlotte, Grenadines, Saint Andrew, Saint David, Saint George, Saint Patrick (Adm1)."
2005-0382-VCT,2005,382,,Natural,Meteorological,Storm,Tropical cyclone,,Emily,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,"Cannau, Union, Petite Martinique, Carriacou islands (Grenadines province)",,,,,,,,,Kph,,,,,2005,7.0,14.0,2005,7.0,14.0,,,530.0,,530.0,,,,,,,72.0714104526569,1,61285,,Grenadines (Adm1).
2010-0571-VCT,2010,571,TC-2010-000216,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Tomas,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,"Charlotte, Grenadines, Saint Andrew, Saint David, Saint George, Saint Patrick provinces",,,,Yes,,Yes,,,Kph,,,,,2010,10.0,29.0,2010,10.0,29.0,,,6000.0,100.0,6100.0,,,,,25000.0,31067.0,80.472285151979,1,61285;61286;61287;61288;61289;61290,,"Charlotte, Grenadines, Saint Andrew, Saint David, Saint George, Saint Patrick (Adm1)."
2016-0355-VCT,2016,355,TC-2016-000106,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Matthew',Saint Vincent and the Grenadines,VCT,Caribbean,Americas,Layou (Saint Andrew),,,,,,,,,Kph,,,,,2016,9.0,28.0,2016,9.0,29.0,1.0,,,,,,,,,,,88.573452875574,1,61287,,Saint Andrew (Adm1).
2021-0373-VCT,2021,373,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Elsa',Saint Vincent and the Grenadines,VCT,Caribbean,Americas,Northern half of St. Vincent,,,,,,,,,Kph,,,,,2021,7.0,2.0,2021,7.0,3.0,,,129.0,,129.0,,,,,,,100.0,1,61286;61288,,"Charlotte, Saint David (Adm1)."
