Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1964-0086-WSM,1964,86,,Natural,Meteorological,Storm,Convective storm,,,Samoa,WSM,Polynesia,Oceania,,,,,,,,,,Kph,,,,,1964,6.0,13.0,1964,6.0,13.0,250.0,,,,,,,,,,,11.4465427509293,,,,
1966-0108-WSM,1966,108,,Natural,Meteorological,Storm,Tropical cyclone,,,Samoa,WSM,Polynesia,Oceania,All Isl.,,,,Yes,,,,,Kph,,,,,1966,1.0,29.0,1966,1.0,29.0,10.0,,95000.0,,95000.0,,,,,600.0,5009.0,11.9785873605948,,,,
1968-0114-WSM,1968,114,,Natural,Meteorological,Storm,Tropical cyclone,,,Samoa,WSM,Polynesia,Oceania,All Isl.,,,,Yes,,,,,Kph,,,,,1968,2.0,10.0,1968,2.0,10.0,,4.0,,,4.0,,,,,238.0,1854.0,12.8366149136235,,,,
1989-0002-WSM,1989,2,,Natural,Meteorological,Storm,Tropical cyclone,,Fili & Gina,Samoa,WSM,Polynesia,Oceania,"Countrywide, especially Savaii Isl.",,,,Yes,,,,,Kph,,,,,1989,1.0,6.0,1989,1.0,6.0,,,,,,,,,,15500.0,33880.0,45.749276186311,,,,
1990-0003-WSM,1990,3,,Natural,Meteorological,Storm,Tropical cyclone,,Ofa,Samoa,WSM,Polynesia,Oceania,"Upolu, Sawali",,,,Yes,No,No,,,Kph,,,,,1990,2.0,1.0,1990,2.0,4.0,8.0,,170000.0,25000.0,195000.0,,,,,200000.0,414776.0,48.2187972884321,,,,
1991-0364-WSM,1991,364,,Natural,Meteorological,Storm,Tropical cyclone,,Val & Wasa,Samoa,WSM,Polynesia,Oceania,Savaii isl.,,,,Yes,,,,167.0,Kph,,,,,1991,12.0,7.0,1991,12.0,7.0,13.0,,85000.0,3000.0,88000.0,,,,,278000.0,553114.0,50.2608528318391,,,,
2004-0004-WSM,2004,4,,Natural,Meteorological,Storm,Tropical cyclone,,Heta,Samoa,WSM,Polynesia,Oceania,"Savaii, Upolu islands (Samoa province)",,Flood,Surge,,,Yes,,310.0,Kph,,,,,2004,1.0,5.0,2004,1.0,5.0,1.0,,,,,,,,,,,69.7064421605073,1,2618,,Administrative unit not available (Adm1).
2005-0151-WSM,2005,151,,Natural,Meteorological,Storm,Tropical cyclone,,Olaf,Samoa,WSM,Polynesia,Oceania,Samoa province,,,,,,,,190.0,Kph,,,,,2005,2.0,16.0,2005,2.0,16.0,9.0,,,,,,,,,,,72.0714104526569,1,2618,,Administrative unit not available (Adm1).
2012-0498-WSM,2012,498,TC-2012-000201,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Evan,Samoa,WSM,Polynesia,Oceania,Samoa province,,Flood,,Yes,,,3458.0,,Kph,,,,,2012,12.0,13.0,2012,12.0,13.0,12.0,,12703.0,,12703.0,,,,,133000.0,156968.0,84.7304788978789,1,2618,,Administrative unit not available (Adm1).
2018-0042-WSM,2018,42,TC-2018-000102,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Gita,Samoa,WSM,Polynesia,Oceania,,,Flood,,,,,,,Kph,,,,,2018,2.0,12.0,2018,2.0,12.0,,,,,,,,,,,,92.6696698010059,1,2618,,Administrative unit not available (Adm1).
