Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1964-0023-SAU,1964,23,,Natural,Hydrological,Flood,Flash flood,,,Saudi Arabia,SAU,Western Asia,Asia,Nedjaran,,,,Yes,,,,,Km2,,,,,1964,4.0,4.0,1964,4.0,4.0,20.0,,1000.0,,1000.0,,,,,,,11.4465427509293,,,,
1985-0346-SAU,1985,346,,Natural,Hydrological,Flood,,,,Saudi Arabia,SAU,Western Asia,Asia,North West,,,,,,,,,Km2,,,,,1985,12.0,24.0,1985,12.0,24.0,32.0,,,5000.0,5000.0,,,,,450000.0,1133589.0,39.696934178876,,,,
2002-0210-SAU,2002,210,,Natural,Hydrological,Flood,Riverine flood,,,Saudi Arabia,SAU,Western Asia,Asia,Makkah province,Heavy rain,,,,,,,22810.0,Km2,,,,,2002,4.0,8.0,2002,4.0,13.0,19.0,,,,,,,,,,,66.3819636999782,1,2629,,Makkah (Adm1).
2003-0423-SAU,2003,423,,Natural,Hydrological,Flood,Riverine flood,,,Saudi Arabia,SAU,Western Asia,Asia,Jizan province,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2003,8.0,8.0,2003,8.0,12.0,,,13000.0,,13000.0,,,,,,,67.8888956921058,1,2627,,Jizan (Adm1).
2003-0538-SAU,2003,538,,Natural,Hydrological,Flood,Riverine flood,,,Saudi Arabia,SAU,Western Asia,Asia,Makkah province,Heavy rains,,,,,,,,Km2,,,,,2003,11.0,11.0,2003,11.0,11.0,12.0,50.0,,,50.0,,,,,,,67.8888956921058,1,2629,,Makkah (Adm1).
2004-0180-SAU,2004,180,,Natural,Hydrological,Flood,Riverine flood,,,Saudi Arabia,SAU,Western Asia,Asia,Jizan province,Heavy rains,,,,,,,2680.0,Km2,,,,,2004,4.0,14.0,2004,4.0,16.0,5.0,30.0,400.0,,430.0,,,,,,,69.7064421605073,1,2627,,Jizan (Adm1).
2005-0028-SAU,2005,28,,Natural,Hydrological,Flood,Flash flood,,,Saudi Arabia,SAU,Western Asia,Asia,Madinah province,Heavy rains,Broken Dam/Burst bank,Rain,,,,,22760.0,Km2,,,,,2005,1.0,22.0,2005,1.0,27.0,29.0,17.0,50.0,,67.0,,,,,,,72.0714104526569,1,2628,,Madinah (Adm1).
2005-0228-SAU,2005,228,,Natural,Hydrological,Flood,Flash flood,,,Saudi Arabia,SAU,Western Asia,Asia,"Asir, Makkah provinces",Heavy rains,Rain,,,,,,,Km2,,,,,2005,4.0,28.0,2005,4.0,28.0,34.0,,,,,,,,,,,72.0714104526569,1,2622;2629,,"Asir, Makkah (Adm1)."
2009-0522-SAU,2009,522,FL-2009-000251,Natural,Hydrological,Flood,Riverine flood,,,Saudi Arabia,SAU,Western Asia,Asia,"Jeddah, Mecca cities (Makkah province)",Torrential rain,,,,,,,114600.0,Km2,40.23,21.24,,,2009,11.0,24.0,2009,11.0,26.0,161.0,,,10000.0,10000.0,,,,,900000.0,1136740.0,79.1738027553029,1,2629,,Makkah (Adm1).
2010-0338-SAU,2010,338,,Natural,Hydrological,Flood,Riverine flood,,,Saudi Arabia,SAU,Western Asia,Asia,"Al Lith, Al Qunfudhah cities (Makkah province), Najran, Jizan provinces",Torrential rain,,,,,,,56000.0,Km2,20.61,41.17,,,2010,7.0,10.0,2010,7.0,12.0,10.0,,85.0,,85.0,,,,,,,80.472285151979,1,2627;2629;2630,,"Jizan, Makkah, Najran (Adm1)."
2010-0297-SAU,2010,297,,Natural,Hydrological,Flood,Riverine flood,,,Saudi Arabia,SAU,Western Asia,Asia,"Taif city (Makkah province), Asir, Jizan, Najran provinces",Heavy rains,,,,,,,346200.0,Km2,21.51,41.92,,,2010,7.0,23.0,2010,7.0,25.0,14.0,,,,,,,,,,,80.472285151979,1,2622;2627;2629;2630,,"Asir, Jizan, Makkah, Najran (Adm1)."
2011-0022-SAU,2011,22,,Natural,Hydrological,Flood,Riverine flood,,,Saudi Arabia,SAU,Western Asia,Asia,Jeddah city (Makkah province),Torrential rains,,,,,,,30361.0,Km2,21.3521,39.94,,,2011,1.0,25.0,2011,1.0,31.0,11.0,,,,,,,80000.0,96371.0,300000.0,361391.0,83.0126743931774,1,2629,,Makkah (Adm1).
2012-0188-SAU,2012,188,,Natural,Hydrological,Flood,Riverine flood,,,Saudi Arabia,SAU,Western Asia,Asia,"Asir, Baha, Hail, Jizan, Madinah, Makkah, Tabuk provinces",Torrential rain,,,,,,,233126.0,Km2,20.5946,51.01,,,2012,4.0,14.0,2012,4.0,18.0,19.0,,,,,,,,,,,84.7304788978789,1,2622;2623;2625;2627;2628;2629;2634,,"Asir, Baha, Hail, Jizan, Madinah, Makkah, Tabuk (Adm1)."
2013-0159-SAU,2013,159,,Natural,Hydrological,Flood,Riverine flood,,,Saudi Arabia,SAU,Western Asia,Asia,Tabala area (Asir province),Heavy rains,Broken Dam/Burst bank,,,,,,,Km2,,,,,2013,5.0,2.0,2013,5.0,2.0,24.0,,900.0,,900.0,,,,,,,85.9716422479773,1,2622,,Asir (Adm1).
2013-0445-SAU,2013,445,,Natural,Hydrological,Flood,Riverine flood,,,Saudi Arabia,SAU,Western Asia,Asia,"Riyad, Northern Frontier provinces","Rains, thunderstorms",,,,,,,,Km2,27.41,44.81,,,2013,11.0,16.0,2013,11.0,19.0,15.0,,121.0,,121.0,,,,,,,85.9716422479773,1,2631;2633,,"Northern Frontier, Riyad (Adm1)."
2015-0130-SAU,2015,130,,Natural,Hydrological,Flood,Riverine flood,,,Saudi Arabia,SAU,Western Asia,Asia,"Makkah, Asir, Najran, Riyad provinces",Heavy rains,,,,,,,,Km2,,,,,2015,3.0,23.0,2015,3.0,27.0,11.0,,,,,,,,,2000.0,2287.0,87.4699322108025,1,2622;2629;2630;2633,,"Asir, Makkah, Najran, Riyad (Adm1)."
2015-0507-SAU,2015,507,,Natural,Hydrological,Flood,,,,Saudi Arabia,SAU,Western Asia,Asia,"Madinah, Makkah, Hail, Tabuk provinces",Heavy rains,,,,,,,,Km2,,,,,2015,11.0,17.0,2015,11.0,18.0,12.0,,,,,,,,,,,87.4699322108025,1,2625;2628;2629;2634,,"Hail, Madinah, Makkah, Tabuk (Adm1)."
2016-0120-SAU,2016,120,FF-2016-000034,Natural,Hydrological,Flood,Flash flood,,,Saudi Arabia,SAU,Western Asia,Asia,"Al-Baidhani valley of Asir region, Baha and Taif (Makkah), east of Traj valley",,,,,,,,,Km2,,,,,2016,4.0,8.0,2016,4.0,10.0,3.0,,,,,,,,,,,88.573452875574,1,2622;2623;2629,,"Asir, Baha, Makkah (Adm1)."
2016-0105-SAU,2016,105,,Natural,Hydrological,Flood,,,,Saudi Arabia,SAU,Western Asia,Asia,"Jizan, Riyadh, Makkah, Madinah, Baha, Asir provinces",Heavy rains,,,,,,,,Km2,,,,,2016,4.0,8.0,2016,4.0,15.0,18.0,,915.0,,915.0,,,,,,,88.573452875574,1,2622;2623;2627;2628;2629;2633,,"Asir, Baha, Jizan, Madinah, Makkah, Riyad (Adm1)."
2017-0491-SAU,2017,491,,Natural,Hydrological,Flood,,,,Saudi Arabia,SAU,Western Asia,Asia,"Makkah (Jeddah, Taif), Madinah, Tabuk, Al-Jouf",Torrential rain,,,,,,,181055.0,Km2,22.707,39.365,,,2017,11.0,21.0,2017,11.0,22.0,4.0,,481.0,,481.0,,,,,,,90.4601793133611,1,2626;2628;2629;2634,,"Jawf, Madinah, Makkah, Tabuk (Adm1)."
2019-0033-SAU,2019,33,,Natural,Hydrological,Flood,,,,Saudi Arabia,SAU,Western Asia,Asia,Tabouk,Heavy rains,,,,,,,632316.0,Km2,26.674,41.295,,,2019,1.0,27.0,2019,1.0,30.0,12.0,,271.0,,271.0,,,,,,,94.3490924994534,1,2634,,Tabuk (Adm1).
2019-0252-SAU,2019,252,,Natural,Hydrological,Flood,,,,Saudi Arabia,SAU,Western Asia,Asia,Taif (Meccah province),,,,,,,,238157.0,Km2,18.54,45.254,,,2019,5.0,22.0,2019,5.0,27.0,1.0,,36.0,,36.0,,,,,,,94.3490924994534,1,2629,,Makkah (Adm1).
2019-0518-SAU,2019,518,,Natural,Hydrological,Flood,,,,Saudi Arabia,SAU,Western Asia,Asia,Hafar al-Batin City (Eastern Province),Torrential rains,,,,,,,,Km2,,,,,2019,10.0,28.0,2019,10.0,28.0,7.0,11.0,1100.0,,1111.0,,,,,,,94.3490924994534,1,2624,,Eastern Province (Adm1).
