Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1966-0030-SEN,1966,30,,Natural,Hydrological,Flood,Coastal flood,,,Senegal,SEN,Western Africa,Africa,Saint Louis,,,,Yes,,,,,Km2,,,,,1966,2.0,20.0,1966,2.0,20.0,,,2000.0,,2000.0,,,,,50.0,417.0,11.9785873605948,,,,
1983-0086-SEN,1983,86,,Natural,Hydrological,Flood,,,,Senegal,SEN,Western Africa,Africa,Matam-Bakel,,,,Yes,,,,,Km2,,,,,1983,6.0,18.0,1983,6.0,18.0,,,5000.0,,5000.0,,,,,1406.0,3825.0,36.7568773234201,,,,
1994-0522-SEN,1994,522,,Natural,Hydrological,Flood,,,,Senegal,SEN,Western Africa,Africa,Saint-Louis region,,,,,,,40.0,,Km2,,,,,1994,10.0,28.0,1994,10.0,28.0,,,,17500.0,17500.0,,,,,,,54.7016925431883,,,,
2000-0507-SEN,2000,507,,Natural,Hydrological,Flood,,,,Senegal,SEN,Western Africa,Africa,Linguere district (Louga province),,,,,,,,,Km2,,,,,2000,7.0,28.0,2000,7.0,28.0,,,,,,,,,,,,63.5495473431008,2,,47594,Linguere (Adm2).
2002-0026-SEN,2002,26,,Natural,Hydrological,Flood,Riverine flood,,,Senegal,SEN,Western Africa,Africa,"Podor, Dagana districts (Saint Louis province), Matam, Louga provinces",Heavy rains,Cold wave,,Yes,Yes,,357.0,62710.0,Km2,,,,,2002,1.0,9.0,2002,1.0,12.0,28.0,,179000.0,,179000.0,,,,,40979.0,61732.0,66.3819636999782,1;2,47587;47588,47590;47598,"Louga, Matam (Adm1). Dagana, Podor (Adm2)."
2003-0389-SEN,2003,389,,Natural,Hydrological,Flood,Riverine flood,,,Senegal,SEN,Western Africa,Africa,"Kanel, Matam districts (Matam province), Nioro du rip, Kaolack districts (Kaolack province), Kaffrine district (Kaffrine province), Tambacounda district (Tambacounda province), Kolda district (Kolda province)",Torrential rains,,,,,,,,Km2,,,,Senegal river,2003,8.0,8.0,2003,8.0,10.0,8.0,,1277.0,6492.0,7769.0,,,,,,,67.8888956921058,2,,1396;1408;1649;25329;25330;47593;47595,"Kaffrine, Kanel, Kaolack, Kolda, Matam, Nioro du rip, Tambacounda (Adm2)."
2005-0448-SEN,2005,448,,Natural,Hydrological,Flood,Riverine flood,,,Senegal,SEN,Western Africa,Africa,"Pikine, Guediawaye areas (Dakar district, Dakar province), Rufisque district (Dakar province),",Heavy rains,,,,,,,330.0,Km2,,,,,2005,8.0,20.0,2005,9.0,10.0,,,50000.0,,50000.0,84.0,117.0,,,,,72.0714104526569,2,,1382;25321,"Dakar, Rufisque (Adm2)."
2007-0427-SEN,2007,427,FL-2007-000131,Natural,Hydrological,Flood,Riverine flood,,,Senegal,SEN,Western Africa,Africa,"Thies, Matam, Kaolack, Tambacounda, Dakar, Saint louis, Diourbel provinces",Heavy rain,,,,,,,,Km2,15.47,-13.97,,,2007,8.0,9.0,2007,9.0,20.0,8.0,,5300.0,,5300.0,,,,,,,76.5186792040236,1,1373;1377;2636;2644;47585;47588;47589,,"Dakar, Diourbel, Kaolack, Matam, Saint louis, Tambacounda, Thies (Adm1)."
2008-0410-SEN,2008,410,,Natural,Hydrological,Flood,Flash flood,,,Senegal,SEN,Western Africa,Africa,"Thies, Diourbel, Saint louis, Kaolack, Dakar provinces",Heavy rains,,,Yes,,,91.0,,Km2,,,,,2008,8.0,15.0,2008,9.0,,1.0,,23600.0,,23600.0,,,,,,,79.4563043953641,1,1373;2636;2644;47585;47589,,"Dakar, Diourbel, Kaolack, Saint louis, Thies (Adm1)."
2009-0344-SEN,2009,344,FL-2009-000172,Natural,Hydrological,Flood,Riverine flood,,,Senegal,SEN,Western Africa,Africa,"Dakar, Saint louis, Kaolack, Kaffrine, Thies, Sedhiou, Fatick, Matam, Tambacounda, Kedougou, Kolda provinces",Heavy rain,,,Yes,Yes,,1396.0,8511.0,Km2,15.58,-16.81,,,2009,8.0,24.0,2009,8.0,25.0,6.0,,264000.0,,264000.0,,,,,,,79.1738027553029,1,1373;1374;1375;1376;1377;1378;2636;2644;47586;47588;47589,,"Dakar, Fatick, Kaffrine, Kaolack, Kedougou, Kolda, Matam, Saint louis, Sedhiou, Tambacounda, Thies (Adm1)."
2010-0420-SEN,2010,420,FL-2010-000164,Natural,Hydrological,Flood,Riverine flood,,,Senegal,SEN,Western Africa,Africa,Kolda district (Kolda province),Heavy rains,,,,,,,,Km2,,,,,2010,8.0,12.0,2010,8.0,23.0,2.0,9.0,22116.0,,22125.0,,,,,,,80.472285151979,2,,1408,Kolda (Adm2).
2010-0580-SEN,2010,580,FL-2010-000217,Natural,Hydrological,Flood,Riverine flood,,,Senegal,SEN,Western Africa,Africa,Saint louis district (Saint louis province),Heavy rains,,,,,,,,Km2,,,,,2010,10.0,17.0,2010,10.0,18.0,,54.0,80337.0,,80391.0,,,,,,,80.472285151979,2,,47600,Saint louis (Adm2).
2011-0546-SEN,2011,546,,Natural,Hydrological,Flood,Riverine flood,,,Senegal,SEN,Western Africa,Africa,Thies district (Thies province),,,,,,,,,Km2,,,,,2011,8.0,1.0,2011,8.0,1.0,,6.0,5214.0,,5220.0,,,,,,,83.0126743931774,2,,25344,Thies (Adm2).
2012-0318-SEN,2012,318,,Natural,Hydrological,Flood,Riverine flood,,,Senegal,SEN,Western Africa,Africa,"Touba city (Ndame area, Mbacke district, Diourbel province), Diaoulé village (Diakhao area, Fatick district, Fatick province), Dakar province",Heavy rains,,,Yes,,,,79242.0,Km2,14.46,-15.49,,,2012,8.0,15.0,2012,8.0,31.0,19.0,,57000.0,,57000.0,,,,,10000.0,11802.0,84.7304788978789,1;2,2636,25325;47596,"Dakar (Adm1). Fatick, Mbacke (Adm2)."
2013-0368-SEN,2013,368,,Natural,Hydrological,Flood,Riverine flood,,,Senegal,SEN,Western Africa,Africa,"Fatick, Kaolack, Thies, Dakar provinces",Heavy rains,,,,,,,,Km2,,,,,2013,9.0,13.0,2013,9.0,13.0,8.0,94.0,163212.0,,163306.0,,,,,,,85.9716422479773,1,1373;2636;2644;47586,,"Dakar, Fatick, Kaolack, Thies (Adm1)."
2019-0526-SEN,2019,526,FL-2019-000118,Natural,Hydrological,Flood,,,,Senegal,SEN,Western Africa,Africa,"Rufisque, Guédiawaye departments (Dakar Region), Kaolack department",,,,,,,,60942.0,Km2,15.52,-15.516,,,2019,9.0,10.0,2019,9.0,20.0,6.0,49.0,8919.0,,8968.0,,,,,,,94.3490924994534,1,1373;2636,,"Dakar, Kaolack (Adm1)."
2020-0397-SEN,2020,397,FL-2020-000198,Natural,Hydrological,Flood,,,,Senegal,SEN,Western Africa,Africa,"Dakar, Thiès, Diourbel, Kaolack, Fatick, Kaffrine, Saint-Louis, Matam, Kolda, Sédhiou, Tambacounda",Heavy rains,,,,,,,,Km2,,,,,2020,9.0,5.0,2020,9.0,6.0,11.0,,17000.0,,17000.0,,,,,18000.0,18846.0,95.5129674174503,1,1373;1375;1376;1377;1378;2636;2644;47585;47586;47588;47589,,"Dakar, Diourbel, Fatick, Kaffrine, Kaolack, Kolda, Matam, Saint louis, Sedhiou, Tambacounda, Thies (Adm1)."
2022-0498-SEN,2022,498,FL-2022-000290,Natural,Hydrological,Flood,Flash flood,,,Senegal,SEN,Western Africa,Africa,"Dakar City area and the Cap–Vert Peninsula (Dakar Region); Thies, Matam",Heavy rains,,,,,,,,Km2,,,,,2022,8.0,5.0,2022,8.0,7.0,,172.0,19838.0,,20010.0,,,,,,,,1,2636;2644;47588,,"Dakar, Matam, Thies (Adm1)."
