Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2007-0562-SRB,2007,562,,Natural,Hydrological,Flood,Flash flood,,,Serbia,SRB,Southern Europe,Europe,"Dimitrovgrad, Babusnica, Pirot, Bela Palanka municipalities (Pirotski province), Lebane, Leskovac, Vlacotince municipalities (Jablanicki province), Doljevac municipality (Nisavski province)",Heavy rain and melting snow,,,,,,,,Km2,42.76,20.8,,"Luznica, Vlasina, Jablanica, Rogoz, Nisava, JUzna Morava, Crvena Reka, Pusta Reka",2007,11.0,25.0,2007,11.0,29.0,,,12370.0,,12370.0,,,,,,,76.5186792040236,1,25374;25383;25386,,"Jablanicki, Nisavski, Pirotski (Adm1)."
2009-0530-SRB,2009,530,FL-2009-000245,Natural,Hydrological,Flood,Riverine flood,,,Serbia,SRB,Southern Europe,Europe,"Nova Varos, Priboj, Sjenica, Pozega, Arilje, Uzice, Prijepolje municipalities (Zlatiborski province), Cacak, Gornji Milanovac, Lucani municipalities (Moravicki province), Bujanovac municipality (Pcinjski province), Raska municipality (Raski province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,"Detinja, Moravica, Zapadna Morava",2009,11.0,6.0,2009,11.0,7.0,,,3210.0,,3210.0,,,,,,,79.1738027553029,1,25382;25384;25391;25400,,"Moravicki, Pcinjski, Raski, Zlatiborski (Adm1)."
2010-0101-SRB,2010,101,FL-2010-000042,Natural,Hydrological,Flood,Flash flood,,,Serbia,SRB,Southern Europe,Europe,"Boljevac, Zajecar municipalities (Zajecarski province), Aleksinac, Doljevac municipalities (Nisavski province), Krusevac municipality (Rasinski province), Ub municipality (Kolubarski province), Leskovac municipality (Jablanicki province), Rekovac municipality (Pomoravski province), Priboj, Pozega municipalities (Zlatiborski province), Zitorada municipality (Toplicki province), Novi Pazar municipality (Raski province)","Heavy rains, Rapid snow melting",,,,,,,46900.0,Km2,44.47,21.14,,"Saca, Drina, Mlava, Morava rivers",2010,3.0,1.0,2010,3.0,2.0,,,3150.0,,3150.0,,,,,,,80.472285151979,1,25374;25377;25383;25388;25390;25391;25397;25398;25400,,"Jablanicki, Kolubarski, Nisavski, Pomoravski, Rasinski, Raski, Toplicki, Zajecarski, Zlatiborski (Adm1)."
2010-0193-SRB,2010,193,,Natural,Hydrological,Flood,Riverine flood,,,Serbia,SRB,Southern Europe,Europe,"Jablanicki, Kosovski, Kosovsko-pomoravski, Pcinjski, Pirotski, Prizremski provinces",Heavy rains,,,,,,,,Km2,,,,,2010,5.0,17.0,2010,5.0,17.0,2.0,,,,,,,,,,,80.472285151979,1,25374;25378;25380;25384;25386;25389,,"Jablanicki, Kosovski, Kosovsko-pomoravski, Pcinjski, Pirotski, Prizremski (Adm1)."
2010-0619-SRB,2010,619,FL-2010-000248,Natural,Hydrological,Flood,Riverine flood,,,Serbia,SRB,Southern Europe,Europe,Loznica municipality (Macvanski province),,,,Yes,,,50.0,,Km2,,,,"Drina, Lim",2010,12.0,3.0,2010,12.0,3.0,,,1750.0,,1750.0,,,,,,,80.472285151979,1,25381,,Macvanski (Adm1).
2013-0061-SRB,2013,61,FF-2013-000025,Natural,Hydrological,Flood,Riverine flood,,,Serbia,SRB,Southern Europe,Europe,"Bujanovac, Vranje, Trgoviste municipalities (Pcinjski province)",Heavy rains,,,,,Yes,,,Km2,,,,Kozjodolska river,2013,2.0,24.0,2013,2.0,26.0,,,330.0,,330.0,,,,,,,85.9716422479773,1,25384,,Pcinjski (Adm1).
2013-0379-SRB,2013,379,FF-2013-000029,Natural,Hydrological,Flood,Flash flood,,,Serbia,SRB,Southern Europe,Europe,"Gjakova, Istog, Peja, Klina municipalities (Pecki province), Skenderaj, Mitrove municipalities (Kosovsko-mitrovatski province), Kramenice municipality (Kosovsko-pomoravski province)",Heavy rains,,,,,,,,Km2,,,,"Drini I Bardhe, Klina, Bistrica,Lushta",2013,3.0,14.0,2013,3.0,14.0,,,2670.0,,2670.0,,,,,,,85.9716422479773,1,25379;25380;25385,,"Kosovsko-mitrovatski, Kosovsko-pomoravski, Pecki (Adm1)."
2014-0128-SRB,2014,128,FF-2014-000059,Natural,Hydrological,Flood,Riverine flood,,,Serbia,SRB,Southern Europe,Europe,"Lucani municipality (Moravicki province), Zitoradja, Prokuplje, Kursumilja municipalities (Toplicki province), Zajecar municipality (Zajecarski province), Zagubica municipality (Branicevski province), Doljevac municiplality (Nisavski province)",Heavy rains and melting snow,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,44.0617,24.49,,,2014,4.0,16.0,2014,4.0,17.0,,,3000.0,,3000.0,,,,,,,87.3662978351193,1,25372;25382;25383;25397;25398,,"Branicevski, Moravicki, Nisavski, Toplicki, Zajecarski (Adm1)."
2014-0164-SRB,2014,164,FF-2014-000059,Natural,Hydrological,Flood,Riverine flood,,,Serbia,SRB,Southern Europe,Europe,"Ljig, Valjevo municipalities (Kolubarski province), Krupanj, Mali Zvornik, Loznica, Sabac, Ljubovija municipalities (Macvanski province), Gornji Milanovac, Cacak municipalities (Moravicki province), Grocka, Lazarevac, Obrenovac, Belgrade municipalities (Grad Beograd province), Bajina Basta municipality (Zlatiborski province)",Heavy rains,"Slide (land, mud, snow, rock)",,Yes,,Yes,,,Km2,,,,"Sava, Drina, Morava rivers",2014,5.0,13.0,2014,5.0,20.0,51.0,,49600.0,,49600.0,,,,,2048262.0,2344453.0,87.3662978351193,1,25373;25377;25381;25382;25400,,"Grad Beograd, Kolubarski, Macvanski, Moravicki, Zlatiborski (Adm1)."
2014-0306-SRB,2014,306,,Natural,Hydrological,Flood,Riverine flood,,,Serbia,SRB,Southern Europe,Europe,Banja Koviljaca city (Macvanski province),Torrential rains,,,,,,,,Km2,,,,,2014,8.0,6.0,2014,8.0,6.0,1.0,,,,,,,,,,,87.3662978351193,1,25381,,Macvanski (Adm1).
2014-0329-SRB,2014,329,FF-2014-000129,Natural,Hydrological,Flood,Flash flood,,,Serbia,SRB,Southern Europe,Europe,"Klavodo, Majdanpek, Negotin, Tekija municipalities (Borski province)",Massive rainfalls,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,Danube,2014,9.0,15.0,2014,9.0,16.0,4.0,,7000.0,,7000.0,,,,,,,87.3662978351193,1,25371,,Borski (Adm1).
2016-0076-SRB,2016,76,FL-2016-000025,Natural,Hydrological,Flood,Flash flood,,,Serbia,SRB,Southern Europe,Europe,"Pozega town (Administrative unit not available district, Zlatiborski province), Moravicki province",Torrential rains,,,,,Yes,,,Km2,,,,"Bjelica, Zapadna Morava",2016,3.0,6.0,2016,3.0,7.0,,,7000.0,,7000.0,,,,,100000.0,112901.0,88.573452875574,1;2,25382,47653,Moravicki (Adm1). Administrative unit not available (Adm2).
2016-0446-SRB,2016,446,FL-2016-000122,Natural,Hydrological,Flood,Flash flood,,,Serbia,SRB,Southern Europe,Europe,"Gjakova city (Pecki province), Rahovec, Malisheva cities (Prizremski province), Podujeva, Vushtrri cities (Kosovski province)",Heavy rains,,,,,,,,Km2,,,,,2016,11.0,7.0,2016,11.0,7.0,,,1655.0,,1655.0,,,,,,,88.573452875574,1,25378;25385;25389,,"Kosovski, Pecki, Prizremski (Adm1)."
2018-0246-SRB,2018,246,,Natural,Hydrological,Flood,Flash flood,,,Serbia,SRB,Southern Europe,Europe,"Vojvodina, Sumadija, Pomoravlje regions",,Lightening,,,,,,,Km2,,,,,2018,6.0,25.0,2018,6.0,30.0,,,231.0,,231.0,,,,,,,92.6696698010059,1,25375;25376;25388;25392;25393;25394;25395;25396;25399,,"Juzno-backi, Juzno-banatski, Pomoravski, Severno-backi, Severno-banatski, Srednje-banatski, Sremski, Sumadijski, Zapadno-backi (Adm1)."
2019-0275-SRB,2019,275,FL-2019-000052,Natural,Hydrological,Flood,,,,Serbia,SRB,Southern Europe,Europe,"Moravicki, Raski, Sumadijski and Pomoravski districts; Kraljevo, Novi Pazar, Paracin, Sremska Mitrovica, Knic, Arilje, Lucani, Tutin, Trstenik, Pozega, Vrnjacka banja, Koceljeva, Rekovac, Gornji Milanovac, Ljig, Cacak, Ivanjica, Aleksinac, Porkuplje, Krupanj municipalities",,,,,,Yes,,,Km2,,,,,2019,6.0,2.0,2019,6.0,7.0,,,11650.0,,11650.0,,,,,,,94.3490924994534,1,25377;25381;25382;25388;25390;25391;25396;25397,,"Kolubarski, Macvanski, Moravicki, Pomoravski, Rasinski, Raski, Sumadijski, Toplicki (Adm1)."
2020-0285-SRB,2020,285,FF-2020-000153,Natural,Hydrological,Flood,,,,Serbia,SRB,Southern Europe,Europe,Ivanjica Town (Moravica District),,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,Ljubovidja River,2020,6.0,22.0,2020,6.0,23.0,,,2100.0,,2100.0,,,,,28000.0,29315.0,95.5129674174503,1,25382,,Moravicki (Adm1).
2021-0020-SRB,2021,20,,Natural,Hydrological,Flood,,,,Serbia,SRB,Southern Europe,Europe,"Zitoradja (Toplicki), Doljevac (Nisavski) , Dimitrovgrad (Pirotski) and Vlasotince (Jablanicki), Bojnik (Jablanicki) , Laneskovac (Jablinicki) ; Kosovo",Heavy rains,,,,,Yes,,,Km2,,,,,2021,1.0,11.0,2021,1.0,12.0,,,22.0,,22.0,,,,,,,100.0,1,25374;25378;25379;25380;25383;25386;25397,,"Jablanicki, Kosovski, Kosovsko-mitrovatski, Kosovsko-pomoravski, Nisavski, Pirotski, Toplicki (Adm1)."
