Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1997-0154-SVK,1997,154,,Natural,Hydrological,Flood,Riverine flood,,,Slovakia,SVK,Eastern Europe,Europe,,,,,,No,No,,,Km2,,,,,1997,7.0,4.0,1997,8.0,9.0,,,,,,,,,,60000.0,101287.0,59.2378657336541,,,,
1998-0224-SVK,1998,224,,Natural,Hydrological,Flood,Riverine flood,,,Slovakia,SVK,Eastern Europe,Europe,"Sabinov, Presov districts",Brief torrential rain,,,,No,No,,,Km2,,,,Branisko Mala Svinka Svinka Zehrica an Torysa rivers,1998,7.0,20.0,1998,7.0,24.0,54.0,61.0,10850.0,756.0,11667.0,,,3000.0,4987.0,45000.0,74804.0,60.1574108900066,,,,
1999-0233-SVK,1999,233,,Natural,Hydrological,Flood,Riverine flood,,,Slovakia,SVK,Eastern Europe,Europe,"Southwest, Northern and Central Regions",Heavy rain,,,,No,No,,1157.0,Km2,,,,"river basin of the upper Moravia, Ipel river",1999,6.0,22.0,1999,7.0,1.0,2.0,,35207.0,941.0,36148.0,,,,,113300.0,184307.0,61.473667176908,,,,
2001-0390-SVK,2001,390,,Natural,Hydrological,Flood,Flash flood,,,Slovakia,SVK,Eastern Europe,Europe,"Banska Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna provinces",,,,,,,,,Km2,,,,,2001,7.0,24.0,2001,7.0,31.0,1.0,,,,,,,5500.0,8417.0,6000.0,9182.0,65.345558714192,1,2667;2668;2669;2670;2671;2672;2673;2674,,"Banska Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna (Adm1)."
2002-0513-SVK,2002,513,,Natural,Hydrological,Flood,Riverine flood,,,Slovakia,SVK,Eastern Europe,Europe,"Bratislava city (Okres Bratislava I district, Bratislava province) ; Banska Bystrica, Brezno, Zarnovica, Ziar nad Hronom districts (Banska Bystrica province), Levice district (Nitra province)",,,,,,,,,Km2,,,,,2002,8.0,16.0,2002,8.0,18.0,,,,,,,,,,3000.0,4519.0,66.3819636999782,2,,25428;25430;25438;25439;25442,"Banska Bystrica, Brezno, Okres Bratislava I, Zarnovica, Ziar nad Hronom (Adm2)."
2004-0369-SVK,2004,369,,Natural,Hydrological,Flood,Riverine flood,,,Slovakia,SVK,Eastern Europe,Europe,"Spisska Nova Ves, Gelnica districts (Kosice province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,"Hornad, Bodrog, Torysa, Ondava",2004,7.0,27.0,2004,8.0,2.0,1.0,,230.0,,230.0,,,,,,,69.7064421605073,2,,25449;25458,"Gelnica, Spisska Nova Ves (Adm2)."
2005-0131-SVK,2005,131,,Natural,Hydrological,Flood,Riverine flood,,,Slovakia,SVK,Eastern Europe,Europe,Poprad distrit (Presov province),Heavy rains and melting snow,,,,,,,,Km2,,,,Torysa,2005,3.0,17.0,2005,3.0,25.0,1.0,,,,,,,,,,,72.0714104526569,2,,25472,Poprad (Adm2).
2006-0156-SVK,2006,156,,Natural,Hydrological,Flood,Riverine flood,,,Slovakia,SVK,Eastern Europe,Europe,"Modra city (Pezinok district, Bratislava province), Banska Bystrica city (Banska Bystrica district, Banska Bystrica province), Bratislava city (Okres Bratislava I district, Bratislava province)",Heavy rains and snowmelt,,,,,,,,Km2,48.67,19.08,,"Danube, Myjava, Hron, Nitra, Torysa, Bodrog",2006,3.0,28.0,2006,5.0,9.0,1.0,,,,,,,,,,,74.3963874917997,2,,25428;25442;25447,"Banska Bystrica, Okres Bratislava I, Pezinok (Adm2)."
2006-0302-SVK,2006,302,,Natural,Hydrological,Flood,Riverine flood,,,Slovakia,SVK,Eastern Europe,Europe,"Sabinov, Bardejov districts (Presov province) ; Presov, Kosice provinces",Heavy rain and unseasonable snow,,,,,,,,Km2,49.5,20.93,,,2006,6.0,4.0,2006,6.0,6.0,,,100.0,,100.0,,,,,,,74.3963874917997,1,2669;2671,,"Kosice, Presov (Adm1)."
2010-0193-SVK,2010,193,,Natural,Hydrological,Flood,Riverine flood,,,Slovakia,SVK,Eastern Europe,Europe,"Presov, Zilna provinces",,,,,,,,,Km2,,,,,2010,5.0,15.0,2010,5.0,26.0,1.0,,200.0,,200.0,,,,,25000.0,31067.0,80.472285151979,1,2671;2674,,"Presov, Zilna (Adm1)."
