Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1966-0088-SLB,1966,88,,Natural,Meteorological,Storm,Tropical cyclone,,Angela,Solomon Islands,SLB,Melanesia,Oceania,"Malaita, Guadalcanal",,,,,,,,,Kph,,,,,1966,11.0,14.0,1966,11.0,14.0,3.0,,1000.0,,1000.0,,,,,,,11.9785873605948,,,,
1967-0072-SLB,1967,72,,Natural,Meteorological,Storm,Tropical cyclone,,Annie,Solomon Islands,SLB,Melanesia,Oceania,Western Islands,,,,,,,,,Kph,,,,,1967,11.0,11.0,1967,11.0,11.0,12.0,,,,,,,,,,,12.3107281871857,,,,
1968-0085-SLB,1968,85,,Natural,Meteorological,Storm,Tropical cyclone,,Becky,Solomon Islands,SLB,Melanesia,Oceania,Central Islands,,,,,,,,,Kph,,,,,1968,12.0,11.0,1968,12.0,11.0,1.0,,,200.0,200.0,,,,,,,12.8366149136235,,,,
1979-0026-SLB,1979,26,,Natural,Meteorological,Storm,Tropical cyclone,,Kerry,Solomon Islands,SLB,Melanesia,Oceania,"East, South Isl.",,,,,,,,,Kph,,,,,1979,2.0,18.0,1979,2.0,18.0,2.0,,6000.0,,6000.0,,,,,,,26.7834419418325,,,,
1985-0043-SLB,1985,43,,Natural,Meteorological,Storm,Tropical cyclone,,Hina,Solomon Islands,SLB,Melanesia,Oceania,"Utupia, Vanikolo, Tikopia Isl.",,,,Yes,,,,,Kph,,,,,1985,3.0,14.0,1985,3.0,14.0,,,650.0,,650.0,,,,,,,39.696934178876,,,,
1986-0065-SLB,1986,65,,Natural,Meteorological,Storm,Tropical cyclone,,Namu,Solomon Islands,SLB,Melanesia,Oceania,"Malaita, Guadalcanal, Ulawa, Makira, Rennell, Bellona Islands",,,,Yes,,,,,Kph,,,,,1986,5.0,19.0,1986,5.0,19.0,101.0,,90000.0,60000.0,150000.0,,,,,20000.0,49443.0,40.4504089219331,,,,
1993-0007-SLB,1993,7,,Natural,Meteorological,Storm,Tropical cyclone,,Nina,Solomon Islands,SLB,Melanesia,Oceania,"Rennell, Bellona, Temotu, Makira, Malaita, Guadacanal",,,,Yes,,,232.0,130.0,Kph,,,,,1993,1.0,4.0,1993,1.0,4.0,4.0,,88500.0,,88500.0,,,,,,,53.3116203804942,,,,
2002-0811-SLB,2002,811,,Natural,Meteorological,Storm,Tropical cyclone,,Zoe,Solomon Islands,SLB,Melanesia,Oceania,"Tikopia, Fataka, Anuta islands (Temotu area, Solomon Islands province)",,Surge,,Yes,,Yes,584.0,340.0,Kph,,,,,2002,12.0,28.0,2002,12.0,29.0,,10.0,,1100.0,1110.0,,,,,,,66.3819636999782,1,2687,,Administrative unit not available (Adm1).
2003-0057-SLB,2003,57,,Natural,Meteorological,Storm,Tropical cyclone,,Beni,Solomon Islands,SLB,Melanesia,Oceania,"Rennell, Bellona islands (Solomon Islands province)",,,,,,,,110.0,Kph,,,,,2003,1.0,26.0,2003,1.0,28.0,,,275.0,,275.0,,,,,,,67.8888956921058,1,2687,,Administrative unit not available (Adm1).
2003-0314-SLB,2003,314,,Natural,Meteorological,Storm,Tropical cyclone,,Gina,Solomon Islands,SLB,Melanesia,Oceania,"Faea, Ravenga areas (Tikopia island, Solomon Islands province)",,"Slide (land, mud, snow, rock)",,,,,,111.0,Kph,,,,,2003,6.0,5.0,2003,6.0,5.0,,,,150.0,150.0,,,,,,,67.8888956921058,1,2687,,Administrative unit not available (Adm1).
