Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1989-0051-SOM,1989,51,,Natural,Hydrological,Flood,,,,Somalia,SOM,Eastern Africa,Africa,Koryaleh province,,,,,,,,500.0,Km2,,,,,1989,6.0,5.0,1989,6.0,5.0,,,50000.0,,50000.0,,,,,,,45.749276186311,,,,
1994-0573-SOM,1994,573,,Natural,Hydrological,Flood,Riverine flood,,,Somalia,SOM,Eastern Africa,Africa,South,,,,,,,,,Km2,,,,,1994,11.0,11.0,1994,11.0,11.0,100.0,,,,,,,,,,,54.7016925431883,,,,
1995-0317-SOM,1995,317,,Natural,Hydrological,Flood,Riverine flood,,,Somalia,SOM,Eastern Africa,Africa,Mogadishu,,,,,,,235.0,,Km2,,,,,1995,11.0,5.0,1995,11.0,5.0,20.0,,8500.0,,8500.0,,,,,,,56.2363000218675,,,,
1996-0473-SOM,1996,473,,Natural,Hydrological,Flood,Riverine flood,,,Somalia,SOM,Eastern Africa,Africa,,Heavy rains,Broken Dam/Burst bank,,,No,No,,,Km2,,,,Shabelle river,1996,6.0,13.0,1996,6.0,14.0,3.0,,100.0,,100.0,,,,,,,57.8847058823529,,,,
1997-0106-SOM,1997,106,,Natural,Hydrological,Flood,Riverine flood,,,Somalia,SOM,Eastern Africa,Africa,"Shebele Valley, Hawardre district north of Mogadishu and Jowhar north of Mogadishu.",Heavy rain,,,,No,No,,,Km2,,,,,1997,5.0,2.0,1997,5.0,7.0,,,2000.0,,2000.0,,,,,,,59.2378657336541,,,,
1997-0265-SOM,1997,265,,Natural,Hydrological,Flood,Riverine flood,,,Somalia,SOM,Eastern Africa,Africa,"Gedo, Middle, Lower Juba regions",,,,,No,No,15528.0,600.0,Km2,,,,,1997,10.0,19.0,1997,11.0,17.0,2311.0,,1000000.0,230000.0,1230000.0,,,,,,,59.2378657336541,,,,
2000-0259-SOM,2000,259,,Natural,Hydrological,Flood,Riverine flood,,,Somalia,SOM,Eastern Africa,Africa,"Jilib, Bu'aale districts (Juba Dhexe province), Jamaame district (Juba Hoose province), Jowhar, Balcad districts (Shabelle Dhexe province), Hiraan, Shabelle Hoose provinces",Heavy rain,,,,,,,46000.0,Km2,,,,"Juba, Lower Shabelle",2000,5.0,1.0,2000,5.0,1.0,,,3500.0,,3500.0,,,,,,,63.5495473431008,1;2,2695;2697,25689;25698;25699;25702;25704,"Hiraan, Shabelle Hoose (Adm1). Balcad, Bu'aale, Jamaame, Jilib, Jowhar (Adm2)."
2000-0490-SOM,2000,490,,Natural,Hydrological,Flood,,,,Somalia,SOM,Eastern Africa,Africa,"Mogadishu city (Banadir district, Banadir province)",,,,,,,,,Km2,,,,,2000,7.0,10.0,2000,7.0,10.0,,,,220000.0,220000.0,,,,,,,63.5495473431008,2,,25672,Banadir (Adm2).
2000-0778-SOM,2000,778,,Natural,Hydrological,Flood,Riverine flood,,,Somalia,SOM,Eastern Africa,Africa,"Juba Hoose, Juba Dhexe provinces",Heavy rain,,,,,,,51400.0,Km2,,,,Jubba river,2000,11.0,20.0,2000,11.0,20.0,,,150000.0,,150000.0,,,,,,,63.5495473431008,1,2696;2698,,"Juba Dhexe, Juba Hoose (Adm1)."
2001-0653-SOM,2001,653,,Natural,Hydrological,Flood,Riverine flood,,,Somalia,SOM,Eastern Africa,Africa,Jilib district (Juba Dhexe province),Heavy rain,,,,,,,3900.0,Km2,,,,,2001,11.0,1.0,2001,11.0,14.0,,,6500.0,,6500.0,,,,,,,65.345558714192,2,,25699,Jilib (Adm2).
2002-0715-SOM,2002,715,,Natural,Hydrological,Flood,Riverine flood,,,Somalia,SOM,Eastern Africa,Africa,"Bu'aale district (Juba Dhexe province), Afmadow district (Juba Hoose province), Gedo province",Heavy rain,,,,,,,65260.0,Km2,,,,,2002,11.0,8.0,2002,11.0,21.0,,,,,,,,,,,,66.3819636999782,1;2,2694,25687;25698,"Gedo (Adm1). Afmadow, Bu'aale (Adm2)."
2003-0204-SOM,2003,204,,Natural,Hydrological,Flood,Riverine flood,,,Somalia,SOM,Eastern Africa,Africa,"Juba Hoose, Shabelle Hoose, Shabelle Dhexe provinces",Heavy rains,,,,,,,,Km2,,,,"Jubba, Shebelle rivers",2003,5.0,4.0,2003,5.0,20.0,,,,,,,,,,,,67.8888956921058,1,2696;2697;2699,,"Juba Hoose, Shabelle Dhexe, Shabelle Hoose (Adm1)."
2003-0447-SOM,2003,447,,Natural,Hydrological,Flood,Riverine flood,,,Somalia,SOM,Eastern Africa,Africa,"Wajale town (Gebiley district, Woqooyi Galbeed province), Hargeysa district (Woqooyi Galbeed province)",Heavy rains,,,,,,,550.0,Km2,,,,,2003,8.0,18.0,2003,8.0,20.0,1.0,,300.0,,300.0,,,,,,,67.8888956921058,2,,25725;25726,"Gebiley, Hargeysa (Adm2)."
2004-0499-SOM,2004,499,,Natural,Hydrological,Flood,Riverine flood,,,Somalia,SOM,Eastern Africa,Africa,Sanaag province,Heavy rains,,,,,,,,Km2,,,,,2004,9.0,28.0,2004,9.0,30.0,,,,1500.0,1500.0,,,,,,,69.7064421605073,1,2702,,Sanaag (Adm1).
2005-0215-SOM,2005,215,,Natural,Hydrological,Flood,Flash flood,,,Somalia,SOM,Eastern Africa,Africa,"Kowaan, Muusa Xaaji, Jibey, Sanguni, Malayle villages (Jamaame district, Juba Hoose province), Hargeysa, Berbera district (Woqooyi Galbeed province), Borama district (Awdal province), Burco district (Togdheer province), Jowhar district (Shabelle Dhexe province), Belet Weyne district (Hiiran province), Bu'aale district (Juba Dhexe province)",Heavy rains,,,,,,,,Km2,,,,Jubba,2005,4.0,23.0,2005,6.0,14.0,5.0,20.0,5000.0,,5020.0,,,,,20.0,28.0,72.0714104526569,2,,25654;25684;25689;25698;25704;25720;25724;25726,"Belet Weyne, Berbera, Borama, Bu'aale, Burco, Hargeysa, Jamaame, Jowhar (Adm2)."
2005-0309-SOM,2005,309,,Natural,Hydrological,Flood,Flash flood,,,Somalia,SOM,Eastern Africa,Africa,Bu'aale district (Juba Dhexe province),,,,,,,,,Km2,,,,Juba river,2005,6.0,4.0,2005,6.0,5.0,7.0,,,2500.0,2500.0,,,,,,,72.0714104526569,2,,25698,Bu'aale (Adm2).
2006-0229-SOM,2006,229,,Natural,Hydrological,Flood,Flash flood,,,Somalia,SOM,Eastern Africa,Africa,Hiraan province,Torrential rain,,,,,,,,Km2,,,,,2006,5.0,1.0,2006,5.0,1.0,5.0,,,,,,,,,,,74.3963874917997,1,2695,,Hiraan (Adm1).
2006-0422-SOM,2006,422,,Natural,Hydrological,Flood,Flash flood,,,Somalia,SOM,Eastern Africa,Africa,"Bardhere, Mangay, Tuugarey villages (Jowhar district, Shabelle Dhexe province)",Heavy rains,,,,,,,3845.0,Km2,2.665,45.45,,Shabelle river,2006,8.0,4.0,2006,8.0,9.0,5.0,,2000.0,,2000.0,,,,,,,74.3963874917997,2,,25704,Jowhar (Adm2).
