Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1968-0070-ZAF,1968,70,,Natural,Hydrological,Flood,,,,South Africa,ZAF,Southern Africa,Africa,Port Elizabeth,,,,,No,No,,,Km2,,,,,1968,9.0,1.0,1968,9.0,1.0,,,,,,,,,,30000.0,233706.0,12.8366149136235,,,,
1974-0012-ZAF,1974,12,,Natural,Hydrological,Flood,,,,South Africa,ZAF,Southern Africa,Africa,N. Natal,,,,,,,,,Km2,,,,,1974,2.0,10.0,1974,2.0,10.0,26.0,,,,,,,,,,,18.196991034332,,,,
1987-0166-ZAF,1987,166,,Natural,Hydrological,Flood,Riverine flood,,,South Africa,ZAF,Southern Africa,Africa,"Natal, Kwazulu",,,,Yes,No,No,,,Km2,,,,,1987,9.0,25.0,1987,9.0,29.0,506.0,,65000.0,,65000.0,,,248000.0,591423.0,765305.0,1825078.0,41.9327356221299,,,,
1993-0215-ZAF,1993,215,,Natural,Hydrological,Flood,Riverine flood,,,South Africa,ZAF,Southern Africa,Africa,Northern Natal province,Heavy rain,,,,No,No,,5890.0,Km2,,,,Umfolozi,1993,10.0,6.0,1993,10.0,8.0,12.0,,,15000.0,15000.0,,,,,,,53.3116203804942,,,,
1994-0632-ZAF,1994,632,,Natural,Hydrological,Flood,,,,South Africa,ZAF,Southern Africa,Africa,"Capetown, Cape Peninsula",,,,,,,,,Km2,,,,,1994,6.0,19.0,1994,6.0,19.0,,,11000.0,,11000.0,,,,,,,54.7016925431883,,,,
1995-0305-ZAF,1995,305,,Natural,Hydrological,Flood,Flash flood,,,South Africa,ZAF,Southern Africa,Africa,Pietermaritzburg region (Kwazulu Natal Province),Heavy rains,,,Yes,No,No,373.0,26830.0,Km2,,,,"Msunduze, Slangspruit",1995,12.0,25.0,1996,1.0,2.0,207.0,,4500.0,,4500.0,,,,,10000.0,17782.0,56.2363000218675,,,,
1996-0010-ZAF,1996,10,,Natural,Hydrological,Flood,Flash flood,,,South Africa,ZAF,Southern Africa,Africa,Kwazulu-Natal province,,,,,No,No,,,Km2,,,,,1996,1.0,12.0,1996,1.0,14.0,7.0,,,500.0,500.0,,,,,,,57.8847058823529,,,,
1996-0027-ZAF,1996,27,,Natural,Hydrological,Flood,Riverine flood,,,South Africa,ZAF,Southern Africa,Africa,"Mpumalanga, Gauteng, Free State, North West, Eastern Cape, KwaZulu-Natal provinces",Heavy rains,,,,No,No,,582300.0,Km2,,,,"Vaal, Queens, Crocodile, Limpopo, Olifants, Klein Letaba, Mogolo",1996,2.0,9.0,1996,2.0,19.0,27.0,30.0,7000.0,,7030.0,,,,,6860.0,11851.0,57.8847058823529,,,,
1997-0033-ZAF,1997,33,,Natural,Hydrological,Flood,,,,South Africa,ZAF,Southern Africa,Africa,Natal Province,,,,,,,,,Km2,,,,,1997,3.0,6.0,1997,3.0,6.0,,7.0,300.0,,307.0,,,,,,,59.2378657336541,,,,
1999-0426-ZAF,1999,426,,Natural,Hydrological,Flood,Flash flood,,,South Africa,ZAF,Southern Africa,Africa,city of Durban (Kwazulu-Natal Province),Brief torrential rain,,,,No,No,,,Km2,,,,,1999,10.0,26.0,1999,10.0,28.0,4.0,,300.0,,300.0,,,,,13300.0,21635.0,61.473667176908,,,,
1999-0593-ZAF,1999,593,,Natural,Hydrological,Flood,Riverine flood,,,South Africa,ZAF,Southern Africa,Africa,Durban city (KwaZulu Natal Province),Heavy rain,"Slide (land, mud, snow, rock)",,,No,No,,,Km2,,,,,1999,12.0,21.0,1999,12.0,23.0,23.0,,2000.0,,2000.0,,,,,6300.0,10248.0,61.473667176908,,,,
2000-0043-ZAF,2000,43,,Natural,Hydrological,Flood,Riverine flood,,,South Africa,ZAF,Southern Africa,Africa,"Mpumalanga, KwaZulu-Natal, Gauteng provinces",Heavy rain,,,Yes,,,,,Km2,,,,"Jukskei, Klip, Crocodile",2000,1.0,26.0,2000,3.0,27.0,83.0,,,200.0,200.0,,,50000.0,78679.0,160000.0,251772.0,63.5495473431008,1,2708;77311;77313,,"Gauteng, KwaZulu-Natal, Mpumalanga (Adm1)."
2000-0754-ZAF,2000,754,,Natural,Hydrological,Flood,Flash flood,,,South Africa,ZAF,Southern Africa,Africa,Kwazulu-Natal province,Brief torrential rain,,,,,,,25650.0,Km2,,,,"Mzingazi, Sikhwedezi, Nkonjane",2000,11.0,19.0,2000,11.0,23.0,3.0,,3000.0,,3000.0,,,,,,,63.5495473431008,1,77311,,KwaZulu-Natal (Adm1).
2000-0861-ZAF,2000,861,,Natural,Hydrological,Flood,Riverine flood,,,South Africa,ZAF,Southern Africa,Africa,KwaZulu-Natal province,,,,,,,,,Km2,,,,,2000,12.0,9.0,2000,12.0,9.0,7.0,,,,,,,,,,,63.5495473431008,1,77311,,KwaZulu-Natal (Adm1).
2001-0481-ZAF,2001,481,,Natural,Hydrological,Flood,,,,South Africa,ZAF,Southern Africa,Africa,City of Cape Town district (Western Cape province),,,,Yes,,,,,Km2,,,,,2001,7.0,3.0,2001,7.0,3.0,,,42356.0,,42356.0,,,,,,,65.345558714192,2,,77317,City of Cape Town Metropolitan Municipality (Adm2).
2001-0664-ZAF,2001,664,,Natural,Hydrological,Flood,Flash flood,,,South Africa,ZAF,Southern Africa,Africa,"Greater Tubatse area (Sekhukhune district, Limpopo province), Thembisile area (Nkangala district, Mpumalanga province), Ingwavuma, Ubombo, Jozini towns (Jozini area, Umkhanyakude district, KwaZulu-Natal province)",Brief torrential rain,Broken Dam/Burst bank,,,,,,752.0,Km2,,,,,2001,12.0,19.0,2001,12.0,22.0,5.0,12.0,300.0,,312.0,,,,,,,65.345558714192,2,,77335;77340;77355,"Nkangala District Municipality, Sekhukhune District Municipality, Umkhanyakude District Municipality (Adm2)."
2002-0514-ZAF,2002,514,,Natural,Hydrological,Flood,Riverine flood,,,South Africa,ZAF,Southern Africa,Africa,"East London town (Buffalo City district, Eastern Cape province)",Heavy rain,,,,,,,3000.0,Km2,,,,,2002,8.0,16.0,2002,8.0,18.0,16.0,,2500.0,,2500.0,,,,,,,66.3819636999782,2,,77316,Buffalo City Metropolitan Municipality (Adm2).
