Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1983-0194-ZAF,1983,194,,Natural,Meteorological,Storm,,,,South Africa,ZAF,Southern Africa,Africa,,,,,,,,,,Kph,,,,,1983,11.0,24.0,1983,11.0,24.0,10.0,200.0,,,200.0,,,,,,,36.7568773234201,,,,
1984-0019-ZAF,1984,19,,Natural,Meteorological,Storm,Tropical cyclone,,"Domoina, Imboa",South Africa,ZAF,Southern Africa,Africa,"Natal, Kwazulu, Transvaal",,,,,No,No,,,Kph,,,,,1984,1.0,28.0,1984,2.0,4.0,64.0,,500000.0,,500000.0,,,,,92000.0,239973.0,38.3376251913405,,,,
1990-0347-ZAF,1990,347,,Natural,Meteorological,Storm,Convective storm,Tornado,,South Africa,ZAF,Southern Africa,Africa,"Welkom, Natal",,,,,No,No,,,Kph,,,,,1990,3.0,20.0,1990,3.0,20.0,2.0,,,,,,,117800.0,244303.0,393000.0,815035.0,48.2187972884321,,,,
1993-0137-ZAF,1993,137,,Natural,Meteorological,Storm,,,,South Africa,ZAF,Southern Africa,Africa,"Parow, Bellville, Goodwood",,,,,,,,200.0,Kph,,,,,1993,4.0,10.0,1993,4.0,10.0,7.0,,,,,,,,,,,53.3116203804942,,,,
1998-0413-ZAF,1998,413,,Natural,Meteorological,Storm,Convective storm,Tornado,,South Africa,ZAF,Southern Africa,Africa,Umtata,,,,,No,No,,,Kph,,,,,1998,12.0,15.0,1998,12.0,15.0,18.0,160.0,,,160.0,,,,,165000.0,274280.0,60.1574108900066,,,,
1999-0015-ZAF,1999,15,,Natural,Meteorological,Storm,,,,South Africa,ZAF,Southern Africa,Africa,"Mount Ayliff, Kokstad",,,,,,,,,Kph,,,,,1999,1.0,18.0,1999,1.0,18.0,21.0,303.0,,300.0,603.0,,,,,,,61.473667176908,,,,
1999-0290-ZAF,1999,290,,Natural,Meteorological,Storm,Convective storm,Tornado,,South Africa,ZAF,Southern Africa,Africa,"Surrey Estate, Manenberg, Gugulethu (Cap Town Region)",,,,,No,Yes,,200.0,Kph,,,,,1999,8.0,29.0,1999,8.0,29.0,5.0,177.0,13000.0,5000.0,18177.0,,,,,25000.0,40668.0,61.473667176908,,,,
2000-0917-ZAF,2000,917,,Natural,Meteorological,Storm,Convective storm,Tornado,,South Africa,ZAF,Southern Africa,Africa,"Newcastle town (Amajuba district, KwaZulu-Natal province",,Rain,,,,,,,Kph,,,,,2000,2.0,2.0,2000,2.0,2.0,1.0,100.0,,200.0,300.0,,,,,,,63.5495473431008,2,,77333,Amajuba District Municipality (Adm2).
2001-0037-ZAF,2001,37,,Natural,Meteorological,Storm,,,,South Africa,ZAF,Southern Africa,Africa,Mogadi area (KwaZulu-Natal province),,,,,,,,,Kph,,,,,2001,1.0,30.0,2001,1.0,30.0,14.0,10.0,,,10.0,,,,,,,65.345558714192,1,77311,,KwaZulu-Natal (Adm1).
2001-0560-ZAF,2001,560,,Natural,Meteorological,Storm,Convective storm,Tornado,,South Africa,ZAF,Southern Africa,Africa,"Midrand area (City of Johannesburg district, Gauteng province), East Rand, Tembisa areas (Ekurhuleni district, Gauteng province)",,,,,,,,,Kph,,,,,2001,9.0,14.0,2001,9.0,14.0,,30.0,,600.0,630.0,,,,,,,65.345558714192,2,,77362;77364,"City of Johannesburg Metropolitan Municipality, Ekurhuleni Metropolitan Municipality (Adm2)."
