Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1983-0392-SUN,1983,392,,Natural,Hydrological,Flood,,,,Soviet Union,SUN,Russian Federation,Europe,Kaliningrad (Russian Federation),,,,,,,,,Km2,,,,,1983,2.0,12.0,1983,2.0,12.0,,,,,,,,,,,,36.7568773234201,,,,
1983-0397-SUN,1983,397,,Natural,Hydrological,Flood,,,,Soviet Union,SUN,Russian Federation,Europe,Khabarovsk (Russian Federation),,,,,,,,,Km2,,,,,1983,5.0,5.0,1983,5.0,5.0,,,1000.0,,1000.0,,,,,,,36.7568773234201,,,,
1984-0287-SUN,1984,287,,Natural,Hydrological,Flood,Riverine flood,,,Soviet Union,SUN,Russian Federation,Europe,Leningrad region (Russian Federation),,,,,,,,,Km2,,,,,1984,1.0,2.0,1984,1.0,2.0,,,,,,,,,,,,38.3376251913405,,,,
1987-0054-SUN,1987,54,,Natural,Hydrological,Flood,,,,Soviet Union,SUN,Russian Federation,Europe,Tbilisi (Georgia),,,,,,,,800.0,Km2,,,,,1987,2.0,14.0,1987,3.0,24.0,110.0,,20000.0,16000.0,36000.0,,,,,546000.0,1302085.0,41.9327356221299,,,,
1989-0572-SUN,1989,572,,Natural,Hydrological,Flood,Riverine flood,,,Soviet Union,SUN,Russian Federation,Europe,Far East (Russian Federation),Heavy rains,,,,,,,1200.0,Km2,,,,"Ussuri, Malinovka rivers",1989,8.0,2.0,1989,8.0,7.0,17.0,,,,,,,,,640000.0,1398929.0,45.749276186311,,,,
1990-0354-SUN,1990,354,,Natural,Hydrological,Flood,Riverine flood,,,Soviet Union,SUN,Russian Federation,Europe,Bachkiria region (Ural) (Russian Federation),"Rain, snowmelt",,,,,,,71510.0,Km2,,,,Belaya,1990,5.0,5.0,1990,5.0,11.0,14.0,,20000.0,,20000.0,,,,,118600.0,245962.0,48.2187972884321,,,,
1990-0712-SUN,1990,712,,Natural,Hydrological,Flood,,,,Soviet Union,SUN,Russian Federation,Europe,"Tura, Uchami (Krasnoyarsk district) (Russian Federation)",,,,,,,,,Km2,,,,,1990,5.0,30.0,1990,5.0,30.0,,,208.0,,208.0,,,,,,,48.2187972884321,,,,
1990-0379-SUN,1990,379,,Natural,Hydrological,Flood,Riverine flood,,,Soviet Union,SUN,Russian Federation,Europe,Chita Region (bordering Mongolia) (Oriental Siberia) (Russian Federation),Heavy rain,,,,,,,431600.0,Km2,,,,Ingoda and Chitinka Rivers,1990,7.0,8.0,1990,7.0,10.0,5.0,,3000.0,,3000.0,,,,,59300.0,122981.0,48.2187972884321,,,,
1991-0161-SUN,1991,161,,Natural,Hydrological,Flood,,,,Soviet Union,SUN,Russian Federation,Europe,Volgograd Region (Russian Federation),,,,,,,,50000.0,Km2,,,,,1991,4.0,27.0,1991,4.0,27.0,,,40000.0,,40000.0,,,,,2000000.0,3979240.0,50.2608528318391,,,,
1991-0522-SUN,1991,522,,Natural,Hydrological,Flood,Riverine flood,,,Soviet Union,SUN,Russian Federation,Europe,Ulan-Ude region (Buryatia) (Russian Federation),Heavy rain,,,,,,,61650.0,Km2,,,,"Barguzin, Garga",1991,7.0,11.0,1991,7.0,25.0,2.0,,2000.0,,2000.0,,,,,22000.0,43772.0,50.2608528318391,,,,
