Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1962-0008-ESP,1962,8,,Natural,Hydrological,Flood,Flash flood,,,Spain,ESP,Southern Europe,Europe,Barcelona,,,,,No,No,,,Km2,,,,,1962,9.0,27.0,1962,9.0,27.0,445.0,,,,,,,,,80000.0,716614.0,11.1636125082004,,,,
1973-0046-ESP,1973,46,,Natural,Hydrological,Flood,Flash flood,,,Spain,ESP,Southern Europe,Europe,"Granada, Almeria, Murcia",,,,,,,,,Km2,,,,,1973,10.0,19.0,1973,10.0,19.0,500.0,,,,,,,,,400000.0,2441169.0,16.3855937021648,,,,
1979-0260-ESP,1979,260,,Natural,Hydrological,Flood,Flash flood,,,Spain,ESP,Southern Europe,Europe,Valdepenas,,,,,,,,,Km2,,,,,1979,8.0,2.0,1979,8.0,2.0,20.0,50.0,,,50.0,,,,,,,26.7834419418325,,,,
1982-0113-ESP,1982,113,,Natural,Hydrological,Flood,,,,Spain,ESP,Southern Europe,Europe,"Valencia, Alicante",,,,Yes,,,,,Km2,,,,,1982,10.0,19.0,1982,10.0,19.0,43.0,1600.0,225000.0,,226600.0,,,,,630000.0,1769025.0,35.6128405860485,,,,
1983-0111-ESP,1983,111,,Natural,Hydrological,Flood,,,,Spain,ESP,Southern Europe,Europe,"Bilbao, Pays Basques, Northeast provinces",,,,Yes,,,,,Km2,,,,,1983,8.0,25.0,1983,8.0,25.0,45.0,,500000.0,6000.0,506000.0,,,,,3900000.0,10610259.0,36.7568773234201,,,,
1983-0137-ESP,1983,137,,Natural,Hydrological,Flood,,,,Spain,ESP,Southern Europe,Europe,San Juan Del Puerto,,,,Yes,,,,,Km2,,,,,1983,11.0,1.0,1983,11.0,1.0,,,1600.0,,1600.0,,,,,,,36.7568773234201,,,,
1987-0207-ESP,1987,207,,Natural,Hydrological,Flood,Riverine flood,,,Spain,ESP,Southern Europe,Europe,"Valencia, Murcia",,,,,,,,,Km2,,,,,1987,11.0,4.0,1987,11.0,4.0,5.0,,2000.0,,2000.0,,,,,1283000.0,3059662.0,41.9327356221299,,,,
1994-0338-ESP,1994,338,,Natural,Hydrological,Flood,,,,Spain,ESP,Southern Europe,Europe,Porrera,,,,,,,,,Km2,,,,,1994,10.0,10.0,1994,10.0,10.0,10.0,,,,,,,,,,,54.7016925431883,,,,
1996-0281-ESP,1996,281,,Natural,Hydrological,Flood,Riverine flood,,,Spain,ESP,Southern Europe,Europe,"Huelva, Matalascanas, Sevilla, Cadiz, Cordoba, Malaga (Andalusia)",Heavy rains,,,,No,No,,,Km2,,,,Guadalate river,1996,12.0,22.0,1996,12.0,24.0,1.0,,4000.0,,4000.0,,,,,576600.0,996118.0,57.8847058823529,,,,
1997-0237-ESP,1997,237,,Natural,Hydrological,Flood,Riverine flood,,,Spain,ESP,Southern Europe,Europe,"Alicante, Almeria, Murcia, Valencia provinces",Heavy rain,,,,No,No,,,Km2,,,,,1997,9.0,28.0,1997,10.0,1.0,5.0,,400.0,,400.0,,,,,,,59.2378657336541,,,,
