Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1941-0036-ESP,1941,36,,Natural,Meteorological,Storm,,,,Spain,ESP,Southern Europe,Europe,Zumaya (Guipúzcoa),,Transport accident,,,,,,,Kph,,,,,1941,2.0,15.0,1941,2.0,16.0,20.0,120.0,,,120.0,,,,,,,5.4402967262644,,,,
1973-0010-ESP,1973,10,,Natural,Meteorological,Storm,,,,Spain,ESP,Southern Europe,Europe,Atlantic coast,,,,,,,,,Kph,,,,,1973,1.0,17.0,1973,1.0,17.0,19.0,,,,,,,,,,,16.3855937021648,,,,
1984-0280-ESP,1984,280,,Natural,Meteorological,Storm,Tropical cyclone,,Hortense,Spain,ESP,Southern Europe,Europe,,,,,,No,No,,150.0,Kph,,,,,1984,10.0,4.0,1984,10.0,4.0,6.0,30.0,60000.0,,60030.0,,,,,1000000.0,2608404.0,38.3376251913405,,,,
1987-0148-ESP,1987,148,,Natural,Meteorological,Storm,Convective storm,Hail,,Spain,ESP,Southern Europe,Europe,Navarra,,,,,,,,,Kph,,,,,1987,8.0,24.0,1987,8.0,24.0,,,,,,,,,,8000.0,19078.0,41.9327356221299,,,,
1989-0361-ESP,1989,361,,Natural,Meteorological,Storm,,,,Spain,ESP,Southern Europe,Europe,,,,,,,,,,Kph,,,,,1989,2.0,26.0,1989,2.0,26.0,19.0,,,,,,,,,,,45.749276186311,,,,
1989-0369-ESP,1989,369,,Natural,Meteorological,Storm,,,,Spain,ESP,Southern Europe,Europe,,,,,,,,,,Kph,,,,,1989,9.0,4.0,1989,9.0,4.0,14.0,,,,,,,,,,,45.749276186311,,,,
1990-0721-ESP,1990,721,,Natural,Meteorological,Storm,,,Ottilie and Polly,Spain,ESP,Southern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,13.0,1990,2.0,15.0,1.0,,,,,,,,,,,48.2187972884321,,,,
1990-0151-ESP,1990,151,,Natural,Meteorological,Storm,,,,Spain,ESP,Southern Europe,Europe,,,,,,,,,,Kph,,,,,1990,12.0,11.0,1990,12.0,11.0,8.0,,,,,,,,,,,48.2187972884321,,,,
1994-0093-ESP,1994,93,,Natural,Meteorological,Storm,,,,Spain,ESP,Southern Europe,Europe,Northern coast,,,,,,,,,Kph,,,,,1994,4.0,2.0,1994,4.0,2.0,12.0,,,,,,,,,,,54.7016925431883,,,,
1997-0273-ESP,1997,273,,Natural,Meteorological,Storm,,,,Spain,ESP,Southern Europe,Europe,Badajoz province,,"Slide (land, mud, snow, rock)",,,No,No,,,Kph,,,,,1997,10.0,30.0,1997,11.0,8.0,21.0,,350.0,,350.0,,,,,5000.0,8441.0,59.2378657336541,,,,
