Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1967-0067-LKA,1967,67,,Natural,Hydrological,Flood,,,,Sri Lanka,LKA,Southern Asia,Asia,"(1) Colombo area, (2) North, North Central, East provinces",,,,Yes,No,No,,,Km2,,,,,1967,10.0,18.0,1967,10.0,18.0,24.0,,47000.0,,47000.0,,,,,3000.0,24369.0,12.3107281871857,,,,
1969-0113-LKA,1969,113,,Natural,Hydrological,Flood,,,,Sri Lanka,LKA,Southern Asia,Asia,"East, North, Central & South provinces",,,,Yes,,,,,Km2,,,,,1969,12.0,25.0,1969,12.0,25.0,62.0,,1000000.0,,1000000.0,,,,,8500.0,62787.0,13.5378001312049,,,,
1981-0106-LKA,1981,106,,Natural,Hydrological,Flood,,,,Sri Lanka,LKA,Southern Asia,Asia,North,,,,,,,,,Km2,,,,,1981,12.0,7.0,1981,12.0,7.0,7.0,,20000.0,,20000.0,,,,,,,33.5554165755522,,,,
1982-0130-LKA,1982,130,,Natural,Hydrological,Flood,,,,Sri Lanka,LKA,Southern Asia,Asia,Matale (Central regions),,,,,,,,,Km2,,,,,1982,12.0,12.0,1982,12.0,12.0,34.0,,30000.0,,30000.0,,,,,,,35.6128405860485,,,,
1984-0350-LKA,1984,350,,Natural,Hydrological,Flood,Riverine flood,,,Sri Lanka,LKA,Southern Asia,Asia,North and Eastern regions,,,,,,,,,Km2,,,,,1984,1.0,7.0,1984,1.0,7.0,3.0,,100000.0,250000.0,350000.0,,,,,,,38.3376251913405,,,,
1984-0043-LKA,1984,43,,Natural,Hydrological,Flood,,,,Sri Lanka,LKA,Southern Asia,Asia,Kalutara district + Southwestern districts,,,,,,,,20234.0,Km2,,,,,1984,5.0,24.0,1984,5.0,24.0,45.0,,85000.0,70000.0,155000.0,,,,,,,38.3376251913405,,,,
1989-0021-LKA,1989,21,,Natural,Hydrological,Flood,Riverine flood,,,Sri Lanka,LKA,Southern Asia,Asia,"Colombo, Gampaha, Kegalle, Ratnapura, Kalutara, Galle, Matara, Nuwera Eliya, Aranayake districts",Heavy rains,,,Yes,No,No,,2735.0,Km2,,,,,1989,5.0,30.0,1989,5.0,30.0,325.0,1000.0,300000.0,200000.0,501000.0,,,,,35000.0,76504.0,45.749276186311,,,,
1990-0001-LKA,1990,1,,Natural,Hydrological,Flood,Riverine flood,,,Sri Lanka,LKA,Southern Asia,Asia,"Ampara, Badulla, Kandy, Kurunegala, Matale, Monaragala, Nuwera, Eliya, Polonnaruwa, Trincomalee districts",Heavy rain,,,,No,No,,,Km2,,,,,1990,1.0,6.0,1990,1.0,14.0,33.0,,400000.0,,400000.0,,,,,,,48.2187972884321,,,,
1990-0603-LKA,1990,603,,Natural,Hydrological,Flood,Riverine flood,,,Sri Lanka,LKA,Southern Asia,Asia,Ampara,Heavy rain,,,,No,No,,,Km2,,,,,1990,12.0,24.0,1990,12.0,25.0,,,40000.0,,40000.0,,,,,,,48.2187972884321,,,,
1991-0321-LKA,1991,321,,Natural,Hydrological,Flood,Riverine flood,,,Sri Lanka,LKA,Southern Asia,Asia,"Galle, Kalatura, Colombo, Gampaha districts",Monsoonal rain,,,,No,No,,,Km2,,,,,1991,6.0,2.0,1991,6.0,6.0,27.0,,100000.0,197151.0,297151.0,,,,,30000.0,59689.0,50.2608528318391,,,,
