Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1957-0014-LKA,1957,14,,Natural,Meteorological,Storm,Tropical cyclone,,,Sri Lanka,LKA,Southern Asia,Asia,Spate,,,,,,,,,Kph,,,,,1957,12.0,25.0,1957,12.0,25.0,200.0,,250000.0,,250000.0,,,,,,,10.3670850645091,,,,
1964-0069-LKA,1964,69,,Natural,Meteorological,Storm,Tropical cyclone,,,Sri Lanka,LKA,Southern Asia,Asia,"Trincomalee, East coast",,,,Yes,,,,,Kph,,,,,1964,12.0,22.0,1964,12.0,22.0,206.0,,280000.0,100000.0,380000.0,,,,,37300.0,325863.0,11.4465427509293,,,,
1978-0133-LKA,1978,133,,Natural,Meteorological,Storm,Tropical cyclone,,,Sri Lanka,LKA,Southern Asia,Asia,East coast,,,,Yes,,,,,Kph,,,,,1978,11.0,24.0,1978,11.0,24.0,740.0,5000.0,1000000.0,,1005000.0,,,,,100000.0,415385.0,24.0740345506232,,,,
2000-0831-LKA,2000,831,,Natural,Meteorological,Storm,Tropical cyclone,,04B,Sri Lanka,LKA,Southern Asia,Asia,"Ampara, Batticaloa, Trincomalee districts (Eastern province), Anuradhapura, Polonnaruwa districts (North Central province), Mannar district (Northern province)",,Rain,Surge,Yes,,,282.0,150.0,Kph,,,,,2000,12.0,24.0,2000,12.0,28.0,5.0,,375000.0,,375000.0,,,,,,,63.5495473431008,2,,25832;25833;25834;25835;25836;25841,"Ampara, Anuradhapura, Batticaloa, Mannar, Polonnaruwa, Trincomalee (Adm2)."
2008-0184-LKA,2008,184,TC-2008-000057,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Nargis',Sri Lanka,LKA,Southern Asia,Asia,"Colombo, Kalutara, Gampaha districts (Western province), Ratnapura, Kegalle districts (Sabaragamuwa province), Puttalam district (North Western province), Nuwara Eliya district (Central province), Galle district (Southern province)",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2008,4.0,27.0,2008,5.0,3.0,9.0,,50000.0,,50000.0,,,,,,,79.4563043953641,2,,25838;25844;25845;25846;25851;25852;25853;41749,"Colombo, Galle, Gampaha, Kalutara, Kegalle, Nuwara Eliya, Puttalam, Ratnapura (Adm2)."
2011-0484-LKA,2011,484,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Sri Lanka,LKA,Southern Asia,Asia,"Sabaragamuwa, Southern, Uva provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2011,11.0,24.0,2011,11.0,27.0,22.0,41.0,35000.0,,35041.0,,,,,,,83.0126743931774,1,2741;2742;2743,,"Sabaragamuwa, Southern, Uva (Adm1)."
2012-0425-LKA,2012,425,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Nilam,Sri Lanka,LKA,Southern Asia,Asia,"Central, Eastern, North Central, North Western, Northern, Sabaragamuwa, Southern, Uva, Western provinces",,,,,,,,,Kph,,,,,2012,10.0,29.0,2012,10.0,31.0,,,,69000.0,69000.0,,,,,57000.0,67272.0,84.7304788978789,1,2736;2737;2738;2739;2740;2741;2742;2743;2744,,"Central, Eastern, North Central, North Western, Northern, Sabaragamuwa, Southern, Uva, Western (Adm1)."
2013-0138-LKA,2013,138,ST-2013-000060,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone Mahasen,Sri Lanka,LKA,Southern Asia,Asia,"Central, Eastern, North Central, North Western, Northern, Sabaragamuwa, Southern, Uva, Western provinces",,,,,,,,,Kph,,,,,2013,5.0,13.0,2013,5.0,16.0,7.0,,3478.0,3861.0,7339.0,,,,,,,85.9716422479773,1,2736;2737;2738;2739;2740;2741;2742;2743;2744,,"Central, Eastern, North Central, North Western, Northern, Sabaragamuwa, Southern, Uva, Western (Adm1)."
2017-0508-LKA,2017,508,TC-2017-000172,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Ockhi',Sri Lanka,LKA,Southern Asia,Asia,"Galle, Matara (Southern), Colombo, Badulla (Uva), Gampaha, Kalutara (Western), Nuwara Eliya (Central)",,Flood,"Slide (land, mud, snow, rock)",,,,,130.0,Kph,,,,"Nilwala, Gin, and Kalu Rivers",2017,11.0,29.0,2017,12.0,1.0,27.0,77.0,160000.0,,160077.0,,,,,346000.0,382489.0,90.4601793133611,2,,25846;25848;25849;25851;25852;25853;41749,"Badulla, Colombo, Galle, Gampaha, Kalutara, Matara, Nuwara Eliya (Adm2)."
2020-0211-LKA,2020,211,TC-2020-000137,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Amphan',Sri Lanka,LKA,Southern Asia,Asia,"Ratnapura district, Kegalle, Kottampitiya (Kegalle), Pelmadulla (Ratnapura), Polonnaruwa",,,,,,,,,Kph,,,,,2020,5.0,17.0,2020,5.0,20.0,4.0,,1100.0,,1100.0,,,,,,,95.5129674174503,2,,25836;25844;25845,"Kegalle, Polonnaruwa, Ratnapura (Adm2)."
