Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1983-0108-SDN,1983,108,,Natural,Hydrological,Flood,,,,Sudan (the),SDN,Northern Africa,Africa,Kassala,,,,Yes,,,,,Km2,,,,,1983,8.0,15.0,1983,8.0,15.0,,,100000.0,30000.0,130000.0,,,,,,,36.7568773234201,,,,
1988-0359-SDN,1988,359,,Natural,Hydrological,Flood,Riverine flood,,,Sudan (the),SDN,Northern Africa,Africa,"Gadharef, Kassala, Eddamer, Ash Showak, Khartoum, Karima, Merawi, Badan, Maad isl., El Geneina, Kordofan, Gezira, Katarant, Atbara, Aldueim",,,,Yes,No,No,,,Km2,,,,,1988,8.0,1.0,1988,9.0,2.0,96.0,,1500000.0,1000000.0,2500000.0,,,,,,,43.6426415919528,,,,
1993-0143-SDN,1993,143,,Natural,Hydrological,Flood,Riverine flood,,,Sudan (the),SDN,Northern Africa,Africa,Port Sudan,,,,,,,,,Km2,,,,,1993,4.0,16.0,1993,4.0,16.0,21.0,,,2000.0,2000.0,,,,,200.0,375.0,53.3116203804942,,,,
1994-0217-SDN,1994,217,,Natural,Hydrological,Flood,,,,Sudan (the),SDN,Northern Africa,Africa,"El Fasher, Nyala (Darfur state), Hamrat El Wiz (Kordofan state), River Atbara province (Kassala state), Northern state, Khartoum area",,,,,,,85.0,,Km2,,,,,1994,9.0,13.0,1994,9.0,13.0,8.0,,5965.0,,5965.0,,,,,,,54.7016925431883,,,,
1996-0187-SDN,1996,187,,Natural,Hydrological,Flood,Riverine flood,,,Sudan (the),SDN,Northern Africa,Africa,"White Nile state, Pochallia, Jonglei state, Getina province, Khartoum area",,,,,,,547.0,,Km2,,,,,1996,8.0,13.0,1996,8.0,13.0,52.0,18500.0,46000.0,47700.0,112200.0,,,,,,,57.8847058823529,,,,
1996-0468-SDN,1996,468,,Natural,Hydrological,Flood,Riverine flood,,,Sudan (the),SDN,Northern Africa,Africa,"Daroushab, Dilait, Hassania, Niaa",Heavy rains,,,,No,No,,,Km2,,,,Nile river,1996,9.0,11.0,1996,9.0,15.0,,,200.0,,200.0,,,,,,,57.8847058823529,,,,
1996-0466-SDN,1996,466,,Natural,Hydrological,Flood,Riverine flood,,,Sudan (the),SDN,Northern Africa,Africa,"Bor, Tonj, Bahr el-Ghazal",Heavy rains,,,,No,No,,,Km2,,,,Nile,1996,10.0,22.0,1996,10.0,26.0,100.0,,,8000.0,8000.0,,,,,,,57.8847058823529,,,,
1998-0251-SDN,1998,251,,Natural,Hydrological,Flood,Riverine flood,,,Sudan (the),SDN,Northern Africa,Africa,"North, River Nile, White Nile, Kassala, Gedaref, Sinnar, North Kordofan, Khartoum states",Heavy rain,,,Yes,No,No,2193.0,1700.0,Km2,,,,Nile Gash and Atbara rivers,1998,8.0,28.0,1998,9.0,10.0,103.0,,900000.0,100000.0,1000000.0,,,,,40000.0,66492.0,60.1574108900066,,,,
1999-0264-SDN,1999,264,,Natural,Hydrological,Flood,Riverine flood,,,Sudan (the),SDN,Northern Africa,Africa,"Northern, River Nile, Kassala, Al Gezira, White Nile, North Kordofan, South Darfur, Unity State, Khartoum",Brief torrential rain,,,,No,No,,,Km2,,,,Junction of the White Nile and Blue Nile,1999,8.0,1.0,1999,9.0,10.0,36.0,,100000.0,,100000.0,,,,,,,61.473667176908,,,,
1999-0316-SDN,1999,316,,Natural,Hydrological,Flood,Riverine flood,,,Sudan (the),SDN,Northern Africa,Africa,Sheikh Sherif (Dongola),,,,,,,,,Km2,,,,,1999,9.0,10.0,1999,9.0,10.0,,,42000.0,40000.0,82000.0,,,,,,,61.473667176908,,,,
