Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1983-0387-CHE,1983,387,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Switzerland,CHE,Western Europe,Europe,"Grisons, Valais regions",,,,,,,,,Kph,,,,,1983,1.0,15.0,1983,1.0,15.0,,,140.0,,140.0,,,,,,,36.7568773234201,,,,
1984-0065-CHE,1984,65,,Natural,Meteorological,Storm,,,,Switzerland,CHE,Western Europe,Europe,,,,,,,,,,Kph,,,,,1984,7.0,25.0,1984,7.0,25.0,,,,,,,,,,9600.0,25041.0,38.3376251913405,,,,
1985-0099-CHE,1985,99,,Natural,Meteorological,Storm,Convective storm,Hail,,Switzerland,CHE,Western Europe,Europe,Fribourg,,,,,,,,,Kph,,,,,1985,8.0,15.0,1985,8.0,15.0,,,,,,,,,,2000.0,5038.0,39.696934178876,,,,
1986-0149-CHE,1986,149,,Natural,Meteorological,Storm,,,,Switzerland,CHE,Western Europe,Europe,,,,,,,,,151.0,Kph,,,,,1986,10.0,20.0,1986,10.0,20.0,,,,,,,,,,,,40.4504089219331,,,,
1987-0346-CHE,1987,346,,Natural,Meteorological,Storm,,,,Switzerland,CHE,Western Europe,Europe,"Grisons, Tessin",,,,,,,,,Kph,,,,,1987,7.0,6.0,1987,7.0,6.0,1.0,,,,,,,,,138900.0,331245.0,41.9327356221299,,,,
1990-0721-CHE,1990,721,,Natural,Meteorological,Storm,,,Ottilie and Polly,Switzerland,CHE,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,13.0,1990,2.0,15.0,3.0,,,,,,,,,100000.0,207388.0,48.2187972884321,,,,
1990-0722-CHE,1990,722,,Natural,Meteorological,Storm,,,Vivian,Switzerland,CHE,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,25.0,1990,2.0,27.0,1.0,,,,,,,60000.0,124433.0,90000.0,186649.0,48.2187972884321,,,,
1990-0723-CHE,1990,723,,Natural,Meteorological,Storm,,,Wiebke,Switzerland,CHE,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,27.0,1990,3.0,1.0,1.0,,,,,,,60000.0,124433.0,90000.0,186649.0,48.2187972884321,,,,
1990-0389-CHE,1990,389,,Natural,Meteorological,Storm,,,,Switzerland,CHE,Western Europe,Europe,,,,,,,,,,Kph,,,,,1990,7.0,29.0,1990,7.0,29.0,,,,,,,,77800.0,161348.0,,,48.2187972884321,,,,
1993-0167-CHE,1993,167,,Natural,Meteorological,Storm,Convective storm,Hail,,Switzerland,CHE,Western Europe,Europe,Bern area,,,,,,,,,Kph,,,,,1993,5.0,19.0,1993,5.0,19.0,,,,,,,,,,1760.0,3301.0,53.3116203804942,,,,
