Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1904-0007-TWN,1904,7,,Natural,Geophysical,Earthquake,Ground movement,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,Jiayi,,,,,,,,6.0,Richter,23.5,120.5,14:39,,1904,4.0,24.0,1904,4.0,24.0,3.0,10.0,,198.0,208.0,,,,,,,3.3232581812022,,,,
1904-0009-TWN,1904,9,,Natural,Geophysical,Earthquake,Ground movement,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,Jiayi,,,,,,,,6.0,Richter,23.5,120.3,04:25,,1904,11.0,6.0,1904,11.0,6.0,145.0,158.0,,1983.0,2141.0,,,,,,,3.3232581812022,,,,
1906-0001-TWN,1906,1,,Natural,Geophysical,Earthquake,Ground movement,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,"Kagi, Toroku",,,,,,,,7.0,Richter,23.6,170.5,06:42,,1906,3.0,17.0,1906,3.0,17.0,1258.0,145.0,,20307.0,20452.0,,,,,,,3.3232581812022,,,,
1906-0028-TWN,1906,28,,Natural,Geophysical,Earthquake,Ground movement,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,Jiayi,,,,,,,,7.0,Richter,23.4,120.4,19:18,,1906,4.0,13.0,1906,4.0,13.0,15.0,84.0,,5382.0,5466.0,,,,,,,3.3232581812022,,,,
1909-0018-TWN,1909,18,,Natural,Geophysical,Earthquake,Ground movement,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,Tapei,,,,,,,,7.0,Richter,25.0,121.5,03:53,,1909,4.0,15.0,1909,4.0,15.0,9.0,51.0,,366.0,417.0,,,,,,,3.3232581812022,,,,
1910-0023-TWN,1910,23,,Natural,Geophysical,Earthquake,Ground movement,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,,,,,,,,,8.0,Richter,25.5,122.5,08:22,,1910,4.0,12.0,1910,4.0,12.0,60.0,,,,,,,,,,,3.4463418175431,,,,
1916-0015-TWN,1916,15,,Natural,Geophysical,Earthquake,Ground movement,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,,,,,,,,,7.0,Richter,23.7,120.9,15:27,,1916,8.0,28.0,1916,8.0,28.0,180.0,,,1842.0,1842.0,,,,,,,4.0248349083449,,,,
1916-0016-TWN,1916,16,,Natural,Geophysical,Earthquake,Ground movement,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,,,,,,,,,6.0,Richter,24.0,121.0,06:31,,1916,11.0,15.0,1916,11.0,15.0,1.0,20.0,,291.0,311.0,,,,,,,4.0248349083449,,,,
1917-0021-TWN,1917,21,,Natural,Geophysical,Earthquake,Ground movement,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,Puli,,,,,,,,6.0,Richter,23.9,120.9,,,1917,1.0,5.0,1917,1.0,5.0,54.0,85.0,,390.0,475.0,,,,,,,4.7387199991217,,,,
1922-0014-TWN,1922,14,,Natural,Geophysical,Earthquake,Ground movement,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,,,Tsunami/Tidal wave,,,,,,8.0,Richter,24.5,122.0,,,1922,9.0,2.0,1922,9.0,2.0,5.0,,,417.0,417.0,,,,,,,6.1911069079434,,,,
