Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1965-0037-TWN,1965,37,,Natural,Meteorological,Storm,Tropical cyclone,,Dinah,Taiwan (Province of China),TWN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1965,6.0,10.0,1965,6.0,10.0,31.0,89.0,,,89.0,,,,,,,11.6279903783075,,,,
1965-0049-TWN,1965,49,,Natural,Meteorological,Storm,Tropical cyclone,,Mary,Taiwan (Province of China),TWN,Eastern Asia,Asia,Entire Island,,,,,,,,,Kph,,,,,1965,8.0,19.0,1965,8.0,19.0,24.0,77.0,,,77.0,,,,,,,11.6279903783075,,,,
1966-0045-TWN,1966,45,,Natural,Meteorological,Storm,Tropical cyclone,,Judy,Taiwan (Province of China),TWN,Eastern Asia,Asia,South-Central Taiwan,,,,,,,,,Kph,,,,,1966,5.0,30.0,1966,5.0,30.0,36.0,21.0,5000.0,,5021.0,,,,,17322.0,144608.0,11.9785873605948,,,,
1967-0066-TWN,1967,66,,Natural,Meteorological,Storm,Tropical cyclone,,Carla,Taiwan (Province of China),TWN,Eastern Asia,Asia,Formosa,,,,,,,,,Kph,,,,,1967,10.0,17.0,1967,10.0,17.0,69.0,67.0,100.0,,167.0,,,,,,,12.3107281871857,,,,
1969-0095-TWN,1969,95,,Natural,Meteorological,Storm,Tropical cyclone,,Elsie & Flossie,Taiwan (Province of China),TWN,Eastern Asia,Asia,Countrywide,,,,Yes,,,,,Kph,,,,,1969,9.0,25.0,1969,9.0,25.0,194.0,408.0,40000.0,,40408.0,,,,,88000.0,650032.0,13.5378001312049,,,,
1977-0090-TWN,1977,90,,Natural,Meteorological,Storm,Tropical cyclone,,Thelma & Vera,Taiwan (Province of China),TWN,Eastern Asia,Asia,"Kaohsiung, North Tapei",,,,Yes,,,,,Kph,,,,,1977,7.0,25.0,1977,7.0,25.0,61.0,528.0,11000.0,,11528.0,,,,,250000.0,1117708.0,22.367198775421,,,,
1981-0277-TWN,1981,277,,Natural,Meteorological,Storm,,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,North,,,,,,,,,Kph,,,,,1981,7.0,19.0,1981,7.0,19.0,26.0,,,,,,,,,,,33.5554165755522,,,,
1983-0120-TWN,1983,120,,Natural,Meteorological,Storm,Tropical cyclone,,Ellen,Taiwan (Province of China),TWN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1983,9.0,9.0,1983,9.0,9.0,82.0,,,,,,,,,,,36.7568773234201,,,,
1986-0101-TWN,1986,101,,Natural,Meteorological,Storm,Tropical cyclone,,Wayne,Taiwan (Province of China),TWN,Eastern Asia,Asia,"Central, Southern",,,,,No,No,,,Kph,,,,,1986,8.0,22.0,1986,8.0,22.0,52.0,,,,,,,,,405000.0,1001226.0,40.4504089219331,,,,
1986-0115-TWN,1986,115,,Natural,Meteorological,Storm,Tropical cyclone,,Abby,Taiwan (Province of China),TWN,Eastern Asia,Asia,Central,,,,,No,No,,,Kph,,,,,1986,9.0,19.0,1986,9.0,19.0,13.0,,,,,,,,,80000.0,197773.0,40.4504089219331,,,,
1987-0198-TWN,1987,198,,Natural,Meteorological,Storm,Tropical cyclone,,Lynn,Taiwan (Province of China),TWN,Eastern Asia,Asia,Countrywide,,,,,,,,,Kph,,,,,1987,10.0,24.0,1987,10.0,24.0,61.0,,2200.0,,2200.0,,,,,,,41.9327356221299,,,,
1989-0370-TWN,1989,370,,Natural,Meteorological,Storm,Tropical cyclone,,Sarah,Taiwan (Province of China),TWN,Eastern Asia,Asia,,,Flood,,,No,No,,,Kph,,,,,1989,9.0,11.0,1989,9.0,11.0,13.0,,,,,,,,,,,45.749276186311,,,,
1990-0581-TWN,1990,581,,Natural,Meteorological,Storm,Tropical cyclone,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1990,6.0,23.0,1990,6.0,23.0,5.0,,20000.0,,20000.0,,,,,,,48.2187972884321,,,,
1990-0688-TWN,1990,688,,Natural,Meteorological,Storm,Tropical cyclone,,Dot,Taiwan (Province of China),TWN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1990,9.0,8.0,1990,9.0,8.0,,,,,,,,,,,,48.2187972884321,,,,
1991-0221-TWN,1991,221,,Natural,Meteorological,Storm,Tropical cyclone,,Fred,Taiwan (Province of China),TWN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1991,8.0,15.0,1991,8.0,15.0,33.0,4.0,,,4.0,,,,,,,50.2608528318391,,,,
1992-0357-TWN,1992,357,,Natural,Meteorological,Storm,Tropical cyclone,,Polly,Taiwan (Province of China),TWN,Eastern Asia,Asia,,,,,,No,No,,,Kph,,,,,1992,8.0,29.0,1992,8.0,30.0,8.0,,,,,,,,,35000.0,67590.0,51.7831620380495,,,,
1994-0640-TWN,1994,640,,Natural,Meteorological,Storm,Tropical cyclone,,Tim,Taiwan (Province of China),TWN,Eastern Asia,Asia,,,,,,No,No,,174.0,Kph,,,,,1994,7.0,10.0,1994,7.0,11.0,10.0,40.0,,,40.0,,,10000.0,18281.0,100000.0,182810.0,54.7016925431883,,,,
1994-0776-TWN,1994,776,,Natural,Meteorological,Storm,Tropical cyclone,,Caitlin,Taiwan (Province of China),TWN,Eastern Asia,Asia,Hualien,,,,,No,No,,,Kph,,,,,1994,8.0,1.0,1994,8.0,4.0,10.0,,,,,,,,,100000.0,182810.0,54.7016925431883,,,,
1994-0185-TWN,1994,185,,Natural,Meteorological,Storm,Tropical cyclone,,Doug,Taiwan (Province of China),TWN,Eastern Asia,Asia,"Kaohsiung, Taichung Hsien",,"Slide (land, mud, snow, rock)",Flood,,No,No,,160.0,Kph,,,,,1994,8.0,7.0,1994,8.0,16.0,16.0,41.0,457.0,,498.0,,,,,232000.0,424119.0,54.7016925431883,,,,
