Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1911-0021-TJK,1911,21,,Natural,Geophysical,Earthquake,Ground movement,,,Tajikistan,TJK,Central Asia,Asia,"Usoy, Barchidiv, Posor, Nisur",,,,,,,,7.0,Richter,38.2,72.8,23:41,,1911,2.0,18.0,1911,2.0,18.0,90.0,,,,,,,,,,,3.4463418175431,,,,
1930-0032-TJK,1930,32,,Natural,Geophysical,Earthquake,Ground movement,,,Tajikistan,TJK,Central Asia,Asia,Dushanbe,,,,,,,,6.0,Richter,38.4,68.5,,,1930,9.0,22.0,1930,9.0,22.0,175.0,,,,,,,,,,,6.1787985443093,,,,
2000-0743-TJK,2000,743,,Natural,Geophysical,Earthquake,Ground movement,,,Tajikistan,TJK,Central Asia,Asia,"Khasanov village (Parharskiy district, Khatlon province)",,,,Yes,,,,5.0,Richter,37.451,69.498,19:00,,2000,10.0,30.0,2000,10.0,30.0,,,6000.0,,6000.0,,,,,,,63.5495473431008,2,,37595,Parharskiy (Adm2).
2002-0015-TJK,2002,15,,Natural,Geophysical,Earthquake,Ground movement,,,Tajikistan,TJK,Central Asia,Asia,"Taghi Akbar, Talkhan Chashma, Passimokhroukho areas (Rogunsky district, Tadzhikistan Territories province)",,,,,,,30.0,5.0,Richter,38.673,69.902,11:45,,2002,1.0,9.0,2002,1.0,9.0,3.0,50.0,1000.0,,1050.0,,,,,,,66.3819636999782,2,,37625,Rogunsky (Adm2).
2002-0122-TJK,2002,122,,Natural,Geophysical,Earthquake,Ground movement,,,Tajikistan,TJK,Central Asia,Asia,Badakhshoni Kuni province,,,,,,,,6.0,Richter,36.429,70.438,,,2002,3.0,3.0,2002,3.0,3.0,,,,500.0,500.0,,,,,,,66.3819636999782,1,2847,,Badakhshoni Kuni (Adm1).
2004-0147-TJK,2004,147,,Natural,Geophysical,Earthquake,Ground movement,,,Tajikistan,TJK,Central Asia,Asia,"Karabuin village (Penjikenskiy district,Sogd province)",,"Slide (land, mud, snow, rock)",,,,,,4.0,Richter,39.57,67.479,,,2004,4.0,1.0,2004,4.0,1.0,,,180.0,,180.0,,,,,,,69.7064421605073,2,,37612,Penjikenskiy (Adm2).
2006-0405-TJK,2006,405,,Natural,Geophysical,Earthquake,Ground movement,,,Tajikistan,TJK,Central Asia,Asia,"Kumsangir village (Kolhosobadskiy districts, Khatlon province), Panj Jamoat village (Piynjskiy districts, Khatlon province)",,,,Yes,Yes,,257.0,6.0,Richter,37.255,68.828,15:57,,2006,7.0,29.0,2006,7.0,29.0,3.0,19.0,15408.0,,15427.0,,,,,22000.0,29571.0,74.3963874917997,2,,37589;37596,"Kolhosobadskiy, Piynjskiy (Adm2)."
2007-0287-TJK,2007,287,EQ-2007-000108,Natural,Geophysical,Earthquake,Ground movement,,,Tajikistan,TJK,Central Asia,Asia,"Oshoba, Oilmo areas (Ashtskiy district, Sogd province)",,Flood,"Slide (land, mud, snow, rock)",,,,,5.0,Richter,38.936,70.485,,,2007,7.0,21.0,2007,7.0,21.0,11.0,3.0,7000.0,,7003.0,,,,,,,76.5186792040236,2,,37604,Ashtskiy (Adm2).
2010-0002-TJK,2010,2,EQ-2010-000001,Natural,Geophysical,Earthquake,Ground movement,,,Tajikistan,TJK,Central Asia,Asia,"Uskrogh, Rogh, Payshanbeobod, Gishkhun, Dashtirogh, Rokharv, Punichuguni Jamak villages (Vanchskiy district, Badakhshoni province)",,,,,,,,5.0,Richter,38.245,71.467,07:15,,2010,1.0,2.0,2010,1.0,2.0,,,6706.0,1134.0,7840.0,,,,,1500.0,1864.0,80.472285151979,2,,37581,Vanchskiy (Adm2).
2011-0243-TJK,2011,243,,Natural,Geophysical,Earthquake,Ground movement,,,Tajikistan,TJK,Central Asia,Asia,"Khujand, Chkalovsk areas (Hojenskiy district, Sogd province), Garmskiy district (Tadzhikistan Territories province)",,,,,,,,6.0,Richter,40.081,71.41,,,2011,7.0,19.0,2011,7.0,19.0,,,,,,,,,,,,83.0126743931774,2,,37606;37619,"Garmskiy, Hojenskiy (Adm2)."
