Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1990-0711-TJK,1990,711,,Natural,Hydrological,Flood,Riverine flood,,,Tajikistan,TJK,Central Asia,Asia,Murgabsky,Heavy rains,,,,No,No,,,Km2,,,,Pyandzha river,1990,5.0,18.0,1990,5.0,19.0,,,280.0,,280.0,,,,,,,48.2187972884321,,,,
1992-0233-TJK,1992,233,,Natural,Hydrological,Flood,,,,Tajikistan,TJK,Central Asia,Asia,,,,,Yes,,,,,Km2,,,,,1992,5.0,25.0,1992,5.0,25.0,1346.0,,63500.0,,63500.0,,,,,300000.0,579339.0,51.7831620380495,,,,
1994-0633-TJK,1994,633,,Natural,Hydrological,Flood,Riverine flood,,,Tajikistan,TJK,Central Asia,Asia,"Varsob Rayon, Borno Badakhshan",,,,Yes,,,,,Km2,,,,,1994,7.0,5.0,1994,7.0,5.0,,,5000.0,1051.0,6051.0,,,,,,,54.7016925431883,,,,
1996-0111-TJK,1996,111,,Natural,Hydrological,Flood,Flash flood,,,Tajikistan,TJK,Central Asia,Asia,Dushanbe & Khalton Regions,,,,Yes,,,,,Km2,,,,,1996,5.0,27.0,1996,5.0,27.0,,,180000.0,,180000.0,,,,,,,57.8847058823529,,,,
1998-0111-TJK,1998,111,,Natural,Hydrological,Flood,Riverine flood,,,Tajikistan,TJK,Central Asia,Asia,"Ragun, Ainy, Old Mastchoh, Shahrinav, Muminabad, Penjikent, Kuliyab Central, Vose, Dushanbe, Tursen-zade, Varzob, Farhor, Baljuvon, Tursunzade, Leninski, Gissar, Kanibadam, Sharristan, Kurgantube, Kafarnikhon, Khovaling",Rain and snowmelt,"Slide (land, mud, snow, rock)",,Yes,No,No,413.0,500.0,Km2,,,,,1998,4.0,24.0,1998,4.0,27.0,51.0,39.0,40935.0,,40974.0,,,,,66000.0,109712.0,60.1574108900066,,,,
1998-0198-TJK,1998,198,,Natural,Hydrological,Flood,,,,Tajikistan,TJK,Central Asia,Asia,Tavildara (Jirgatol district),,,,,,,,,Km2,,,,,1998,6.0,30.0,1998,6.0,30.0,,,,916.0,916.0,,,,,,,60.1574108900066,,,,
1999-0229-TJK,1999,229,,Natural,Hydrological,Flood,Flash flood,,,Tajikistan,TJK,Central Asia,Asia,"Ashd and Aini Districts (Leninabad Region), Gharm District, Jirgatal (Karategin Valley) and Darvaz District (Gorno-Badakhstan)",Brief torrential rain,,,Yes,No,No,114.0,45.0,Km2,,,,,1999,7.0,7.0,1999,7.0,12.0,27.0,23.0,6366.0,3003.0,9392.0,,,,,6154.0,10011.0,61.473667176908,,,,
2001-0530-TJK,2001,530,,Natural,Hydrological,Flood,,,,Tajikistan,TJK,Central Asia,Asia,"Shahriston, Ganchinskiy, Nauskiy districts (Sogd province)",,,,,,,,,Km2,,,,,2001,8.0,28.0,2001,8.0,28.0,,,2190.0,,2190.0,,,,,,,65.345558714192,2,,37605;37611;37614,"Ganchinskiy, Nauskiy, Shahriston (Adm2)."
2002-0193-TJK,2002,193,,Natural,Hydrological,Flood,Riverine flood,,,Tajikistan,TJK,Central Asia,Asia,"Pitomnic, Chorbog, Zamburodod, Kuchabo areas (Kulyab district, Khatlon province)",,,,,,,,,Km2,,,,,2002,3.0,23.0,2002,3.0,23.0,,,390.0,240.0,630.0,,,,,,,66.3819636999782,2,,37590,Kulyab (Adm2).
2002-0315-TJK,2002,315,,Natural,Hydrological,Flood,,,,Tajikistan,TJK,Central Asia,Asia,"Lesapitomnik, Navobod, Angurboh, Kashar, Mechnatobod, Kurbonshaid areas (Voseysky district, Khatlon province)",,,,,,,,,Km2,,,,,2002,5.0,14.0,2002,5.0,14.0,,,408.0,,408.0,,,,,,,66.3819636999782,2,,37601,Voseysky (Adm2).
2002-0375-TJK,2002,375,,Natural,Hydrological,Flood,Riverine flood,,,Tajikistan,TJK,Central Asia,Asia,"Dushanbe city (Leninskiy district, Tadzhikistan Territories province)",HEavy rain,"Slide (land, mud, snow, rock)",,,,,,1160.0,Km2,,,,,2002,6.0,16.0,2002,6.0,18.0,8.0,,,1500.0,1500.0,,,,,,,66.3819636999782,2,,37623,Leninskiy (Adm2).
2002-0475-TJK,2002,475,,Natural,Hydrological,Flood,Flash flood,,,Tajikistan,TJK,Central Asia,Asia,"Dasht, Langar areas (Roshtkala district, Badakhshoni Kuni province)",Mountain glacier disloged,"Slide (land, mud, snow, rock)",,Yes,,,3698.0,400.0,Km2,,,,Shokh-Darye,2002,8.0,7.0,2002,8.0,8.0,24.0,13.0,450.0,1250.0,1713.0,,,,,2836.0,4272.0,66.3819636999782,2,,37578,Roshtkala (Adm2).
2003-0273-TJK,2003,273,,Natural,Hydrological,Flood,Riverine flood,,,Tajikistan,TJK,Central Asia,Asia,Sogd province,Torrential rains,"Slide (land, mud, snow, rock)",,,Yes,,,1700.0,Km2,,,,Zeravshan,2003,6.0,6.0,2003,6.0,10.0,6.0,,975.0,780.0,1755.0,,,,,20000.0,29460.0,67.8888956921058,1,2849,,Sogd (Adm1).
2004-0342-TJK,2004,342,,Natural,Hydrological,Flood,Riverine flood,,,Tajikistan,TJK,Central Asia,Asia,Varzob district (Tadzhikistan Territories province),Heavy rain,"Slide (land, mud, snow, rock)",Pollution,Yes,Yes,,842.0,,Km2,,,,Varzob,2004,7.0,13.0,2004,7.0,14.0,,,400000.0,,400000.0,,,,,12000.0,17215.0,69.7064421605073,2,,37630,Varzob (Adm2).
2005-0304-TJK,2005,304,,Natural,Hydrological,Flood,Riverine flood,,,Tajikistan,TJK,Central Asia,Asia,"Shing, Dahani Ob, Bodgoh, Vagashton, Gijdavra, Panjrood villages (Penjikenskiy district, Sogd province)",Heavy rains,"Slide (land, mud, snow, rock)",,Yes,,,,5930.0,Km2,,,,,2005,6.0,8.0,2005,6.0,10.0,8.0,,2877.0,345.0,3222.0,,,,,,,72.0714104526569,2,,37612,Penjikenskiy (Adm2).
2005-0370-TJK,2005,370,,Natural,Hydrological,Flood,Flash flood,,,Tajikistan,TJK,Central Asia,Asia,"Mir Sayyid Ali Hamadani area (Kulyab district, Khatlon province), Panjrud, Shing areas (Penjikenskiy district, Sogd province), Rushanskiy district (Badakhshoni Kuni province)",Seasonal warming of temperatures and rapid melting of snow,"Slide (land, mud, snow, rock)",,,Yes,,50.0,,Km2,,,,Piandj,2005,7.0,23.0,2005,7.0,23.0,,,1890.0,,1890.0,,,,,50000.0,69376.0,72.0714104526569,2,,37579;37590;37612,"Kulyab, Penjikenskiy, Rushanskiy (Adm2)."
2007-0196-TJK,2007,196,FF-2007-000049,Natural,Hydrological,Flood,Riverine flood,,,Tajikistan,TJK,Central Asia,Asia,"Leninskiy, Tursunzade, Varzob, Kofarnohon districts (Tadzhikistan Territories province)",Heavy rain and snowmelt,"Slide (land, mud, snow, rock)",,,,,,58420.0,Km2,39.35,69.46,,,2007,4.0,16.0,2007,4.0,20.0,1.0,,17184.0,,17184.0,,,,,,,76.5186792040236,2,,37622;37623;37629;37630,"Kofarnohon, Leninskiy, Tursunzade, Varzob (Adm2)."
2007-0661-TJK,2007,661,FL-2007-000108,Natural,Hydrological,Flood,,,,Tajikistan,TJK,Central Asia,Asia,Ashtskiy district (Sogd province),,,,,,,,,Km2,,,,,2007,7.0,22.0,2007,7.0,22.0,21.0,,,125.0,125.0,,,,,,,76.5186792040236,2,,37604,Ashtskiy (Adm2).
