Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1982-0078-TZA,1982,78,,Natural,Hydrological,Flood,,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,Mbeya region,,,,,,,,,Km2,,,,,1982,6.0,4.0,1982,6.0,4.0,,,40000.0,,40000.0,,,,,,,35.6128405860485,,,,
1989-0053-TZA,1989,53,,Natural,Hydrological,Flood,,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Mahurunga, Kilambo, Kihimika, Tangazo, Kitunguli, Meya, Mogoro, Twara",,,,,,,,,Km2,,,,,1989,4.0,7.0,1989,4.0,7.0,10.0,,141056.0,,141056.0,,,,,,,45.749276186311,,,,
1990-0016-TZA,1990,16,,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Lindi, Mtwara, Masasi",Heavy rains,,,Yes,No,No,,,Km2,,,,Masangati,1990,4.0,3.0,1990,4.0,10.0,183.0,,142000.0,20000.0,162000.0,,,,,280.0,581.0,48.2187972884321,,,,
1990-0018-TZA,1990,18,,Natural,Hydrological,Flood,,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Moshi, Rombo districts (Kilimanjaro, Rukwa regions)",,,,,,,,,Km2,,,,,1990,5.0,2.0,1990,5.0,2.0,6.0,,,868.0,868.0,,,,,,,48.2187972884321,,,,
1993-0005-TZA,1993,5,,Natural,Hydrological,Flood,,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Lushoto, Korogwe districts (Tanga region)",,,,,,,219.0,,Km2,,,,,1993,2.0,12.0,1993,2.0,12.0,54.0,30.0,201513.0,,201543.0,,,,,3510.0,6584.0,53.3116203804942,,,,
1993-0157-TZA,1993,157,,Natural,Hydrological,Flood,,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,Korogwe District,,,,,,,,,Km2,,,,,1993,5.0,6.0,1993,5.0,6.0,,,,280.0,280.0,,,,,,,53.3116203804942,,,,
1994-0013-TZA,1994,13,,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Kilwa district (lindi region, SE)",Heavy rain,,,,No,No,,5.0,Km2,,,,Hanga,1994,1.0,9.0,1994,1.0,13.0,31.0,,,7000.0,7000.0,,,,,,,54.7016925431883,,,,
1995-0038-TZA,1995,38,,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,Mbeya,,,,,,,,,Km2,,,,,1995,3.0,8.0,1995,3.0,8.0,,,1850.0,,1850.0,,,,,,,56.2363000218675,,,,
1995-0109-TZA,1995,109,,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,Dar Es Salaam,,,,,,,,,Km2,,,,,1995,5.0,26.0,1995,5.0,26.0,3.0,,,20000.0,20000.0,,,,,,,56.2363000218675,,,,
1997-0049-TZA,1997,49,,Natural,Hydrological,Flood,,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,Kilewa district (Coastal area of Southern Tanzania),,,,,,,159.0,,Km2,,,,,1997,4.0,4.0,1997,4.0,4.0,46.0,,5000.0,2104.0,7104.0,,,,,,,59.2378657336541,,,,
1997-0306-TZA,1997,306,,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,Tabora region,Heavy rain,,,,No,No,,,Km2,,,,,1997,12.0,20.0,1997,12.0,31.0,37.0,,3028.0,,3028.0,,,,,,,59.2378657336541,,,,
1998-0096-TZA,1998,96,,Natural,Hydrological,Flood,Flash flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,Mbuguni,,,,,,,,,Km2,,,,,1998,4.0,8.0,1998,4.0,8.0,56.0,,,,,,,,,,,60.1574108900066,,,,
1998-0112-TZA,1998,112,,Natural,Hydrological,Flood,Flash flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Kinondoni, Dala, Temeke districts (Dar Es Salam)",Brief torrential rain,,,,No,No,732.0,12.0,Km2,,,,"Kinondoni, Dala, Temeke, Nakasangwe",1998,4.0,27.0,1998,5.0,4.0,5.0,,4600.0,,4600.0,,,,,,,60.1574108900066,,,,
2000-0790-TZA,2000,790,,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,Mwanza province,Heavy rains,,,,,,,18960.0,Km2,,,,Mirongo,2000,12.0,1.0,2000,12.0,31.0,36.0,17.0,,1800.0,1817.0,,,,,,,63.5495473431008,1,115006,,Mwanza (Adm1).
2001-0109-TZA,2001,109,,Natural,Hydrological,Flood,Flash flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Jangwani area (Ilala district, Dar-es-salaam province), Mtoni area (Temeke district, Dar-es-salaam province), Kigogo, Kinondoni, Manzese, Ubungo area (Kinondoni district, Dar-es-salaam province) Dar es Salaam city, area.",Brief torrential rain,,,,,,,108.0,Km2,,,,,2001,2.0,27.0,2001,2.0,27.0,5.0,,,200.0,200.0,,,,,,,65.345558714192,2,,48388;48389;48390,"Ilala, Kinondoni, Temeke (Adm2)."
2002-0274-TZA,2002,274,,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Kyela district (Mbeya province), Geita district (Geita province)",Heavy rain,,,,,,,50.0,Km2,,,,,2002,4.0,26.0,2002,5.0,28.0,9.0,,1200.0,,1200.0,,,,,,,66.3819636999782,2,,48437;115030,"Geita, Kyela (Adm2)."
2003-0620-TZA,2003,620,,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,Same district (Kilimanjaro province),Heavy rains,,,,,,,,Km2,,,,,2003,12.0,20.0,2003,12.0,21.0,,,2000.0,,2000.0,,,,,,,67.8888956921058,2,,48418,Same (Adm2).
2005-0212-TZA,2005,212,,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Mombasa, Mwanakwerekwe areas (Magharibi district, Mjini Magharibi province), Jang'ombe, Sebleni, Miembeni areas (Mjini district, Mjini Magharibi province),",Heavy rains,,,,,,,510.0,Km2,,,,,2005,4.0,16.0,2005,4.0,18.0,1.0,,10548.0,,10548.0,,,,,,,72.0714104526569,2,,48511;48512,"Magharibi, Mjini (Adm2)."
2006-0255-TZA,2006,255,,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,Moshi district (Kilimandjaro province),Heavy rain,,,,,,,12430.0,Km2,-3.33,37.22,,,2006,5.0,9.0,2006,5.0,17.0,,,,19000.0,19000.0,,,,,,,74.3963874917997,2,,48414,Moshi (Adm2).
2006-0624-TZA,2006,624,,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Shinyanga, Dodoma, Iringa, Mwanza, Tabora, Mbeya provinces",Heavy rain,,,,,,,,Km2,,,,,2006,10.0,23.0,2006,12.0,19.0,,28.0,,2500.0,2528.0,,,,,,,74.3963874917997,1,48359;48367;48380;115003;115006;115009,,"Dodoma, Iringa, Mbeya, Mwanza, Shinyanga, Tabora (Adm1)."
2008-0066-TZA,2008,66,FL-2008-000011,Natural,Hydrological,Flood,,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Rukwa, Kigoma, Ruvuma, Pwani, Manyara provinces",Heavy rains,,,,,,,,Km2,,,,,2008,1.0,10.0,2008,3.0,31.0,72.0,15.0,7500.0,442.0,7957.0,,,,,,,79.4563043953641,1,48362;48365;48373;48375;115008,,"Kigoma, Manyara, Pwani, Rukwa, Ruvuma (Adm1)."
2008-0127-TZA,2008,127,,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Mererani area (Simanjiro district, Manyara province)",Heavy rains,,,,,,,,Km2,-3.38,38.17,,,2008,3.0,17.0,2008,4.0,4.0,1.0,,,1500.0,1500.0,,,,,,,79.4563043953641,2,,48429,Simanjiro (Adm2).
2009-0484-TZA,2009,484,,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Kilimanjaro, Morogoro, Dodoma provinces",Hevay rains,"Slide (land, mud, snow, rock)",,,,,,194800.0,Km2,-6.77,35.89,,,2009,11.0,10.0,2009,11.0,13.0,20.0,,,,,,,,,,,79.1738027553029,1,48359;48363;48368,,"Dodoma, Kilimanjaro, Morogoro (Adm1)."
2009-0591-TZA,2009,591,FL-2009-000264,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Kongwa, Pandambili areas (Kongwa district, Dodoma province), Mpwapwa area (Mpwapwa district, Dodoma province), Kilosa kwa Mpepo area (Ulanga district, Morogoro province), Mtunani area (Kisarawe district, Pwani province), Liwanga area (Tunduru district, Ruvuma province), Kilwa district (Lindi province), Shinyanga, Mwanza, Mara, Arusha provinces",Heavy rains,,,Yes,,,166.0,167300.0,Km2,-6.8,36.02,,Mkondoa river,2009,12.0,25.0,2010,1.0,10.0,18.0,,50000.0,,50000.0,,,,,,,79.1738027553029,1;2,48357;48366;115006;115009,48394;48395;48419;48448;48481;115056,"Arusha, Mara, Mwanza, Shinyanga (Adm1). Kilwa, Kisarawe, Kongwa, Mpwapwa, Tunduru, Ulanga (Adm2)."
2011-0617-TZA,2011,617,,Natural,Hydrological,Flood,Riverine flood,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Tanga, Morogoro provinces",,,,,,,,137262.0,Km2,-6.647,37.56,,,2011,4.0,9.0,2011,5.0,19.0,8.0,,9000.0,,9000.0,,,,,,,83.0126743931774,1,48368;48381,,"Morogoro, Tanga (Adm1)."
