Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1975-0012-THA,1975,12,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,South,,,,Yes,,,,,Km2,,,,,1975,1.0,3.0,1975,1.0,3.0,239.0,93.0,3000000.0,,3000093.0,,,,,45000.0,226577.0,19.8607741089,,,,
1980-0280-THA,1980,280,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Central, North East",,,,,,,,,Km2,,,,,1980,10.0,3.0,1980,10.0,3.0,57.0,,630000.0,,630000.0,,,,,59700.0,196302.0,30.4123857424011,,,,
1984-0353-THA,1984,353,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,Bangkok area,,,,,No,No,,225.0,Km2,,,,,1984,1.0,19.0,1984,1.0,19.0,,,751600.0,,751600.0,,,,,400000.0,1043361.0,38.3376251913405,,,,
1985-0016-THA,1985,16,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Suan Phung, Damnoen Saduak districts (Ratchaburi province)",,,,,,,,13910.0,Km2,,,,,1985,10.0,12.0,1985,10.0,12.0,18.0,,7640.0,,7640.0,,,,,3600.0,9069.0,39.696934178876,,,,
1986-0059-THA,1986,59,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Bangkok, central, Eastern, Southern",,,,,,,,,Km2,,,,,1986,5.0,8.0,1986,5.0,8.0,42.0,21.0,27780.0,,27801.0,,,,,2000.0,4944.0,40.4504089219331,,,,
1987-0219-THA,1987,219,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,South,,,,,,,,1370.0,Km2,,,,,1987,11.0,30.0,1987,11.0,30.0,24.0,,,,,,,,,7200.0,17170.0,41.9327356221299,,,,
1988-0512-THA,1988,512,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Chumphon, Surat Thani, Nakhon Si Thammarat, Phatthalung, Krabi, Songkhla, Yala, Pattani, Ranong, Narathiwat, Satun, Phuket, Trang, Prachuap Khiri Khan provinces",,,,Yes,No,No,,,Km2,,,,,1988,11.0,19.0,1988,11.0,27.0,664.0,1878.0,1112941.0,,1114819.0,,,,,169146.0,387570.0,43.6426415919528,,,,
1991-0709-THA,1991,709,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,Southern coast,,,,,,,,70.0,Km2,,,,,1991,10.0,26.0,1991,10.0,26.0,1.0,,14474.0,100.0,14574.0,,,,,1478.0,2941.0,50.2608528318391,,,,
1993-0483-THA,1993,483,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,South,,,,,,,,,Km2,,,,,1993,10.0,31.0,1993,10.0,31.0,4.0,2.0,302247.0,613.0,302862.0,,,,,319850.0,599963.0,53.3116203804942,,,,
1993-0222-THA,1993,222,,Natural,Hydrological,Flood,Flash flood,,,Thailand,THA,South-Eastern Asia,Asia,"Surat Thani, Nakhorn Si Thammara, Songkla, Pattani provinces",Brief torrential rain,,,,No,No,,56410.0,Km2,,,,,1993,11.0,27.0,1993,12.0,2.0,23.0,252.0,377070.0,16487.0,393809.0,,,,,1261000.0,2365338.0,53.3116203804942,,,,
1994-0308-THA,1994,308,,Natural,Hydrological,Flood,Coastal flood,,,Thailand,THA,South-Eastern Asia,Asia,Wang-Takrai,,,,,,,,,Km2,,,,,1994,9.0,25.0,1994,9.0,25.0,31.0,,,,,,,,,,,54.7016925431883,,,,
1994-0657-THA,1994,657,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,South,,,,,,,,667.0,Km2,,,,,1994,10.0,21.0,1994,10.0,21.0,11.0,3.0,109113.0,3141.0,112257.0,,,,,30000.0,54843.0,54.7016925431883,,,,
1995-0198-THA,1995,198,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Phayao, Pichit, Pitsanuloke, Nakhon Sawan",Heavy rain,,,Yes,No,No,,444500.0,Km2,,,,"Nam, Chao Phraya",1995,8.0,1.0,1995,11.0,9.0,231.0,,4224000.0,56984.0,4280984.0,,,,,140500.0,249839.0,56.2363000218675,,,,
1996-0241-THA,1996,241,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,,Monsoonal rain,,,,No,No,,7000.0,Km2,,,,,1996,6.0,30.0,1996,10.0,22.0,91.0,,5000000.0,,5000000.0,,,,,500.0,864.0,57.8847058823529,,,,
1997-0213-THA,1997,213,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,North East (4 NE prov. Mekong overflow),,,,,,,,,Km2,,,,,1997,9.0,18.0,1997,9.0,18.0,14.0,,,,,,,,,,,59.2378657336541,,,,
1999-0269-THA,1999,269,,Natural,Hydrological,Flood,Flash flood,,,Thailand,THA,South-Eastern Asia,Asia,"Chantaburi, Trad, and Ubol Ratchathani Provinces",Brief torrential rain,,,Yes,No,No,,162.0,Km2,,,,,1999,7.0,24.0,1999,8.0,5.0,7.0,,90700.0,,90700.0,,,,,13000.0,21147.0,61.473667176908,,,,
1999-0427-THA,1999,427,,Natural,Hydrological,Flood,Coastal flood,,,Thailand,THA,South-Eastern Asia,Asia,"Prachuap Khiri Khan, Phetchaburi, Ratchaburi, Kanchanaburi, Lop Buri, Phitsanulok, Phichit, Nakhon Sawan, Satun, Phuket",Tropical cyclone,,,,No,No,,,Km2,,,,Chao Phya River,1999,10.0,25.0,1999,11.0,9.0,10.0,,170000.0,,170000.0,,,,,,,61.473667176908,,,,
1999-0616-THA,1999,616,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Yala, Pattani, Narathiwat, Songkhla, Chumphon Provinces",Monsoonal rain,,,,No,No,,,Km2,,,,,1999,12.0,4.0,1999,12.0,7.0,2.0,,2000.0,,2000.0,,,,,,,61.473667176908,,,,
1999-0599-THA,1999,599,,Natural,Hydrological,Flood,Coastal flood,,,Thailand,THA,South-Eastern Asia,Asia,"Surat Thani, Nakhon Si Thammarat, Chumphon Provinces",,,,,,,,4.0,Km2,,,,,1999,12.0,23.0,1999,12.0,23.0,,,,200.0,200.0,,,,,267.0,434.0,61.473667176908,,,,
2000-0401-THA,2000,401,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Muang Chiang Rai, Mae Chan districts (Chiang Rai province)",,,,,,,,,Km2,,,,,2000,6.0,21.0,2000,6.0,21.0,,,2500.0,,2500.0,,,,,,,63.5495473431008,2,,26519;26523,"Mae Chan, Muang Chiang Rai (Adm2)."
2000-0755-THA,2000,755,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Songkhla, Nakhon Si Thammarat, Surat Thani, Satun, Phatthalung, Chumphon, Narathiwat, Yala, Pattani, Trang provinces",,,,Yes,,,,630.0,Km2,,,,,2000,11.0,21.0,2000,11.0,21.0,51.0,570.0,808231.0,,808801.0,,,,,57500.0,90481.0,63.5495473431008,1,2862;2880;2882;2887;2890;2910;2913;2916;2920;2925,,"Chumphon, Nakhon Si Thammarat, Narathiwat, Pattani, Phatthalung, Satun, Songkhla, Surat Thani, Trang, Yala (Adm1)."
2001-0187-THA,2001,187,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Pathiu district (Chumphon province), Muang, Bang Saphan, Bang Saphan Noi, Hua Hin, Kui Buri, Pran Buri districts (Prachuap Khirikhan province), Si Satchnalai district (Sukhothai province), Laplae district (Uttaradit province), Khanom, Pak Phanang district (Nakhon Si Thamarat province)",,,,,,,,,Km2,,,,,2001,3.0,11.0,2001,3.0,11.0,2.0,,6000.0,,6000.0,,,,,,,65.345558714192,2,,26544;26743;26748;26918;26919;26920;26921;26922;27060;27174,"Bang Saphan Noi, Hua Hin, Khanom, Kui Buri, Laplae, Muang Prachuap Khiri Khan, Pak Phanang, Pathiu, Pran Buri, Si Satchnalai (Adm2)."
2001-0176-THA,2001,176,,Natural,Hydrological,Flood,Flash flood,,,Thailand,THA,South-Eastern Asia,Asia,"Phrae, Sukhothai, Lampang provinces",Brief torrential rain,"Slide (land, mud, snow, rock)",,,,,,19750.0,Km2,,,,,2001,5.0,4.0,2001,5.0,5.0,83.0,30.0,,4100.0,4130.0,,,,,4000.0,6121.0,65.345558714192,1,2868;2897;2914,,"Lampang, Phrae, Sukhothai (Adm1)."
2001-0479-THA,2001,479,,Natural,Hydrological,Flood,Flash flood,,,Thailand,THA,South-Eastern Asia,Asia,Ranong province,,,,,,,,,Km2,,,,,2001,6.0,27.0,2001,6.0,27.0,,,1000.0,,1000.0,,,,,,,65.345558714192,1,2900,,Ranong (Adm1).
2001-0450-THA,2001,450,,Natural,Hydrological,Flood,Flash flood,,,Thailand,THA,South-Eastern Asia,Asia,"Nam Kor village (Lom Sak District, Phetchabun Province), Udon Thani, Chiang Mai, Chiang Rai, Lamphun, Nong Khai, Phrae, Nan provinces",Brief torrential rain,,,Yes,,,25.0,4160.0,Km2,,,,,2001,8.0,8.0,2001,9.0,6.0,104.0,109.0,450000.0,,450109.0,,,,,24500.0,37493.0,65.345558714192,1;2,2859;2860;2869;2881;2884;2897;2922,26859,"Chiang Mai, Chiang Rai, Lamphun, Nan, Nong Khai, Phrae, Udon Thani (Adm1). Lom Sak (Adm2)."
2001-0528-THA,2001,528,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Ubon Ratchathani, Yasothon provinces",,,,,,,,,Km2,,,,,2001,8.0,31.0,2001,8.0,31.0,,,4000.0,,4000.0,,,,,,,65.345558714192,1,2921;2926,,"Ubon Ratchathani, Yasothon (Adm1)."
2002-0629-THA,2002,629,,Natural,Hydrological,Flood,Flash flood,,,Thailand,THA,South-Eastern Asia,Asia,Kalasin province,,,,,,,,,Km2,,,,,2002,9.0,29.0,2002,9.0,29.0,,,1500.0,,1500.0,,,,,,,66.3819636999782,1,2863,,Kalasin (Adm1).
2003-0774-THA,2003,774,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Phuket, Phangnga, Satun, Trang provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2003,10.0,3.0,2003,10.0,25.0,,,,,,,,,,,,67.8888956921058,1,2889;2898;2910;2920,,"Phangnga, Phuket, Satun, Trang (Adm1)."
2003-0561-THA,2003,561,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Phetchaburi, Ratchaburi, Kanchanaburi, Prachuap Khilikhan provinces",Heavy rains,,,,,,,,Km2,,,,,2003,10.0,15.0,2003,10.0,15.0,3.0,,3000.0,,3000.0,,,25000.0,36825.0,25000.0,36825.0,67.8888956921058,1,2865;2893;2899;2901,,"Kanchanaburi, Phetchaburi, Prachuap Khilikhan, Ratchaburi (Adm1)."
2003-0617-THA,2003,617,,Natural,Hydrological,Flood,Flash flood,,,Thailand,THA,South-Eastern Asia,Asia,"Nakhon Si Thammarat, Songkhla, Surat Thani, Yala provinces",Heavy rains,,,,,,,,Km2,,,,,2003,12.0,11.0,2003,12.0,11.0,6.0,,104700.0,,104700.0,,,,,1400.0,2062.0,67.8888956921058,1,2880;2913;2916;2925,,"Nakhon Si Thammarat, Songkhla, Surat Thani, Yala (Adm1)."
