Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1962-0010-THA,1962,10,,Natural,Meteorological,Storm,Tropical cyclone,,Harriet,Thailand,THA,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1962,10.0,27.0,1962,10.0,27.0,769.0,,,,,,,,,19000.0,170196.0,11.1636125082004,,,,
1981-0064-THA,1981,64,,Natural,Meteorological,Storm,Tropical cyclone,,Kelly,Thailand,THA,South-Eastern Asia,Asia,Nan province,,,,,,,,,Kph,,,,,1981,7.0,6.0,1981,7.0,6.0,,,43000.0,,43000.0,,,,,,,33.5554165755522,,,,
1989-0131-THA,1989,131,,Natural,Meteorological,Storm,Tropical cyclone,,Gay,Thailand,THA,South-Eastern Asia,Asia,"Chumphon, Nakkhon Si Thammarat, Phetchaburi, Prachuap Khiri Khan, Ranong, Songkhla, Surat Thani provinces",,,,Yes,No,No,,120.0,Kph,,,,,1989,11.0,3.0,1989,11.0,5.0,458.0,,154000.0,45000.0,199000.0,,,,,452000.0,987994.0,45.749276186311,,,,
1990-0409-THA,1990,409,,Natural,Meteorological,Storm,Tropical cyclone,,Ira,Thailand,THA,South-Eastern Asia,Asia,Central and northeastern Provinces,,,,,No,No,,,Kph,,,,,1990,10.0,8.0,1990,10.0,26.0,36.0,,,,,,,,,50000.0,103694.0,48.2187972884321,,,,
1991-0710-THA,1991,710,,Natural,Meteorological,Storm,Tropical cyclone,,,Thailand,THA,South-Eastern Asia,Asia,North and Northeast,,,,,,,,,Kph,,,,,1991,8.0,17.0,1991,8.0,17.0,38.0,20.0,1858811.0,35407.0,1894238.0,,,,,8323.0,16560.0,50.2608528318391,,,,
1992-0201-THA,1992,201,,Natural,Meteorological,Storm,,,,Thailand,THA,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1992,5.0,19.0,1992,5.0,19.0,,,,,,,,,,,,51.7831620380495,,,,
1992-0494-THA,1992,494,,Natural,Meteorological,Storm,Tropical cyclone,,Angela,Thailand,THA,South-Eastern Asia,Asia,Ko Samui (Surat Thani province),,,,,,,,,Kph,,,,,1992,10.0,16.0,1992,10.0,16.0,3.0,,93102.0,13007.0,106109.0,,,,,,,51.7831620380495,,,,
1992-0495-THA,1992,495,,Natural,Meteorological,Storm,Tropical cyclone,,Colleen,Thailand,THA,South-Eastern Asia,Asia,Sisaket province (North),,,,,,,,,Kph,,,,,1992,10.0,17.0,1992,10.0,17.0,,,160550.0,,160550.0,,,,,,,51.7831620380495,,,,
1992-0496-THA,1992,496,,Natural,Meteorological,Storm,,,Forrest,Thailand,THA,South-Eastern Asia,Asia,"Surat Thani, Krabi, Phangnga, Nakhon Si Thammarat provinces",,,,,,,,,Kph,,,,,1992,11.0,12.0,1992,11.0,12.0,3.0,,105674.0,14113.0,119787.0,,,,,,,51.7831620380495,,,,
1993-0481-THA,1993,481,,Natural,Meteorological,Storm,,,Lewis,Thailand,THA,South-Eastern Asia,Asia,"Nakhon Phanom, Sakon Nakhon, Nong Khai provinces",,,,,,,,,Kph,,,,,1993,7.0,11.0,1993,7.0,11.0,4.0,,188388.0,60.0,188448.0,,,,,106900.0,200519.0,53.3116203804942,,,,
