Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1961-0003-TON,1961,3,,Natural,Meteorological,Storm,Tropical cyclone,,,Tonga,TON,Polynesia,Oceania,Vava'u Ha'Apai,,,,,,,,,Kph,,,,,1961,3.0,16.0,1961,3.0,16.0,2.0,,8000.0,,8000.0,,,,,500.0,4533.0,11.0313667176908,,,,
1973-0080-TON,1973,80,,Natural,Meteorological,Storm,Tropical cyclone,,Juliette,Tonga,TON,Polynesia,Oceania,Ha'api Isl Group,,,,,,,,,Kph,,,,,1973,4.0,12.0,1973,4.0,12.0,3.0,,700.0,200.0,900.0,,,,,500.0,3051.0,16.3855937021648,,,,
1977-0143-TON,1977,143,,Natural,Meteorological,Storm,Tropical cyclone,,Ernie,Tonga,TON,Polynesia,Oceania,Ha'Apai Isl.,,,,Yes,,,,,Kph,,,,,1977,12.0,27.0,1977,12.0,27.0,,5.0,10000.0,,10005.0,,,,,1100.0,4918.0,22.367198775421,,,,
1982-0034-TON,1982,34,,Natural,Meteorological,Storm,Tropical cyclone,,Isaac,Tonga,TON,Polynesia,Oceania,Nationwide,,,,Yes,,,,,Kph,,,,,1982,3.0,3.0,1982,3.0,3.0,6.0,12.0,100000.0,46500.0,146512.0,,,,,21200.0,59529.0,35.6128405860485,,,,
1982-0065-TON,1982,65,,Natural,Meteorological,Storm,,,,Tonga,TON,Polynesia,Oceania,Tongatapu,,,,,,,,,Kph,,,,,1982,5.0,30.0,1982,5.0,30.0,1.0,2.0,,,2.0,,,,,1100.0,3089.0,35.6128405860485,,,,
1990-0008-TON,1990,8,,Natural,Meteorological,Storm,Tropical cyclone,,Ofa,Tonga,TON,Polynesia,Oceania,"Tofahi, Niuatoputapu, Niuafo'ou Islands",,,,Yes,,,,,Kph,,,,,1990,2.0,4.0,1990,2.0,4.0,1.0,3.0,2600.0,500.0,3103.0,,,,,2500.0,5185.0,48.2187972884321,,,,
1997-0094-TON,1997,94,,Natural,Meteorological,Storm,Tropical cyclone,,Hina,Tonga,TON,Polynesia,Oceania,Tonatapu Is.,,,,,,,251.0,93.0,Kph,,,,,1997,3.0,16.0,1997,3.0,16.0,,,,3000.0,3000.0,,,,,,,59.2378657336541,,,,
1998-0051-TON,1998,51,,Natural,Meteorological,Storm,Tropical cyclone,,Ron,Tonga,TON,Polynesia,Oceania,"Niuafoou, Niuatoputapu, Tafahi Isl.",,,,,,,198.0,,Kph,,,,,1998,1.0,7.0,1998,1.0,7.0,,,500.0,,500.0,,,,,,,60.1574108900066,,,,
1998-0440-TON,1998,440,,Natural,Meteorological,Storm,Tropical cyclone,,Cora,Tonga,TON,Polynesia,Oceania,Haapai Isl.,,,,,,,,160.0,Kph,,,,,1998,12.0,26.0,1998,12.0,26.0,,,3071.0,,3071.0,,,,,,,60.1574108900066,,,,
2001-0711-TON,2001,711,,Natural,Meteorological,Storm,Tropical cyclone,,Waka,Tonga,TON,Polynesia,Oceania,"Vava'u, Niuafo'ou islands (Tonga province)",,,,Yes,,,868.0,260.0,Kph,,,,,2001,12.0,31.0,2001,12.0,31.0,,,16500.0,,16500.0,,,,,51300.0,78506.0,65.345558714192,1,2976,,Administrative unit not available (Adm1).
2004-0004-TON,2004,4,,Natural,Meteorological,Storm,Tropical cyclone,,Heta,Tonga,TON,Polynesia,Oceania,"Tafahi, Nuiatoputapu islands (Tonga province)",,,,,,,,,Kph,,,,,2004,1.0,6.0,2004,1.0,6.0,,,,,,,,,,,,69.7064421605073,1,2976,,Administrative unit not available (Adm1).
2011-0091-TON,2011,91,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone Wilma,Tonga,TON,Polynesia,Oceania,Ha'apai island (Tonga province),,,,,,,86.0,,Kph,,,,,2011,1.0,25.0,2011,1.0,29.0,,,,,,,,,,3000.0,3614.0,83.0126743931774,1,2976,,Administrative unit not available (Adm1).
2014-0001-TON,2014,1,,Natural,Meteorological,Storm,Tropical cyclone,,Ian,Tonga,TON,Polynesia,Oceania,"Mo'unga'one, Ha'ano, Foa, Lifuka, Lofanga, Uiha islands (Ha'apai island group, Tonga province), Vava'u island group (Tonga province)",,,,Yes,,Yes,,270.0,Kph,,,,,2014,1.0,6.0,2014,1.0,11.0,1.0,14.0,4000.0,,4014.0,,,,,31000.0,35483.0,87.3662978351193,1,2976,,Administrative unit not available (Adm1).
2016-0004-TON,2016,4,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Ulla,Tonga,TON,Polynesia,Oceania,"Vava'u, Ha'apai islands (Administrative unit not available)",,,,,,,,150.0,Kph,,,,,2016,1.0,2.0,2016,1.0,2.0,,,392.0,,392.0,,,,,,,88.573452875574,1,2976,,Administrative unit not available (Adm1).
2016-0041-TON,2016,41,TC-2016-000014,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Winston,Tonga,TON,Polynesia,Oceania,Vava’u Isl.,,,,,,,,,Kph,,,,,2016,2.0,19.0,2016,2.0,19.0,,,,,,,,,,,,88.573452875574,2,,27407,Administrative unit not available (Adm2).
2016-0141-TON,2016,141,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone Zena,Tonga,TON,Polynesia,Oceania,"Eua, Tongatapu, Ha'apai, Tongatapu, 'Eua, Vava'u islands (Administrative unit not available)",,,,,,,,,Kph,,,,,2016,4.0,7.0,2016,4.0,7.0,,,,,,,,,,,,88.573452875574,1,2976,,Administrative unit not available (Adm1).
