Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1964-0062-TUN,1964,62,,Natural,Hydrological,Flood,,,,Tunisia,TUN,Northern Africa,Africa,"Kairoun, Khledia",,,,Yes,,,,,Km2,,,,,1964,10.0,30.0,1964,10.0,30.0,44.0,,5000.0,,5000.0,,,,,3000.0,26209.0,11.4465427509293,,,,
1964-0070-TUN,1964,70,,Natural,Hydrological,Flood,,,,Tunisia,TUN,Northern Africa,Africa,Zarzis area,,,,Yes,,,,,Km2,,,,,1964,12.0,31.0,1964,12.0,31.0,5.0,,16000.0,,16000.0,,,,,,,11.4465427509293,,,,
1969-0094-TUN,1969,94,,Natural,Hydrological,Flood,,,,Tunisia,TUN,Northern Africa,Africa,Countrywide,,,,Yes,No,No,,,Km2,,,,,1969,9.0,24.0,1969,10.0,,540.0,,271269.0,,271269.0,,,,,100000.0,738672.0,13.5378001312049,,,,
1973-0018-TUN,1973,18,,Natural,Hydrological,Flood,,,,Tunisia,TUN,Northern Africa,Africa,Medjerda river Valley,,,,Yes,,,,,Km2,,,,,1973,3.0,21.0,1973,3.0,21.0,52.0,,41000.0,,41000.0,,,,,5000.0,30515.0,16.3855937021648,,,,
1979-0122-TUN,1979,122,,Natural,Hydrological,Flood,,,,Tunisia,TUN,Northern Africa,Africa,Medenine,,,,,,,,,Km2,,,,,1979,3.0,6.0,1979,3.0,6.0,,,750.0,,750.0,,,,,,,26.7834419418325,,,,
1982-0114-TUN,1982,114,,Natural,Hydrological,Flood,,,,Tunisia,TUN,Northern Africa,Africa,"Sfax, coastal areas",,,,Yes,,,,,Km2,,,,,1982,10.0,28.0,1982,10.0,28.0,117.0,,30000.0,,30000.0,,,,,90000.0,252718.0,35.6128405860485,,,,
1986-0118-TUN,1986,118,,Natural,Hydrological,Flood,Flash flood,,,Tunisia,TUN,Northern Africa,Africa,"Tunis, Beja",,,,,,,,,Km2,,,,,1986,9.0,30.0,1986,9.0,30.0,23.0,,,2500.0,2500.0,,,,,,,40.4504089219331,,,,
1990-0002-TUN,1990,2,,Natural,Hydrological,Flood,Riverine flood,,,Tunisia,TUN,Northern Africa,Africa,"Kairouan, Sfax, Kasserine, Gafsa, Sidi Bou Zid, Tozeur, Nefta, Gabes",Heavy rains,,,Yes,No,No,,127700.0,Km2,,,,,1990,1.0,20.0,1990,2.0,1.0,37.0,,152000.0,,152000.0,,,,,242800.0,503538.0,48.2187972884321,,,,
2003-0027-TUN,2003,27,,Natural,Hydrological,Flood,Riverine flood,,,Tunisia,TUN,Northern Africa,Africa,"Jendouba, Beja, Manouba, Kasserine, Kairouan, Sidi Bouz, Le Kef, Monastir, Bizerte provinces",Heavy rains,,,,,,,27680.0,Km2,,,,Oued Mejerda,2003,1.0,14.0,2003,1.0,16.0,8.0,,27000.0,,27000.0,,,,,,,67.8888956921058,1,2995;2996;2999;3000;3001;3003;3005;3006;3010,,"Beja, Bizerte, Jendouba, Kairouan, Kasserine, Le Kef, Manouba, Monastir, Sidi Bouz (Adm1)."
2003-0469-TUN,2003,469,,Natural,Hydrological,Flood,Riverine flood,,,Tunisia,TUN,Northern Africa,Africa,"Tunis, Bizerte, Ariana, Ben Arous, Manouba, Nabeul provinces",Torrential rains,"Slide (land, mud, snow, rock)",,,,,,380.0,Km2,,,,,2003,9.0,16.0,2003,9.0,18.0,4.0,,,,,,,,,,,67.8888956921058,1,2993;2994;2995;3005;3008;3015,,"Ariana, Ben Arous, Bizerte, Manouba, Nabeul, Tunis (Adm1)."
