Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1900-0009-TUR,1900,9,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"KARS,KARAKURT,KAGIZMAN,DIGOR",,,,,,,,6.0,Richter,40.3,43.1,09:25,,1900,7.0,12.0,1900,7.0,12.0,140.0,,,,,,,,,,,3.0770909085206,,,,
1903-0013-TUR,1903,13,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,,Richter,39.1,42.4,,,1903,4.0,19.0,1903,4.0,19.0,1700.0,,,,,,,,,,,3.3232581812022,,,,
1903-0007-TUR,1903,7,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Malazgirt,,,,,,,,6.0,Richter,39.09,42.3,02:46,,1903,4.0,29.0,1903,4.0,29.0,3560.0,,60000.0,,60000.0,,,,,,,3.3232581812022,,,,
1903-0015-TUR,1903,15,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"VARGINIS,CARDAHLI,MEHKEREK",,,,,,,,6.0,Richter,40.9,42.7,06:58,,1903,5.0,28.0,1903,5.0,28.0,1000.0,,,,,,,,,,,3.3232581812022,,,,
1912-0006-TUR,1912,6,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Murefte Sarkoy, marmara sea",,Tsunami/Tidal wave,,,,,,8.0,Richter,40.41,27.15,04:29,,1912,8.0,9.0,1912,8.0,9.0,923.0,1575.0,,16620.0,18195.0,,,,,,,3.5694254538838,,,,
1914-0029-TUR,1914,29,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Burdur, Kilinc, Keciborlu, Isparta",,,,,,,,7.0,Richter,37.82,30.27,01:06,,1914,10.0,4.0,1914,10.0,4.0,4000.0,700.0,,51000.0,51700.0,,,,,,,3.7048174538587,,,,
1924-0009-TUR,1924,9,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzurum,,,,,,,,5.0,Richter,39.7,42.8,03:52,,1924,5.0,13.0,1924,5.0,13.0,50.0,,,,,,,,,,,6.3388072715524,,,,
1924-0011-TUR,1924,11,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzurum,,,,,,,,7.0,Richter,39.897,41.891,16:34,,1924,9.0,13.0,1924,9.0,13.0,60.0,,,1140.0,1140.0,,,,,,,6.3388072715524,,,,
1925-0009-TUR,1925,9,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Ardahan,,,,,,,,6.0,Richter,41.2,42.8,20:38,,1925,1.0,9.0,1925,1.0,9.0,200.0,,,,,,,,,,,6.4865076351614,,,,
1925-0013-TUR,1925,13,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Dinar,,,,,,,,6.0,Richter,38.0,30.5,09:46,,1925,8.0,7.0,1925,8.0,7.0,3.0,,,6129.0,6129.0,,,,,,,6.4865076351614,,,,
