Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1964-0028-TUR,1964,28,,Natural,Meteorological,Storm,Convective storm,Hail,,Turkey,TUR,Western Asia,Asia,Southern,,,,Yes,,,,,Kph,,,,,1964,5.0,8.0,1964,5.0,8.0,,,12000.0,,12000.0,,,,,2200.0,19220.0,11.4465427509293,,,,
1972-0020-TUR,1972,20,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Turkey,TUR,Western Asia,Asia,Istanbul,,,,,,,,,Kph,,,,,1972,2.0,4.0,1972,2.0,4.0,30.0,,,,,,,,,,,15.4322326700197,,,,
1991-0548-TUR,1991,548,,Natural,Meteorological,Storm,,,,Turkey,TUR,Western Asia,Asia,"Van, Bitlis, Hakkari Provinces ( Western and Central Turkey)",,,,,,,,100.0,Kph,,,,,1991,12.0,8.0,1991,12.0,8.0,1.0,3.0,,,3.0,,,,,,,50.2608528318391,,,,
1994-0362-TUR,1994,362,,Natural,Meteorological,Storm,,,,Turkey,TUR,Western Asia,Asia,Black sea,,,,,,,,,Kph,,,,,1994,10.0,19.0,1994,10.0,19.0,30.0,,,,,,,,,,,54.7016925431883,,,,
2002-0791-TUR,2002,791,,Natural,Meteorological,Storm,,,,Turkey,TUR,Western Asia,Asia,"Tokat, Van, Kayseri, Istanbul, Ankara provinces",,,,,,,,,Kph,,,,,2002,12.0,20.0,2002,12.0,20.0,10.0,,,,,,,,,,,66.3819636999782,1,3023;3056;3063;3089;3093,,"Ankara, Istanbul, Kayseri, Tokat, Van (Adm1)."
2004-0026-TUR,2004,26,,Natural,Meteorological,Storm,,,,Turkey,TUR,Western Asia,Asia,"Adana, Adiyaman, Afyon, Agri, Aksaray, Amasya, Ankara, Antalya, Ardahan, Artvin, Aydin, Balikesir, Bartin, Batman, Bayburt, Bilecik, Bingol, Bitlis, Bolu, Burdur, Bursa, Canakkale, Cankiri, Corum, Denizli, Diyarbakir, Edirne, Elazig, Erzincan, Erzurum, Eskisehir, Gaziantep, Giresun, Gumushane, Hakkari, Hatay, Icel, Igdir, Isparta, Istanbul, Izmir, K.maras, Karabuk, Karaman, Kars, Kastamonu, Kayseri, Kilis, Kirikkale, Kirklareli, Kirsehir, Kocaeli, Konya, Kutahya, Malatya, Manisa, Mardin, Mugla, Mus, Nevsehir, Nigde, Ordu, Osmaniye, Rize, Sakarya, Samsun, Sanliurfa, Siirt, Sinop, Sirnak, Sivas, Tekirdag, Tokat, Trabzon, Tunceli, Usak, Van, Yalova, Yozgat, Zonguldak provinces",,,,,,,,,Kph,,,,,2004,1.0,22.0,2004,1.0,25.0,8.0,,,,,,,,,,,69.7064421605073,1,3017;3018;3019;3020;3021;3022;3023;3024;3025;3026;3027;3028;3029;3030;3031;3032;3033;3034;3035;3036;3037;3038;3039;3040;3041;3042;3043;3044;3045;3046;3047;3048;3049;3050;3051;3052;3053;3054;3055;3056;3057;3058;3059;3060;3061;3062;3063;3064;3065;3066;3067;3068;3069;3070;3071;3072;3073;3074;3075;3076;3077;3078;3079;3080;3081;3082;3083;3084;3085;3086;3087;3088;3089;3090;3091;3092;3093;3094;3095;3096,,"Adana, Adiyaman, Afyon, Agri, Aksaray, Amasya, Ankara, Antalya, Ardahan, Artvin, Aydin, Balikesir, Bartin, Batman, Bayburt, Bilecik, Bingol, Bitlis, Bolu, Burdur, Bursa, Canakkale, Cankiri, Corum, Denizli, Diyarbakir, Edirne, Elazig, Erzincan, Erzurum, Eskisehir, Gaziantep, Giresun, Gumushane, Hakkari, Hatay, Icel, Igdir, Isparta, Istanbul, Izmir, K.maras, Karabuk, Karaman, Kars, Kastamonu, Kayseri, Kilis, Kirikkale, Kirklareli, Kirsehir, Kocaeli, Konya, Kutahya, Malatya, Manisa, Mardin, Mugla, Mus, Nevsehir, Nigde, Ordu, Osmaniye, Rize, Sakarya, Samsun, Sanliurfa, Siirt, Sinop, Sirnak, Sivas, Tekirdag, Tokat, Trabzon, Tunceli, Usak, Van, Yalova, Yozgat, Zonguldak (Adm1)."
2004-0274-TUR,2004,274,,Natural,Meteorological,Storm,Convective storm,Tornado,,Turkey,TUR,Western Asia,Asia,"Sünlü village (Cubuk district, Ankara province)",,,,,,,,,Kph,,,,,2004,6.0,19.0,2004,6.0,19.0,3.0,15.0,900.0,,915.0,,,,,,,69.7064421605073,2,,27517,Cubuk (Adm2).
2004-0600-TUR,2004,600,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Turkey,TUR,Western Asia,Asia,"Istanbul, Ankara, Yozgat, Adana provinces",,Flood,,,,,,,Kph,,,,,2004,11.0,21.0,2004,11.0,22.0,14.0,121.0,600.0,,721.0,,,,,,,69.7064421605073,1,3017;3023;3056;3095,,"Adana, Ankara, Istanbul, Yozgat (Adm1)."
2005-0045-TUR,2005,45,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Turkey,TUR,Western Asia,Asia,"Artvin, Bartin, Bolu, Giresun, Istanbul, Kastamonu, Kirklareli, Kocaeli, Ordu, Rize, Sakarya, Samsun, Sinop, Trabzon, Zonguldak provinces",Snowstorm,Transport accident,,,,,,,Kph,,,,,2005,1.0,1.0,2005,4.0,1.0,2.0,,,,,,,,,,,72.0714104526569,1,3026;3029;3035;3049;3056;3062;3066;3068;3078;3080;3081;3082;3085;3090;3096,,"Artvin, Bartin, Bolu, Giresun, Istanbul, Kastamonu, Kirklareli, Kocaeli, Ordu, Rize, Sakarya, Samsun, Sinop, Trabzon, Zonguldak (Adm1)."
2017-0566-TUR,2017,566,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Turkey,TUR,Western Asia,Asia,Istanbul,,Hail,Flood,,,,,,Kph,,,,,2017,7.0,27.0,2017,7.0,27.0,,,270.0,,270.0,,,300000.0,331638.0,600000.0,663275.0,90.4601793133611,1,3056,,Istanbul (Adm1).
