Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1993-0058-UKR,1993,58,,Natural,Hydrological,Flood,Riverine flood,,,Ukraine,UKR,Eastern Europe,Europe,"Thearea, Rovno (Northern areas)",Heavy rain,,,Yes,No,No,,3050.0,Km2,,,,,1993,7.0,25.0,1993,8.0,12.0,4.0,,300000.0,,300000.0,,,,,80000.0,150061.0,53.3116203804942,,,,
1993-0230-UKR,1993,230,,Natural,Hydrological,Flood,Riverine flood,,,Ukraine,UKR,Eastern Europe,Europe,Zakarpattya oblast (Tyachiv district),Heavy rain,,,Yes,No,No,115.0,4260.0,Km2,,,,,1993,12.0,20.0,1993,12.0,24.0,5.0,,25000.0,,25000.0,,,,,159000.0,298246.0,53.3116203804942,,,,
1995-0175-UKR,1995,175,,Natural,Hydrological,Flood,Riverine flood,,,Ukraine,UKR,Eastern Europe,Europe,Kharkov,,,,Yes,,,285.0,,Km2,,,,,1995,6.0,29.0,1995,6.0,29.0,,,1700000.0,,1700000.0,,,,,,,56.2363000218675,,,,
1996-0475-UKR,1996,475,,Natural,Hydrological,Flood,Riverine flood,,,Ukraine,UKR,Eastern Europe,Europe,"Luhanska, Rivnenska, Khmalnitska provinces",Snowmelt,,,,No,No,,,Km2,,,,Prypyat river,1996,4.0,3.0,1996,4.0,10.0,,,10000.0,,10000.0,,,,,,,57.8847058823529,,,,
1997-0154-UKR,1997,154,,Natural,Hydrological,Flood,Riverine flood,,,Ukraine,UKR,Eastern Europe,Europe,,,,,,No,No,,,Km2,,,,,1997,7.0,4.0,1997,8.0,9.0,,,,,,,,,,17000.0,28698.0,59.2378657336541,,,,
1998-0359-UKR,1998,359,,Natural,Hydrological,Flood,Riverine flood,,,Ukraine,UKR,Eastern Europe,Europe,"Tyachev, Rahi, Vinogradi, Mukachevo, Khust Perechin, Svalyava, Irshave, Uzhgoro districts (Transcarpathian) + Mukachevo, Khust cities",,,,Yes,,,2920.0,1000.0,Km2,,,,,1998,11.0,8.0,1998,11.0,8.0,18.0,230.0,,24340.0,24570.0,,,,,1259.0,2093.0,60.1574108900066,,,,
2001-0096-UKR,2001,96,,Natural,Hydrological,Flood,Riverine flood,,,Ukraine,UKR,Eastern Europe,Europe,"Palad, Khust, Shaiany, Sasovo towns (Zakarpats'ka province)",Heavy rain,,,Yes,,,3463.0,,Km2,,,,Tisza and Latoritsa,2001,3.0,4.0,2001,3.0,17.0,9.0,,300000.0,,300000.0,,,,,15000.0,22955.0,65.345558714192,1,3170,,Zakarpats'ka (Adm1).
2003-0129-UKR,2003,129,,Natural,Hydrological,Flood,Riverine flood,,,Ukraine,UKR,Eastern Europe,Europe,L'vivs'ka province,"Heavy rains, melting snow",,,,,,,,Km2,,,,,2003,3.0,12.0,2003,3.0,12.0,,,600.0,,600.0,,,,,,,67.8888956921058,1,3160,,L'vivs'ka (Adm1).
2005-0146-UKR,2005,146,,Natural,Hydrological,Flood,,,,Ukraine,UKR,Eastern Europe,Europe,"Vinnyts'ka, L'vivs'ka, Kharkivs'ka, Chernivets'ka, Rivnens'ka, Zhytomyrs'ka, Ternopil's'ka, Zaporiz'ka, Mykolayivs'ka, Ivano-frankivs'ka, Volyns'ka, Khersons'ka, Odes'ka provinces",,,,,,,,,Km2,,,,,2005,2.0,28.0,2005,2.0,28.0,,,8340.0,,8340.0,,,,,,,72.0714104526569,1,3150;3153;3155;3156;3160;3162;3163;3165;3167;3168;3169;3171;3172,,"Chernivets'ka, Ivano-frankivs'ka, Khersons'ka, Khmel'nyts'ka, L'vivs'ka, Mykolayivs'ka, Odes'ka, Rivnens'ka, Ternopil's'ka, Vinnyts'ka, Volyns'ka, Zaporiz'ka, Zhytomyrs'ka (Adm1)."
2006-0209-UKR,2006,209,,Natural,Hydrological,Flood,Riverine flood,,,Ukraine,UKR,Eastern Europe,Europe,Odes'ka province,,Broken Dam/Burst bank,,,,,,,Km2,44.5,23.87,,,2006,4.0,7.0,2006,5.0,24.0,,,,,,,,,,,,74.3963874917997,1,3163,,Odes'ka (Adm1).
