Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1952-0005-GBR,1952,5,,Natural,Hydrological,Flood,,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,Lynmouth,,,,,,,,,Km2,,,,,1952,8.0,15.0,1952,8.0,15.0,34.0,,,,,,,,,,,9.8220741799977,,,,
1993-0098-GBR,1993,98,,Natural,Hydrological,Flood,,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"Scotland, Perth & Tayside",,,,,,,,,Km2,,,,,1993,1.0,23.0,1993,1.0,23.0,,,600.0,,600.0,,,,,37000.0,69403.0,53.3116203804942,,,,
1993-0237-GBR,1993,237,,Natural,Hydrological,Flood,Riverine flood,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,No,No,,,Km2,,,,,1993,12.0,20.0,1993,12.0,31.0,4.0,,,,,,,75000.0,140682.0,150000.0,281365.0,53.3116203804942,,,,
1994-0048-GBR,1994,48,,Natural,Hydrological,Flood,Riverine flood,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,No,No,,,Km2,,,,,1994,1.0,7.0,1994,1.0,12.0,3.0,,,,,,,,,90000.0,164529.0,54.7016925431883,,,,
1994-0589-GBR,1994,589,,Natural,Hydrological,Flood,Riverine flood,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"Glasgow , Scotland",Heavy rains,,,,No,No,,,Km2,,,,,1994,12.0,7.0,1994,12.0,12.0,4.0,,700.0,,700.0,,,46900.0,85738.0,146000.0,266902.0,54.7016925431883,,,,
1997-0340-GBR,1997,340,,Natural,Hydrological,Flood,Riverine flood,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,Moray (Scotland),Heavy rain,,,,No,No,,,Km2,,,,,1997,7.0,1.0,1997,7.0,2.0,1.0,,,,,,,,,98400.0,166110.0,59.2378657336541,,,,
1997-0350-GBR,1997,350,,Natural,Hydrological,Flood,,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,Scotland,,,,,,,,,Km2,,,,,1997,8.0,13.0,1997,8.0,13.0,,,,,,,,,,150000.0,253216.0,59.2378657336541,,,,
1998-0441-GBR,1998,441,,Natural,Hydrological,Flood,Riverine flood,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"Norhtampton, Worcestershire, Warwickshire, Avon",,,,,No,No,,,Km2,,,,Avon,1998,4.0,9.0,1998,4.0,10.0,5.0,,300.0,,300.0,,,249500.0,414745.0,500000.0,831153.0,60.1574108900066,,,,
1999-0091-GBR,1999,91,,Natural,Hydrological,Flood,Riverine flood,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"Malton,Old Malton, Norton, Pickering, Stamford Bridge, Elvington towns (North and East Yorkshire)",Heavy rain and snow melt,,,,No,No,,,Km2,,,,River Derwent,1999,3.0,7.0,1999,3.0,13.0,,,330.0,,330.0,,,,,32680.0,53161.0,61.473667176908,,,,
2000-0248-GBR,2000,248,,Natural,Hydrological,Flood,,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"Lothian (Edinburgh), Grampian (Aberdeenshire) - Scotland region",,,,,,,,,Km2,,,,,2000,4.0,27.0,2000,4.0,27.0,,,200.0,,200.0,,,,,,,63.5495473431008,2,,40171;40173,"Grampian, Lothian (Adm2)."
