Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1968-0022-GBR,1968,22,,Natural,Meteorological,Storm,,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,Scotland,,,,,,,,,Kph,,,,,1968,1.0,14.0,1968,1.0,14.0,20.0,,700.0,,700.0,,,,,2500.0,19476.0,12.8366149136235,,,,
1981-0282-GBR,1981,282,,Natural,Meteorological,Storm,,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,,,Kph,,,,,1981,9.0,21.0,1981,9.0,21.0,12.0,,,,,,,,,,,33.5554165755522,,,,
1984-0300-GBR,1984,300,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"North region, Scotland",,,,,,,,161.0,Kph,,,,,1984,1.0,24.0,1984,1.0,24.0,22.0,,,,,,,,,81500.0,212585.0,38.3376251913405,,,,
1986-0147-GBR,1986,147,,Natural,Meteorological,Storm,,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,,151.0,Kph,,,,,1986,10.0,20.0,1986,10.0,20.0,,,,,,,,,,,,40.4504089219331,,,,
1987-0191-GBR,1987,191,,Natural,Meteorological,Storm,,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,South,,,,,,,,177.0,Kph,,,,,1987,10.0,15.0,1987,10.0,15.0,20.0,,,,,,,1452000.0,3462688.0,1565000.0,3732168.0,41.9327356221299,,,,
1989-0430-GBR,1989,430,,Natural,Meteorological,Storm,,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,,,Kph,,,,,1989,2.0,26.0,1989,2.0,26.0,13.0,,,,,,,,,,,45.749276186311,,,,
1990-0717-GBR,1990,717,,Natural,Meteorological,Storm,,,Daria,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,1.0,25.0,1990,1.0,26.0,47.0,,,,,,,3050000.0,6325334.0,3400000.0,7051192.0,48.2187972884321,,,,
1990-0718-GBR,1990,718,,Natural,Meteorological,Storm,,,Herta,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,3.0,1990,2.0,4.0,,,,,,,,,,10000.0,20739.0,48.2187972884321,,,,
1990-0719-GBR,1990,719,,Natural,Meteorological,Storm,,,Judith,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,7.0,1990,2.0,8.0,,,,,,,,30000.0,62216.0,60000.0,124433.0,48.2187972884321,,,,
1990-0720-GBR,1990,720,,Natural,Meteorological,Storm,,,Nana,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,11.0,1990,2.0,12.0,,,,,,,,30000.0,62216.0,70000.0,145172.0,48.2187972884321,,,,
1990-0722-GBR,1990,722,,Natural,Meteorological,Storm,,,Vivian,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,25.0,1990,2.0,27.0,18.0,,,,,,,800000.0,1659104.0,900000.0,1866492.0,48.2187972884321,,,,
1990-0723-GBR,1990,723,,Natural,Meteorological,Storm,,,Wiebke,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,28.0,1990,3.0,1.0,18.0,,,,,,,320000.0,663642.0,350000.0,725858.0,48.2187972884321,,,,
