Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1906-0013-USA,1906,13,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,San Francisco (California),,Fire,,,,,,8.0,Richter,37.67,-122.48,05:12,,1906,4.0,18.0,1906,4.0,18.0,700.0,,,84564.0,84564.0,,,180000.0,5416371.0,524000.0,15767658.0,3.3232581812022,,,,
1915-0004-USA,1915,4,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,El Centro (California),,,,,,,,6.0,Richter,32.47,-115.33,20:56,,1915,6.0,22.0,1915,6.0,22.0,6.0,,,,,,,,,1000.0,26726.0,3.741742544761,,,,
1925-0005-USA,1925,5,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,Santa Barbara (California),,,,,No,No,,6.0,Richter,34.25 N,119.41 W,,,1925,6.0,29.0,1925,6.0,29.0,13.0,,,,,,,,,8000.0,123333.0,6.4865076351614,,,,
1933-0007-USA,1933,7,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,Long Beach (California),,Tsunami/Tidal wave,,,,,,6.0,Richter,33.62,117.97,17:54,,1933,3.0,10.0,1933,3.0,10.0,116.0,,,,,,,,,38500.0,804101.0,4.787953453658,,,,
1940-0008-USA,1940,8,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,Imperial Valley (California),,,,Yes,,,,7.0,Richter,32.733,-115.5,20:36,,1940,5.0,18.0,1940,5.0,18.0,9.0,,,,,,,,,33000.0,636842.0,5.1818210899486,,,,
1946-0010-USA,1946,10,,Natural,Geophysical,Earthquake,Tsunami,,,United States of America (the),USA,Northern America,Americas,"Alaska, Hawi and California",Earthquake,Tsunami/Tidal wave,,,,,,9.0,Richter,53.492,-162.832,03:29,,1946,4.0,1.0,1946,4.0,1.0,165.0,,,,,,,,,25000.0,346611.0,7.2127010895723,,,,
1949-0006-USA,1949,6,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,"Puget Sound, Olympia (Washington state)",,,,,,,,7.0,Richter,47.167,-122.617,12:55,,1949,4.0,13.0,1949,4.0,13.0,8.0,,,,,,,,,25000.0,284075.0,8.8004799983688,,,,
1952-0004-USA,1952,4,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,Kern county (California),,,,,,,,8.0,Richter,34.958,-118.998,04:52,,1952,7.0,21.0,1952,7.0,21.0,12.0,200.0,,,200.0,,,,,60000.0,610869.0,9.8220741799977,,,,
1952-0006-USA,1952,6,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,"Bakersfield, Kern County (California)",,,,,,,,6.0,Richter,35.333,-118.917,15:41,,1952,8.0,22.0,1952,8.0,22.0,2.0,,,270.0,270.0,,,,,10000.0,101811.0,9.8220741799977,,,,
1952-0036-USA,1952,36,,Natural,Geophysical,Earthquake,Tsunami,,,United States of America (the),USA,Northern America,Americas,Hawai,Earthquake,,,,,,,,Richter,,,,,1952,11.0,4.0,1952,11.0,4.0,,,,,,,,,,900.0,9163.0,9.8220741799977,,,,
