Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1909-0017-USA,1909,17,,Natural,Hydrological,Flood,Coastal flood,,,United States of America (the),USA,Northern America,Americas,Louisiana,Meteorological,,,,No,No,,,Km2,,,,,1909,9.0,22.0,1909,9.0,22.0,72.0,,,,,,,,,,,3.3232581812022,,,,
1972-0037-USA,1972,37,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,"Rapid city (South Dakota), Buffalo Creek (West Virginia)",,,,,,,,,Km2,,,,,1972,6.0,9.0,1972,6.0,9.0,237.0,,3000.0,,3000.0,,,,,120000.0,777593.0,15.4322326700197,,,,
1976-0051-USA,1976,51,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,Colorado (Big Thompson Canyon),,,,,,,,,Km2,,,,,1976,7.0,31.0,1976,7.0,31.0,139.0,,,,,,,,,41000.0,195222.0,21.0017319046578,,,,
1977-0089-USA,1977,89,,Natural,Hydrological,Flood,Flash flood,,,United States of America (the),USA,Northern America,Americas,Johnstown (Pennsylvania),,,,,,,,,Km2,,,,,1977,7.0,22.0,1977,7.0,22.0,76.0,,2700.0,,2700.0,,,,,200000.0,894167.0,22.367198775421,,,,
1977-0118-USA,1977,118,,Natural,Hydrological,Flood,Flash flood,,,United States of America (the),USA,Northern America,Americas,Kansas city (Kansas),,,,,,,,,Km2,,,,,1977,9.0,12.0,1977,9.0,12.0,25.0,,,,,,,,,,,22.367198775421,,,,
1980-0294-USA,1980,294,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,"Arizona, Phoenix",,,,,,,,,Km2,,,,,1980,2.0,17.0,1980,2.0,17.0,,,10000.0,,10000.0,,,,,,,30.4123857424011,,,,
1980-0295-USA,1980,295,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,South California,,,,,,,,,Km2,,,,,1980,2.0,19.0,1980,2.0,19.0,36.0,,100000.0,6000.0,106000.0,,,,,350000.0,1150847.0,30.4123857424011,,,,
1980-0257-USA,1980,257,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,Washington state,,,,,,,,,Km2,,,,,1980,11.0,24.0,1980,11.0,24.0,,,1000.0,,1000.0,,,,,,,30.4123857424011,,,,
1982-0353-USA,1982,353,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,California,,,,,,,,,Km2,,,,,1982,1.0,3.0,1982,1.0,3.0,,,,,,,,,,33900.0,95190.0,35.6128405860485,,,,
1983-0473-USA,1983,473,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,Arizona,,,,,,,,,Km2,,,,,1983,10.0,3.0,1983,10.0,3.0,10.0,,,,,,,,,100000.0,272058.0,36.7568773234201,,,,
