Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1900-0003-USA,1900,3,,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Northern America,Americas,Galveston (Texas),,"Avalanche (Snow, Debris)",,,,,,220.0,Kph,,,,,1900,9.0,8.0,1900,9.0,8.0,6000.0,,,,,,,,,30000.0,974947.0,3.0770909085206,,,,
1920-0016-USA,1920,16,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Alabama, Mississippi",,,,,No,No,,,Kph,,,,,1920,4.0,20.0,1920,4.0,20.0,224.0,,,,,,,,,,,7.4096349077176,,,,
1925-0001-USA,1925,1,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Montana, Indiana, Illinois",,,,,No,No,,,Kph,,,,,1925,3.0,17.0,1925,3.0,18.0,739.0,,,,,,,,,18000.0,277499.0,6.4865076351614,,,,
1932-0014-USA,1932,14,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Texas, Alabama, South Carolina",,,,,No,No,,,Kph,,,,,1932,3.0,21.0,1932,3.0,21.0,332.0,,,,,,,,,,,5.0464290899737,,,,
1936-0003-USA,1936,3,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Mississippi, Georgia",,,,,No,No,,,Kph,,,,,1936,4.0,5.0,1936,4.0,5.0,455.0,,,,,,,,,21000.0,409150.0,5.1325876354123,,,,
1952-0002-USA,1952,2,,Natural,Meteorological,Storm,,,,United States of America (the),USA,Northern America,Americas,"Arkansas, Tennessee, Missouri, Mississippi, Alabama",,,,,,,,,Kph,,,,,1952,3.0,21.0,1952,3.0,21.0,229.0,,,,,,,,,,,9.8220741799977,,,,
1955-0008-USA,1955,8,,Natural,Meteorological,Storm,Tropical cyclone,,Diane,United States of America (the),USA,Northern America,Americas,East Coast,,,,,,,,152.0,Kph,,,,,1955,8.0,16.0,1955,8.0,16.0,184.0,,,,,,,,,832000.0,8420046.0,9.8811808440849,,,,
1957-0006-USA,1957,6,,Natural,Meteorological,Storm,Tropical cyclone,,Audrey,United States of America (the),USA,Northern America,Americas,Gulf Coast,,,,,,,,249.0,Kph,,,,,1957,6.0,26.0,1957,6.0,26.0,390.0,,,,,,,,,150000.0,1446887.0,10.3670850645091,,,,
1960-0027-USA,1960,27,,Natural,Meteorological,Storm,Tropical cyclone,,Donna,United States of America (the),USA,Northern America,Americas,East Coast,,,,,,,,,Kph,,,,,1960,9.0,9.0,1960,9.0,9.0,50.0,,,,,,,,,387000.0,3545740.0,10.9145068882572,,,,
1961-0010-USA,1961,10,,Natural,Meteorological,Storm,Tropical cyclone,,Carla,United States of America (the),USA,Northern America,Americas,Texas,,,,,,,,249.0,Kph,,,,,1961,9.0,11.0,1961,9.0,11.0,46.0,,,,,,,,,408000.0,3698544.0,11.0313667176908,,,,
