Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1991-0118-URY,1991,118,,Natural,Hydrological,Flood,,,,Uruguay,URY,South America,Americas,"Artigas, Salto, Rivera departments",,,,,,,,,Km2,,,,,1991,4.0,16.0,1991,4.0,16.0,,,1500.0,,1500.0,,,,,,,50.2608528318391,,,,
1992-0080-URY,1992,80,,Natural,Hydrological,Flood,Riverine flood,,,Uruguay,URY,South America,Americas,"Artigas, Sakto, Paysandu, Rio Negro departments",,,,Yes,,,366.0,,Km2,,,,,1992,6.0,12.0,1992,6.0,12.0,,,4700.0,,4700.0,,,,,,,51.7831620380495,,,,
1998-0040-URY,1998,40,,Natural,Hydrological,Flood,,,,Uruguay,URY,South America,Americas,"Artigas, Bella Union, Salto, Paysandu, Rivera, Mercedes, Villa Soriano, Durazno, Treinta y Tres, Vergara y Melo",,,,,No,No,112.0,,Km2,,,,,1998,4.0,11.0,1998,5.0,8.0,1.0,,9300.0,,9300.0,,,,,5000.0,8312.0,60.1574108900066,,,,
2000-0275-URY,2000,275,,Natural,Hydrological,Flood,,,,Uruguay,URY,South America,Americas,"Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Maldonado, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano, Tacuarembo, Treinta Y Tres provinces",,,,,,,,,Km2,,,,,2000,5.0,16.0,2000,5.0,16.0,,,5000.0,,5000.0,,,,,,,63.5495473431008,1,3265;3266;3267;3268;3269;3270;3271;3272;3273;3274;3275;3276;3277;3278;3279;3280;3281;3282;3283,,"Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Maldonado, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano, Tacuarembo, Treinta Y Tres (Adm1)."
2002-0240-URY,2002,240,,Natural,Hydrological,Flood,,,,Uruguay,URY,South America,Americas,"Canelones, Durazno, Florida, Montevideo, Rocha, San Jose provinces",,,,,,,,,Km2,,,,,2002,4.0,1.0,2002,4.0,1.0,,,,2500.0,2500.0,,,,,,,66.3819636999782,1,3266;3269;3271;3274;3278;3280,,"Canelones, Durazno, Florida, Montevideo, Rocha, San Jose (Adm1)."
2007-0135-URY,2007,135,FL-2007-000044,Natural,Hydrological,Flood,Riverine flood,,,Uruguay,URY,South America,Americas,"Colonia, Durazno, Florida, Rio Negro, Soriano provinces",Heavy rain,,,,,,,,Km2,-31.99,-59.12,,"Yi, Rio Negro",2007,3.0,20.0,2007,4.0,27.0,,,,800.0,800.0,,,,,,,76.5186792040236,1,3268;3269;3271;3276;3281,,"Colonia, Durazno, Florida, Rio Negro, Soriano (Adm1)."
2007-0183-URY,2007,183,,Natural,Hydrological,Flood,Riverine flood,,,Uruguay,URY,South America,Americas,"Cerro Largo, Durazno, Florida, Montevideo, Rio Negro, Rocha, Soriano, Tacuarembo, Treinta y Tres provinces",Heavy rain,,,Yes,Yes,Yes,624.0,104100.0,Km2,-32.77,-55.8,,Rio Negro and tributaries,2007,5.0,4.0,2007,5.0,25.0,2.0,,110000.0,9200.0,119200.0,,,,,45000.0,58809.0,76.5186792040236,1,3267;3269;3271;3274;3276;3278;3281;3282;3283,,"Cerro Largo, Durazno, Florida, Montevideo, Rio Negro, Rocha, Soriano, Tacuarembo, Treinta Y Tres (Adm1)."
2009-0531-URY,2009,531,FL-2009-000248,Natural,Hydrological,Flood,Riverine flood,,,Uruguay,URY,South America,Americas,"Artigas, Cerro Largo, Paysandu, Salto, Treinta Y Tres provinces",Heavy rains,,,,,,,43490.0,Km2,-31.26,-56.48,,,2009,11.0,21.0,2009,11.0,30.0,1.0,,4000.0,,4000.0,,,,,,,79.1738027553029,1,3265;3267;3275;3279;3283,,"Artigas, Cerro Largo, Paysandu, Salto, Treinta Y Tres (Adm1)."
2015-0363-URY,2015,363,,Natural,Hydrological,Flood,Riverine flood,,,Uruguay,URY,South America,Americas,"Durazno, Treinta Y Tres, Soriano, Tacuarembo provinces",Heav rains,,,,,,,63708.0,Km2,-32.6329,-55.7,,,2015,8.0,17.0,2015,8.0,19.0,,,2326.0,,2326.0,,,,,,,87.4699322108025,1,3269;3281;3282;3283,,"Durazno, Soriano, Tacuarembo, Treinta Y Tres (Adm1)."
2015-0498-URY,2015,498,,Natural,Hydrological,Flood,,,,Uruguay,URY,South America,Americas,"Artigas, Salto, Rivera,Tacuarembó, Paysandu, Cerro Largo province",,,,,,,,392899.0,Km2,-29.957,-53.572,,Uruguay and Yaguarón rivers,2015,10.0,14.0,2015,10.0,28.0,,,10000.0,,10000.0,,,,,,,87.4699322108025,1,3265;3267;3275;3277;3279;3282,,"Artigas, Cerro Largo, Paysandu, Rivera, Salto, Tacuarembo (Adm1)."
