Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1940-0006-VUT,1940,6,,Natural,Meteorological,Storm,Tropical cyclone,,,Vanuatu,VUT,Melanesia,Oceania,Central Islands,,,,,,,,,Kph,,,,,1940,2.0,8.0,1940,2.0,8.0,,,,,,,,,,,,5.1818210899486,,,,
1951-0025-VUT,1951,25,,Natural,Meteorological,Storm,Tropical cyclone,,,Vanuatu,VUT,Melanesia,Oceania,"Epi, Ambrym",,,,,,,,,Kph,,,,,1951,12.0,24.0,1951,12.0,24.0,100.0,,,,,,,,,250.0,2604.0,9.6005236345842,,,,
1959-0018-VUT,1959,18,,Natural,Meteorological,Storm,Tropical cyclone,,Amanda,Vanuatu,VUT,Melanesia,Oceania,Southern Islands,,,,,,,,,Kph,,,,,1959,12.0,28.0,1959,12.0,28.0,,,,,,,,,,,,10.75766455281,,,,
1972-0016-VUT,1972,16,,Natural,Meteorological,Storm,Tropical cyclone,,Carlotta,Vanuatu,VUT,Melanesia,Oceania,"Efate, Anatom",,,,,,,,,Kph,,,,,1972,1.0,18.0,1972,1.0,18.0,,,,,,,,,,,,15.4322326700197,,,,
1972-0019-VUT,1972,19,,Natural,Meteorological,Storm,Tropical cyclone,,Wendy,Vanuatu,VUT,Melanesia,Oceania,"Banks, Santo",,,,,,,,,Kph,,,,,1972,2.0,2.0,1972,2.0,2.0,4.0,,,,,,,,,,,15.4322326700197,,,,
1972-0028-VUT,1972,28,,Natural,Meteorological,Storm,Tropical cyclone,,Gail,Vanuatu,VUT,Melanesia,Oceania,"Efate, Shepherds",,,,,,,,,Kph,,,,,1972,4.0,17.0,1972,4.0,17.0,,,,,,,,,,,,15.4322326700197,,,,
1975-0021-VUT,1975,21,,Natural,Meteorological,Storm,,,Alison,Vanuatu,VUT,Melanesia,Oceania,"Tongoa, Emae",,,,,,,,,Kph,,,,,1975,3.0,5.0,1975,3.0,5.0,,,,,,,,,,,,19.8607741089,,,,
1977-0039-VUT,1977,39,,Natural,Meteorological,Storm,Tropical cyclone,,June,Vanuatu,VUT,Melanesia,Oceania,Efate,,,,,,,,,Kph,,,,,1977,1.0,20.0,1977,1.0,20.0,,,,,,,,,,,,22.367198775421,,,,
1979-0016-VUT,1979,16,,Natural,Meteorological,Storm,Tropical cyclone,,Gordon,Vanuatu,VUT,Melanesia,Oceania,Western Islands,,,,,,,,,Kph,,,,,1979,1.0,6.0,1979,1.0,6.0,,,,,,,,,,,,26.7834419418325,,,,
1981-0029-VUT,1981,29,,Natural,Meteorological,Storm,Tropical cyclone,,Cliff,Vanuatu,VUT,Melanesia,Oceania,,,,,,,,,,Kph,,,,,1981,2.0,11.0,1981,2.0,11.0,,,,,,,,,,,,33.5554165755522,,,,
1981-0109-VUT,1981,109,,Natural,Meteorological,Storm,Tropical cyclone,,Gyan,Vanuatu,VUT,Melanesia,Oceania,"Northern Isl., West Santo",,,,,,,,,Kph,,,,,1981,12.0,12.0,1981,12.0,12.0,,,,,,,,,,1000.0,2980.0,33.5554165755522,,,,
1985-0020-VUT,1985,20,,Natural,Meteorological,Storm,Tropical cyclone,,Eric & Nigel,Vanuatu,VUT,Melanesia,Oceania,,,,,Yes,,,,,Kph,,,,,1985,1.0,16.0,1985,1.0,16.0,9.0,,117500.0,,117500.0,,,,,173000.0,435802.0,39.696934178876,,,,
1987-0057-VUT,1987,57,,Natural,Meteorological,Storm,Tropical cyclone,,Uma,Vanuatu,VUT,Melanesia,Oceania,"Efate, Erromango, Tanna, Aniwa",,,,Yes,No,No,,,Kph,,,,,1987,2.0,7.0,1987,2.0,8.0,48.0,,48000.0,,48000.0,,,,,25000.0,59619.0,41.9327356221299,,,,
1988-0040-VUT,1988,40,,Natural,Meteorological,Storm,Tropical cyclone,,Anne,Vanuatu,VUT,Melanesia,Oceania,"Torres, Banks Groups, West Espiritu Santo",,,,Yes,,,,,Kph,,,,,1988,1.0,11.0,1988,1.0,11.0,,,3100.0,1600.0,4700.0,,,,,,,43.6426415919528,,,,
1992-0001-VUT,1992,1,,Natural,Meteorological,Storm,Tropical cyclone,,Betsy,Vanuatu,VUT,Melanesia,Oceania,"Efate, Ambrym, Pentecost, Mataso, Epi, Vila, Malekula",,,,Yes,,,46.0,222.0,Kph,,,,,1992,1.0,9.0,1992,1.0,9.0,2.0,10.0,,,10.0,,,,,,,51.7831620380495,,,,
