Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1987-0190-VEN,1987,190,,Natural,Hydrological,Flood,,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,Near San Pedro river (West),,,,,,,,,Km2,,,,,1987,10.0,14.0,1987,10.0,14.0,40.0,29.0,,,29.0,,,,,,,41.9327356221299,,,,
1988-0327-VEN,1988,327,,Natural,Hydrological,Flood,Riverine flood,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,Chichirivichi,,,,,,,,,Km2,,,,,1988,7.0,25.0,1988,7.0,25.0,63.0,,480.0,,480.0,,,,,,,43.6426415919528,,,,
1988-0377-VEN,1988,377,,Natural,Hydrological,Flood,Riverine flood,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,"Northeastern, Northwestern",,,,,,,,,Km2,,,,,1988,8.0,15.0,1988,8.0,15.0,3.0,,5000.0,,5000.0,,,,,,,43.6426415919528,,,,
1994-0545-VEN,1994,545,,Natural,Hydrological,Flood,,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,Caracas,,,,,,,,,Km2,,,,,1994,10.0,25.0,1994,10.0,25.0,26.0,,,,,,,2000.0,3656.0,,,54.7016925431883,,,,
1996-0462-VEN,1996,462,,Natural,Hydrological,Flood,Riverine flood,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,Coastal areas,Heavy rains,,,,No,No,,,Km2,,,,,1996,12.0,3.0,1996,12.0,5.0,,,,10000.0,10000.0,,,,,,,57.8847058823529,,,,
1997-0191-VEN,1997,191,,Natural,Hydrological,Flood,,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,Miranda State,,,,,,,,,Km2,,,,,1997,7.0,14.0,1997,7.0,14.0,3.0,,,18000.0,18000.0,,,,,,,59.2378657336541,,,,
1999-0124-VEN,1999,124,,Natural,Hydrological,Flood,Riverine flood,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,Lara Region,,,,,,,,,Km2,,,,,1999,4.0,10.0,1999,4.0,10.0,,,,500.0,500.0,,,,,,,61.473667176908,,,,
1999-0282-VEN,1999,282,,Natural,Hydrological,Flood,Coastal flood,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,"Anzoategui, Delta Amacuro, Portuguesa, Bolivar, and Miranda states",Tropical cyclone,,,,No,No,,,Km2,,,,,1999,8.0,17.0,1999,8.0,21.0,5.0,368.0,51000.0,8000.0,59368.0,,,,,,,61.473667176908,,,,
1999-0547-VEN,1999,547,,Natural,Hydrological,Flood,Flash flood,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,"Federal district Caracas, Miranda, Vargas, Nueva Esparta, Yaracury, Falcon, Carabobo, Zulia, Tachira",Breif torrential rain,,,Yes,No,No,33610.0,350.0,Km2,,,,,1999,12.0,15.0,1999,12.0,20.0,30000.0,2700.0,366547.0,114388.0,483635.0,,,400000.0,650685.0,3160000.0,5140412.0,61.473667176908,,,,
2000-0735-VEN,2000,735,,Natural,Hydrological,Flood,Riverine flood,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,"Aragua, Carabobo, Falcon, Districto Capital, Merida, Miranda, Sucre, Trujillo, Vargas, Zulia provinces",Heavy rain,,,,,Yes,,77730.0,Km2,,,,,2000,11.0,12.0,2000,11.0,17.0,2.0,,7000.0,,7000.0,,,,,,,63.5495473431008,1,3305;3308;3313;3316;3317;3321;3323;3325;67152;67153,,"Aragua, Carabobo, Distrito Capital, Falcon, Merida, Miranda, Sucre, Trujillo, Vargas, Zulia (Adm1)."
