Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1966-0070-VNM,1966,70,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,Near Cambodia border,,,,Yes,,,,,Km2,,,,,1966,9.0,20.0,1966,9.0,20.0,31.0,,125541.0,70361.0,195902.0,,,,,10000.0,83482.0,11.9785873605948,,,,
1970-0059-VNM,1970,59,,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,North,,,,,,,,,Km2,,,,,1970,10.0,26.0,1970,10.0,26.0,237.0,,204000.0,,204000.0,,,,,,,14.3281696916685,,,,
1985-0106-VNM,1985,106,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Ha Nam Ninh, Thanh Hoa, Hai Hung, Ha Bac",,,,,,,,24680.0,Km2,,,,,1985,9.0,7.0,1985,9.0,7.0,93.0,,2800000.0,,2800000.0,,,,,,,39.696934178876,,,,
1986-0139-VNM,1986,139,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,Central,,,,,,,,,Km2,,,,,1986,12.0,3.0,1986,12.0,3.0,165.0,,,,,,,,,,,40.4504089219331,,,,
1990-0048-VNM,1990,48,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Son La, Hoang Lien Son, Ha Tuyen, Binh Dinh, Dac Lac, Lai Chau, Muong Lay provinces",Heavy rain,,,,No,No,,13950.0,Km2,,,,,1990,6.0,20.0,1990,7.0,8.0,82.0,200.0,10000.0,,10200.0,,,,,725.0,1504.0,48.2187972884321,,,,
1991-0315-VNM,1991,315,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Son La, Lai Chau provinces",Monsoonal rain,Broken Dam/Burst bank,,,No,No,,30960.0,Km2,,,,,1991,7.0,28.0,1991,7.0,31.0,38.0,14.0,4000.0,,4014.0,,,,,3200.0,6367.0,50.2608528318391,,,,
1991-0538-VNM,1991,538,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"An Giang, Dong Thap, Long An, Tien Giang, Kien Giang provinces (Mekong Delta)",Heavy rain,,,,No,No,,,Km2,,,,Mekong river,1991,9.0,19.0,1991,9.0,25.0,136.0,,21000.0,,21000.0,,,,,38500.0,76600.0,50.2608528318391,,,,
1992-0144-VNM,1992,144,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Nghe An, Ha Tinh, Quang Binh, Quang Tri, Thua Thien-Hue, Quang Nam-Da Nang provinces",Heavy rain,,,Yes,No,No,,569.0,Km2,,,,,1992,10.0,5.0,1992,10.0,9.0,55.0,10.0,44109.0,7579.0,51698.0,,,,,47700.0,92115.0,51.7831620380495,,,,
1992-0145-VNM,1992,145,,Natural,Hydrological,Flood,Coastal flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Quang Binh, Quang Tri provinces",Tropical cyclone,,,,No,No,,,Km2,,,,,1992,10.0,28.0,1992,10.0,31.0,1.0,,58000.0,,58000.0,,,,,,,51.7831620380495,,,,
1993-0213-VNM,1993,213,,Natural,Hydrological,Flood,Flash flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Phu Yen, Lam Dong, Quang Tri, Da Nang, Khanh Hoa, Binh Dinh, Darlac and Binh Thuan provinces",Brief torrential rain,,,,No,No,,29440.0,Km2,,,,"Phan Thiet, Muong Man River",1993,10.0,2.0,1993,10.0,12.0,64.0,,15000.0,,15000.0,,,,,10000.0,18758.0,53.3116203804942,,,,
1994-0341-VNM,1994,341,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Dong Thap, An Giang, Long An, Tien Giang, Kien Giang, Can Tho, Nghe An, Thanh Hoa provinces",Monsoonal rain,,,Yes,No,No,920.0,65260.0,Km2,,,,Mekong,1994,9.0,4.0,1994,12.0,18.0,310.0,,382000.0,,382000.0,,,,,206000.0,376588.0,54.7016925431883,,,,
1995-0236-VNM,1995,236,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Quang Binh, Quang Tri, Kegalle, Da Nang, Dong Thap, Dong Thap, Kien Gang, An Giang, Tien Giang, Vinh Long, Can Tho provinces",Heavy rain,,,Yes,No,No,,123000.0,Km2,,,,"Mekong, Perfume",1995,9.0,21.0,1995,10.0,19.0,253.0,,400000.0,,400000.0,,,,,86000.0,152926.0,56.2363000218675,,,,
1996-0447-VNM,1996,447,,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Thua Thien-Hue, Quang Nam-Da Nang, Quang Tri, Quang Ngai, Binh Dinh, Kon Tum",,,,,No,No,,,Km2,,,,,1996,9.0,14.0,1996,9.0,19.0,60.0,,,,,,,,,13400.0,23149.0,57.8847058823529,,,,
