Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1993-0022-YEM,1993,22,,Natural,Hydrological,Flood,Riverine flood,,,Yemen,YEM,Western Asia,Asia,"Lahej, Abyan, Aden Governorates",Heavy rain,,,,No,No,,61490.0,Km2,,,,,1993,2.0,5.0,1993,2.0,10.0,31.0,,9000.0,12500.0,21500.0,,,,,1500.0,2814.0,53.3116203804942,,,,
1996-0498-YEM,1996,498,,Natural,Hydrological,Flood,Riverine flood,,,Yemen,YEM,Western Asia,Asia,"Hudayda, Taiz regions",Heavy rains,,,,No,No,,19290.0,Km2,,,,,1996,5.0,14.0,1996,5.0,18.0,7.0,,5000.0,,5000.0,,,,,10000.0,17276.0,57.8847058823529,,,,
1996-0134-YEM,1996,134,,Natural,Hydrological,Flood,Riverine flood,,,Yemen,YEM,Western Asia,Asia,"Shabwa, Mareb, Hadhramout, Aljawf, El Jouf, Abin Governorates",Heavy rain,,,Yes,No,No,10381.0,191000.0,Km2,,,,,1996,6.0,13.0,1996,6.0,25.0,338.0,,124000.0,114210.0,238210.0,,,,,1200000.0,2073086.0,57.8847058823529,,,,
1998-0052-YEM,1998,52,,Natural,Hydrological,Flood,,,,Yemen,YEM,Western Asia,Asia,"Tihama Valley in Al Hodeida Governate, Al-Zahara and Al-Luhyah districts",,,,,No,No,,,Km2,,,,,1998,3.0,14.0,1998,3.0,16.0,,,3000.0,,3000.0,,,,,,,60.1574108900066,,,,
1998-0263-YEM,1998,263,,Natural,Hydrological,Flood,Flash flood,,,Yemen,YEM,Western Asia,Asia,Siham valley Red Sea port Hodeida Ibb Abin Marib Sanaa Lahaj (West Yemen),Brief torrential rain,,,,No,No,,,Km2,,,,,1998,8.0,14.0,1998,8.0,30.0,70.0,,240.0,,240.0,,,,,,,60.1574108900066,,,,
1999-0548-YEM,1999,548,,Natural,Hydrological,Flood,,,,Yemen,YEM,Western Asia,Asia,Socotra Archipelago,,,,,,,10.0,,Km2,,,,,1999,12.0,4.0,1999,12.0,4.0,,,12250.0,7500.0,19750.0,,,,,,,61.473667176908,,,,
2001-0402-YEM,2001,402,,Natural,Hydrological,Flood,Flash flood,,,Yemen,YEM,Western Asia,Asia,"Amran, Hadramaut, Sa'ada, Al Hudaydah provinces",Brief torrential rain,,,,,,,10860.0,Km2,,,,,2001,7.0,26.0,2001,7.0,29.0,33.0,,,,,,,,,,,65.345558714192,1,3411;3415;3422;144970,,"Al Hudaydah, Amran, Hadramaut, Sa'ada (Adm1)."
2002-0213-YEM,2002,213,,Natural,Hydrological,Flood,,,,Yemen,YEM,Western Asia,Asia,Hadramaut province,,,,,,,,,Km2,,,,,2002,4.0,11.0,2002,4.0,11.0,2.0,,260.0,440.0,700.0,,,,,,,66.3819636999782,1,144970,,Hadramaut (Adm1).
2002-0410-YEM,2002,410,,Natural,Hydrological,Flood,Riverine flood,,,Yemen,YEM,Western Asia,Asia,As Salafiyah district (Raymah province),Heavy rain,,,,,,,3900.0,Km2,,,,,2002,7.0,6.0,2002,7.0,8.0,10.0,,,,,,,,,,,66.3819636999782,2,,32941,As Salafiyah (Adm2).
2002-0454-YEM,2002,454,,Natural,Hydrological,Flood,Riverine flood,,,Yemen,YEM,Western Asia,Asia,Raymah province,Heavy rain,,,,,,,5180.0,Km2,,,,,2002,7.0,24.0,2002,7.0,26.0,13.0,,,,,,,,,,,66.3819636999782,1,144971,,Raymah (Adm1).
2002-0576-YEM,2002,576,,Natural,Hydrological,Flood,Riverine flood,,,Yemen,YEM,Western Asia,Asia,"Taizz, Al Hudaydah, Hadramaut provinces",Heavy rain,,,,,,,19470.0,Km2,,,,,2002,8.0,22.0,2002,9.0,6.0,28.0,,,,,,,,,,,66.3819636999782,1,3411;3425;144970,,"Al Hudaydah, Hadramaut, Taizz (Adm1)."
2003-0301-YEM,2003,301,,Natural,Hydrological,Flood,Riverine flood,,,Yemen,YEM,Western Asia,Asia,"Hajjah, Taizz provinces",Torrential rains,,,,,,,,Km2,,,,,2003,6.0,19.0,2003,6.0,21.0,15.0,,,,,,,,,,,67.8888956921058,1,3418;3425,,"Hajjah, Taizz (Adm1)."
2005-0222-YEM,2005,222,,Natural,Hydrological,Flood,Riverine flood,,,Yemen,YEM,Western Asia,Asia,"Sana'a, Al Hudaydah provinces",Torrential rains,,,,,,,,Km2,,,,,2005,4.0,25.0,2005,4.0,27.0,10.0,,215.0,500.0,715.0,,,,,,,72.0714104526569,1,3411;144972,,"Al Hudaydah, Sana'a (Adm1)."
